,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
578,NIFTY,16850,P,2022-05-05,2022-05-05 14:55:00,BUY,2022-05-05 15:00:00,134.05,106.2,167.4875,2022-05-05 15:15:00,162.95,28.899999999999977,4.455,24.44499999999998,21943.44703770195,TSL Hit,897.6660682226209,0.877737881508078,2022,5,5769006.283996511,230.76025135986075,247.8507151701753,-17.09046381031456
579,NIFTY,15850,P,2022-05-12,2022-05-12 14:00:00,BUY,2022-05-12 14:05:00,64.45,42.1,91.7,2022-05-12 14:40:00,80.0,15.549999999999995,2.16675,13.383249999999997,14970.078299776282,TSL Hit,1118.5682326621925,0.5988031319910513,2022,5,5783976.362296288,231.3590544918518,247.8507151701753,-16.491660678323512
227,BANKNIFTY,33600,P,2022-05-12,2022-05-12 14:20:00,BUY,2022-05-12 14:25:00,164.85,103.6,227.675,2022-05-12 14:40:00,196.8,31.950000000000017,5.42475,26.525250000000018,10826.632653061231,TSL Hit,408.16326530612247,0.4330653061224492,2022,5,5794802.994949349,231.79211979797424,247.8507151701753,-16.05859537220107
580,NIFTY,15850,P,2022-05-19,2022-05-19 13:30:00,BUY,2022-05-19 13:35:00,49.8,36.85,36.85,2022-05-19 13:55:00,36.85,-12.949999999999996,1.29975,-14.249749999999995,-27509.169884169885,Initial SL Hit,1930.5019305019312,-1.1003667953667953,2022,5,5767293.82506518,230.69175300260744,247.8507151701753,-17.158962167567864
581,NIFTY,15850,P,2022-05-19,2022-05-19 14:00:00,BUY,2022-05-19 14:05:00,44.6,36.8,36.8,2022-05-19 15:00:00,36.8,-7.800000000000004,1.221,-9.021000000000004,-28913.46153846153,Initial SL Hit,3205.1282051282037,-1.1565384615384615,2022,5,5738380.363526718,229.53521454106897,247.8507151701753,-18.31550062910634
582,NIFTY,15850,P,2022-05-19,2022-05-19 15:05:00,BUY,2022-05-19 15:10:00,54.9,30.4,30.4,2022-05-19 15:20:00,39.7,-15.199999999999996,1.4189999999999998,-16.618999999999996,-16958.16326530612,EOD Exit,1020.408163265306,-0.6783265306122448,2022,5,5721422.200261411,228.85688801045671,247.8507151701753,-18.99382715971859
583,NIFTY,16150,C,2022-05-26,2022-05-26 13:30:00,BUY,2022-05-26 13:35:00,37.75,26.9,26.9,2022-05-26 13:35:00,26.9,-10.85,0.96975,-11.81975,-27234.44700460829,Initial SL Hit,2304.147465437788,-1.0893778801843317,2022,5,5694187.753256803,227.76751013027237,247.8507151701753,-20.083205039902936
228,BANKNIFTY,34800,C,2022-05-26,2022-05-26 14:05:00,BUY,2022-05-26 14:10:00,67.5,49.75,192.95,2022-05-26 14:30:00,188.1,120.6,3.834,116.766,164459.15492957746,TSL Hit,1408.4507042253522,6.578366197183098,2022,5,5858646.908186381,234.34587632745547,247.8507151701753,-13.504838842719835
229,BANKNIFTY,34800,C,2022-05-26,2022-05-26 14:35:00,BUY,2022-05-26 14:40:00,200.7,149.1,271.1375,2022-05-26 15:00:00,242.4,41.70000000000002,6.6465000000000005,35.053500000000014,16983.28488372094,TSL Hit,484.4961240310078,0.6793313953488376,2022,5,5875630.193070102,235.0252077228043,247.8507151701753,-12.825507447370995
584,NIFTY,16150,C,2022-05-26,2022-05-26 14:35:00,BUY,2022-05-26 14:40:00,9.7,3.1,3.1,2022-05-26 15:00:00,3.1,-6.6,0.1919999999999999,-6.792,-25727.272727272728,Initial SL Hit,3787.878787878788,-1.0290909090909093,2022,5,5849902.920342829,233.9961168137134,247.8507151701753,-13.854598356461906
