,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,DD%
89,2024-01-19 13:15:00,LONG,2024-01-19 14:15:00,10558.0,10528.6,10528.6,2024-01-23 10:15:00,10528.6,-29.399999999999636,-39.94329999999964,-47931.95999999956,Initial SL hit,1200,5x,-1.9172783999999825,2024,-10.11894599999988
90,2024-01-24 13:15:00,LONG,2024-01-24 14:15:00,10494.5,10412.05,10521.620588235293,2024-01-25 10:15:00,10412.05,-82.45000000000073,-92.90327500000073,-111483.93000000088,Initial SL hit,1200,5x,-4.459357200000035,2024,-14.578303199999937
91,2024-01-25 13:15:00,LONG,2024-01-25 14:15:00,10421.7,10366.6,10366.6,2024-01-25 14:15:00,10366.6,-55.100000000000364,-65.49415000000036,-78592.98000000043,Initial SL Hit,1200,5x,-3.143719200000018,2024,-17.722022399999958
92,2024-01-29 11:15:00,LONG,2024-01-29 12:15:00,10653.95,10505.75,10717.536764705883,2024-02-09 10:15:00,10626.85,-27.100000000000364,-37.74040000000036,-45288.48000000043,TSL Hit,1200,5x,-1.8115392000000174,2024,-19.533561599999985
93,2024-02-12 12:15:00,LONG,2024-02-12 13:15:00,10724.75,10696.05,10696.05,2024-02-12 13:15:00,10696.05,-28.700000000000728,-39.41040000000073,-47292.480000000876,Initial SL Hit,1200,5x,-1.891699200000035,2024,-21.425260800000018
94,2024-02-14 13:15:00,LONG,2024-02-14 14:15:00,10676.4,10621.0,10836.340441176471,2024-02-22 09:15:00,10828.15,151.75,140.997725,169197.27,TSL Hit,1200,5x,6.7678908,2024,-14.657370000000014
95,2024-02-23 11:15:00,LONG,2024-02-23 12:15:00,11072.05,11050.0,11050.0,2024-02-23 15:15:00,11050.0,-22.049999999999272,-33.11102499999927,-37249.90312499918,Initial SL hit,1125,5x,-1.4899961249999674,2024,-16.147366124999962
96,2024-02-23 15:15:00,LONG,2024-02-26 09:15:00,11074.0,11043.8,11043.8,2024-02-26 09:15:00,11043.8,-30.200000000000728,-41.25890000000073,-46416.26250000082,Initial SL Hit,1125,5x,-1.8566505000000326,2024,-18.00401662499999
97,2024-02-27 13:15:00,LONG,2024-02-27 14:15:00,11016.15,10935.4,10957.660294117648,2024-02-28 10:15:00,10935.4,-80.75,-91.725775,-103191.496875,Initial SL hit,1125,5x,-4.127659875,2024,-22.131676499999998
98,2024-02-29 14:15:00,LONG,2024-02-29 15:15:00,10842.6,10722.4,10929.0125,2024-03-05 11:15:00,10919.7,77.10000000000036,66.21885000000036,74496.20625000041,TSL Hit,1125,5x,2.9798482500000163,2024,-19.151828249999994
99,2024-03-07 11:15:00,LONG,2024-03-07 12:15:00,10931.75,10908.1,10908.1,2024-03-07 12:15:00,10908.1,-23.649999999999636,-34.569924999999635,-38891.16562499959,Initial SL Hit,1125,5x,-1.5556466249999834,2024,-20.707474874999974
100,2024-03-07 15:15:00,LONG,2024-03-11 09:15:00,10893.1,10870.05,10870.05,2024-03-11 09:15:00,10870.05,-23.05000000000109,-33.93157500000109,-38173.02187500123,Initial SL Hit,1125,5x,-1.5269208750000491,2024,-22.234395750000033
101,2024-03-14 14:15:00,LONG,2024-03-14 15:15:00,10526.6,10427.35,10427.35,2024-03-15 09:15:00,10427.35,-99.25,-109.726975,-131672.37,Initial SL Hit,1200,5x,-5.2668948,2024,-27.50129055000002
102,2024-03-20 12:15:00,LONG,2024-03-20 13:15:00,10180.7,10119.55,10828.971323529411,2024-04-15 09:15:00,10812.2,631.5,621.00355,745204.26,TSL Hit,1200,5x,29.8081704,2024,0.0
103,2024-04-18 09:15:00,LONG,2024-04-18 10:15:00,10863.3,10801.2,10801.2,2024-04-18 14:15:00,10801.2,-62.099999999998545,-72.93224999999855,-82048.78124999837,Initial SL Hit,1125,5x,-3.281951249999935,2024,-3.2819512499999632
