date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
2019-10-16,Wednesday,2019-10-17,1,11450,P,59.0,09:55:00,66.0,62.04749999999999,66.0,2019-10-16,10:05:00,SL hit,-7.0,1.25,7050,-58162.5,-1.1632500000000001,2019,10,67.05,54.6,0.6203999999999997,201.80625
2019-10-16,Wednesday,2019-10-17,1,11450,P,47.8,09:30:00,62.25,62.692499999999995,62.25,2019-10-16,09:50:00,SL hit,-14.450000000000003,1.1005,6900,-107298.45000000003,-2.145969000000001,2019,10,65.9,43.45,0.6002999999999992,197.5125
2019-10-18,Friday,2019-10-24,6,11600,P,69.85,12:35:00,109.25,28.572499999999998,17.5,2019-10-24,15:25:00,EOD exit,52.349999999999994,0.8734999999999999,2550,131265.07499999998,2.6253015,2019,10,77.2,4.35,3.3404999999999996,73.95
2019-10-22,Tuesday,2019-10-24,2,11700,C,33.15,14:20:00,73.3,0.0,0.05,2019-10-24,15:25:00,EOD exit,33.1,0.33199999999999996,2475,81100.8,1.6220160000000001,2019,10,40.65,0.05,1.63845,72.39375
2019-10-22,Tuesday,2019-10-24,2,11700,C,49.1,10:45:00,71.1,0.0,71.1,2019-10-22,12:15:00,SL hit,-21.999999999999993,1.202,4575,-106149.14999999997,-2.1229829999999996,2019,10,73.3,46.85,0.20587499999999997,133.81875000000002
2019-10-25,Friday,2019-10-31,6,11650,C,52.5,12:35:00,94.95,0.0,94.95,2019-10-29,10:05:00,SL hit,-42.45,1.4745,2325,-102124.46250000001,-2.0424892500000005,2019,10,106.7,29.3,1.0788,67.715625
2019-10-29,Tuesday,2019-10-31,2,11600,P,38.35,09:20:00,41.55,52.1275,41.55,2019-10-29,09:30:00,SL hit,-3.1999999999999957,0.799,6900,-27593.09999999997,-0.5518619999999994,2019,10,43.05,32.8,0.7659000000000006,200.1
2019-10-29,Tuesday,2019-10-31,2,11600,P,38.65,09:35:00,43.05,0.095,0.05,2019-10-31,15:25:00,EOD exit,38.6,0.38699999999999996,6900,263669.7,5.273394,2019,10,39.45,0.05,5.3268,200.1
2019-10-30,Wednesday,2019-10-31,1,11900,C,11.7,14:50:00,33.3,0.0,33.3,2019-10-31,09:25:00,SL hit,-21.599999999999998,0.45,4650,-102532.49999999999,-2.0506499999999996,2019,10,35.95,10.65,0.0976499999999999,138.3375
2019-11-01,Friday,2019-11-07,6,11850,P,72.45,12:55:00,87.8,0.0975,0.05,2019-11-07,15:25:00,EOD exit,72.4,0.725,6525,467679.37500000006,9.353587500000001,2019,11,78.75,0.05,9.448200000000002,193.303125
2019-11-01,Friday,2019-11-07,6,11900,C,73.65,12:35:00,91.05,0.0,91.05,2019-11-04,09:15:00,SL hit,-17.39999999999999,1.647,5775,-109996.42499999994,-2.199928499999999,2019,11,98.5,61.15,1.443750000000001,171.80625
2019-11-04,Monday,2019-11-07,3,11950,C,57.7,12:35:00,85.5,0.0,63.35,2019-11-07,09:15:00,Gap SL hit,-5.649999999999999,1.2105000000000001,3600,-24697.799999999992,-0.49395599999999984,2019,11,89.9,13.05,3.2148000000000003,107.54999999999998
2019-11-08,Friday,2019-11-14,6,11950,P,52.25,12:55:00,82.75,65.0125,82.75,2019-11-08,15:05:00,SL hit,-30.5,1.35,3300,-105105.0,-2.1021,2019,11,86.2,37.6,0.9668999999999999,98.58749999999999
2019-11-11,Monday,2019-11-14,3,11900,C,58.5,09:20:00,78.55,0.0,78.55,2019-11-11,15:15:00,SL hit,-20.049999999999997,1.3705,5025,-107638.01249999998,-2.1527602499999996,2019,11,84.7,40.25,1.834125,149.49375
2019-11-11,Monday,2019-11-14,3,11850,P,43.9,14:55:00,68.0,11.01,0.05,2019-11-14,15:25:00,EOD exit,43.85,0.43949999999999995,4125,179068.3125,3.5813662500000003,2019,11,54.65,0.05,3.617625,122.20312499999999
2019-11-13,Wednesday,2019-11-14,1,11950,C,27.15,11:45:00,45.8,0.0,0.05,2019-11-14,15:25:00,EOD exit,27.099999999999998,0.272,5325,142859.1,2.8571820000000003,2019,11,31.9,0.05,2.8861499999999998,159.084375
