,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
85,finnifty,21250,P,2023-12-26,2023-12-26 13:55:00,BUY,2023-12-26 14:00:00,16.9,12.0,14.570000000000002,2023-12-26 14:15:00,12.0,-4.899999999999999,0.4334999999999999,-5.333499999999998,-27211.734693877548,Initial SL hit,5102.040816326532,-1.088469387755102,2023,12
86,finnifty,21250,P,2023-12-26,2023-12-26 14:45:00,BUY,2023-12-26 14:50:00,12.55,6.6,8.48,2023-12-26 15:00:00,6.6,-5.950000000000001,0.2872499999999999,-6.237250000000001,-26206.932773109245,Initial SL hit,4201.680672268907,-1.04827731092437,2023,12
87,finnifty,21350,P,2024-01-02,2024-01-02 13:55:00,BUY,2024-01-02 14:00:00,14.7,11.55,11.55,2024-01-02 14:10:00,11.55,-3.1499999999999986,0.39375,-3.5437499999999984,-28125.0,Initial SL Hit,7936.50793650794,-1.125,2024,1
88,finnifty,21350,P,2024-01-02,2024-01-02 14:15:00,BUY,2024-01-02 14:20:00,14.05,8.85,8.85,2024-01-02 14:30:00,8.85,-5.200000000000001,0.3434999999999999,-5.543500000000001,-26651.442307692305,Initial SL Hit,4807.692307692307,-1.066057692307692,2024,1
89,finnifty,21450,P,2024-01-09,2024-01-09 14:05:00,BUY,2024-01-09 14:10:00,27.2,15.9,249.755,2024-01-09 15:20:00,253.05,225.85,4.203749999999999,221.64625,490367.8097345133,EOD Exit,2212.389380530973,19.614712389380536,2024,1
90,finnifty,21450,P,2024-01-16,2024-01-16 14:30:00,BUY,2024-01-16 14:35:00,14.35,8.15,8.15,2024-01-16 14:50:00,8.15,-6.199999999999999,0.3374999999999999,-6.5375,-26360.8870967742,Initial SL Hit,4032.2580645161297,-1.054435483870968,2024,1
91,finnifty,20200,P,2024-01-23,2024-01-23 14:05:00,BUY,2024-01-23 14:10:00,40.2,28.0,92.085,2024-01-23 15:05:00,65.65,25.450000000000003,1.58775,23.862250000000003,48898.05327868852,TSL Hit,2049.180327868852,1.955922131147541,2024,1
92,finnifty,20350,P,2024-02-06,2024-02-06 14:15:00,BUY,2024-02-06 14:20:00,31.65,18.0,18.0,2024-02-06 14:35:00,18.0,-13.65,0.7447499999999999,-14.394749999999998,-26364.01098901099,Initial SL Hit,1831.501831501832,-1.0545604395604395,2024,2
33,finnifty,20250,C,2024-02-13,2024-02-13 13:30:00,BUY,2024-02-13 13:35:00,34.45,4.2,18.928125,2024-02-13 14:15:00,11.55,-22.9,0.69,-23.590000000000003,-19495.86776859504,TSL Hit,826.4462809917354,-0.7798347107438016,2024,2
34,finnifty,20250,C,2024-02-13,2024-02-13 14:50:00,BUY,2024-02-13 14:55:00,10.95,2.6,2.6,2024-02-13 15:00:00,2.6,-8.35,0.20325,-8.55325,-25608.532934131737,Initial SL Hit,2994.011976047904,-1.0243413173652691,2024,2
93,finnifty,20750,P,2024-02-20,2024-02-20 14:00:00,BUY,2024-02-20 14:05:00,44.85,17.95,22.45,2024-02-20 14:10:00,19.35,-25.5,0.963,-26.463,-24593.86617100372,TSL Hit,929.3680297397768,-0.9837546468401488,2024,2
