Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-05-10 10:15:00,2017-05-10,1.040455378,,10/05/2017,16/10/2017,0.2058100448,0,0,0.1029050224
2017-05-10 10:15:00,2017-05-10,-0.40762602,,10/05/2017,17/10/2017,-0.4678213927,0,0,-0.2339106964
2017-05-10 10:15:00,2017-05-10,-0.313056384,,10/05/2017,23/10/2017,4.306157829,0,0,2.153078914
2017-05-10 10:15:00,2017-05-10,1.010078261,,10/05/2017,24/10/2017,9.90388856,0,0,4.95194428
2017-05-11 14:15:00,2017-05-11,-0.6225660188,,11/05/2017,25/10/2017,3.686468831,0,0,1.843234416
2017-05-15 10:15:00,2017-05-15,-0.46672329,,15/05/2017,26/10/2017,0,3.218336251,4.827504377,2.413752188
2017-05-15 11:15:00,2017-05-15,-0.5186600581,,15/05/2017,27/10/2017,-0.6116826774,0,0,-0.3058413387
2017-05-15 11:15:00,2017-05-15,-0.3706054875,,15/05/2017,30/10/2017,1.660481684,0,0,0.8302408422
2017-05-16 10:45:00,2017-05-16,0.2721339114,,16/05/2017,31/10/2017,1.678580771,0,0,0.8392903853
2017-05-16 11:15:00,2017-05-16,-0.3253870458,,16/05/2017,02/11/2017,0.5647059837,0,0,0.2823529918
2017-05-17 12:45:00,2017-05-17,0.0495683724,,17/05/2017,07/11/2017,-0.4494969375,0,0,-0.2247484688
2017-05-19 14:15:00,2017-05-19,-0.285656787,,19/05/2017,10/11/2017,0.2182338472,0,0,0.1091169236
2017-05-22 11:15:00,2017-05-22,-0.9912010897,,22/05/2017,16/11/2017,5.535763251,0,0,2.767881625
2017-05-22 11:15:00,2017-05-22,-0.2223105792,,22/05/2017,17/11/2017,-0.9923537318,0,0,-0.4961768659
2017-05-25 10:15:00,2017-05-25,2.480414577,,25/05/2017,20/11/2017,0.9502522462,0,0,0.4751261231
2017-05-25 11:15:00,2017-05-25,1.593359713,,25/05/2017,22/11/2017,-0.2682090923,0,0,-0.1341045461
2017-05-25 12:15:00,2017-05-25,4.086498213,,25/05/2017,23/11/2017,-0.1104943824,0,0,-0.0552471912
2017-05-25 13:15:00,2017-05-25,3.488428092,,25/05/2017,24/11/2017,-1.147059845,0,0,-0.5735299226
2017-05-25 13:15:00,2017-05-25,2.985402569,,25/05/2017,27/11/2017,-0.8645938985,0,0,-0.4322969493
2017-05-29 11:45:00,2017-05-29,0.2052420084,,29/05/2017,28/11/2017,-0.1666686321,0,0,-0.08333431605
2017-05-30 13:15:00,2017-05-30,-0.07626499272,,30/05/2017,29/11/2017,-0.1831111205,0,0,-0.09155556023
2017-06-02 10:15:00,2017-06-02,0.01663792845,,02/06/2017,30/11/2017,0,-1.109606742,-1.664410112,-0.8322050562
2017-06-02 11:15:00,2017-06-02,0.02978316432,,02/06/2017,07/12/2017,2.093611558,0,0,1.046805779
2017-06-05 09:15:00,2017-06-05,0.0590802147,,05/06/2017,08/12/2017,-0.4114928586,0,0,-0.2057464293
2017-06-06 10:15:00,2017-06-06,-0.2555360574,,06/06/2017,11/12/2017,-0.6190113722,0,0,-0.3095056861
2017-06-07 10:15:00,2017-06-07,-0.1122069488,,07/06/2017,13/12/2017,-1.818290207,0,0,-0.9091451034
2017-06-07 10:15:00,2017-06-07,-0.5030659125,,07/06/2017,14/12/2017,-2.480358965,1.973685454,2.960528181,0.2400846077
2017-06-07 09:45:00,2017-06-07,-0.2168262468,,07/06/2017,15/12/2017,-3.810005703,0,0,-1.905002851
2017-06-07 10:15:00,2017-06-07,-0.6716394306,,07/06/2017,18/12/2017,0.3716775775,0,0,0.1858387888
2017-06-07 15:15:00,2017-06-07,-0.35325596,,07/06/2017,19/12/2017,-0.1078040145,0,0,-0.05390200725
2017-06-07 14:45:00,2017-06-07,-0.00449744175,,07/06/2017,20/12/2017,-0.394543344,0,0,-0.197271672
2017-06-09 09:15:00,2017-06-09,-0.2332536801,,09/06/2017,22/12/2017,-0.660193098,0,0,-0.330096549
