Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,Trade Month
2023-02-10 10:15:00,2023-02-10 11:15:00,7071.85,7040.55,7040.55,2023-02-13 13:15:00,7040.55,-31.3,-34.43,678.7474282,-2.336927395,2023,2
2023-02-17 13:15:00,2023-02-17 14:15:00,7001.75,6984.1,6984.1,2023-02-20 09:15:00,6984.1,-17.65,-19.415,685.5429,-1.33098154,2023,2
2023-02-20 10:15:00,2023-02-20 11:15:00,7019.75,7005.2,7005.2,2023-02-21 13:15:00,7005.2,-14.55,-16.005,683.7850351,-1.094397949,2023,2
2023-03-01 13:15:00,2023-03-01 14:15:00,6874.6,6858.05,6877.08125,2023-03-02 13:15:00,6875.9,1.3,1.17,698.222442,0.08169202572,2023,3
2023-03-03 10:15:00,2023-03-03 11:15:00,6914.45,6895,6895,2023-03-03 12:15:00,6895,-19.45,-21.395,694.1983817,-1.485237438,2023,3
2023-03-03 13:15:00,2023-03-03 14:15:00,6924.6,6901.45,6960.0375,2023-03-06 15:15:00,6952.3,27.7,24.93,693.1808335,1.728099818,2023,3
2023-03-08 09:15:00,2023-03-08 10:15:00,6947.85,6908.3,6991.26875,2023-03-09 12:15:00,6984.05,36.2,32.58,690.8612017,2.250825795,2023,3
2023-03-17 12:15:00,2023-03-17 13:15:00,6799.15,6780.75,6780.75,2023-03-20 09:15:00,6780.75,-18.4,-20.24,705.9705993,-1.428884493,2023,3
2023-03-21 11:15:00,2023-03-21 12:15:00,6770.45,6748.75,6805.3125,2023-03-22 14:15:00,6802.75,32.3,29.07,708.9632151,2.060956066,2023,3
2023-03-31 11:15:00,2023-03-31 12:15:00,6823.55,6809.65,6809.65,2023-04-05 10:15:00,6809.65,-13.9,-15.29,703.4461534,-1.075569169,2023,3
2023-04-05 11:15:00,2023-04-05 12:15:00,6785.05,6770.6,6770.6,2023-04-05 13:15:00,6770.6,-14.45,-15.895,707.4376755,-1.124472185,2023,4
2023-04-05 14:15:00,2023-04-05 15:15:00,6785.1,6763.55,6763.55,2023-04-06 09:15:00,6763.55,-21.55,-23.705,707.4324623,-1.676968652,2023,4
2023-04-06 11:15:00,2023-04-06 12:15:00,6827.25,6811.3,6862.8,2023-04-11 11:15:00,6856.55,29.3,26.37,703.0649237,1.853982204,2023,4
2023-04-11 12:15:00,2023-04-11 13:15:00,6867.45,6851.35,6972.86875,2023-04-17 09:15:00,6972.5,105.05,94.545,698.9493917,6.608217024,2023,4
2023-04-17 10:15:00,2023-04-17 11:15:00,6989.4,6964.6,7088.6125,2023-04-19 13:15:00,7075.15,85.75,77.175,686.7542278,5.300025753,2023,4
2023-04-20 13:15:00,2023-04-20 14:15:00,7105.8,7087.65,7087.65,2023-04-21 09:15:00,7087.65,-18.15,-19.965,675.5045174,-1.348644769,2023,4
2023-04-21 12:15:00,2023-04-21 13:15:00,7060.25,7037.85,7147.28125,2023-04-26 09:15:00,7140.35,80.1,72.09,679.8626111,4.901129563,2023,4
2023-04-26 10:15:00,2023-04-26 11:15:00,7150.8,7136,7182.51875,2023-04-27 15:15:00,7177.9,27.1,24.39,671.253566,1.637187448,2023,4
2023-04-28 10:15:00,2023-04-28 11:15:00,7188,7169.6,7336.59375,2023-05-03 11:15:00,7335.8,147.8,133.02,667.7796327,8.882804674,2023,4
2023-05-03 13:15:00,2023-05-03 14:15:00,7337.9,7314.95,7379.43125,2023-05-05 11:15:00,7370,32.1,28.89,654.1381049,1.889804985,2023,5
2023-05-08 12:15:00,2023-05-08 13:15:00,7426.8,7405.5,7458.24375,2023-05-09 13:15:00,7442.5,15.7,14.13,646.3079657,0.9132331556,2023,5
2023-05-10 10:15:00,2023-05-10 11:15:00,7428.95,7407.75,7462.625,2023-05-11 14:15:00,7462.6,33.65,30.285,646.1209188,1.956777203,2023,5
2023-05-12 09:15:00,2023-05-12 10:15:00,7464.05,7416.6,7544.1125,2023-05-16 14:15:00,7522.65,58.6,52.74,643.0825088,3.391617152,2023,5
2023-05-16 15:15:00,2023-05-17 09:15:00,7530.75,7519.55,7519.55,2023-05-17 10:15:00,7519.55,-11.2,-12.32,637.3867145,-0.7852604322,2023,5
2023-05-17 12:15:00,2023-05-17 13:15:00,7498,7466.05,7523.725,2023-05-18 12:15:00,7513.65,15.65,14.085,640.1707122,0.9016804481,2023,5
2023-05-23 09:15:00,2023-05-23 10:15:00,7605.6,7556.55,7610.08125,2023-05-24 11:15:00,7608.95,3.35,3.015,631.1139161,0.1902808457,2023,5
2023-05-24 13:15:00,2023-05-24 14:15:00,7616,7601.7,7601.7,2023-05-24 15:15:00,7601.7,-14.3,-15.73,630.2521008,-0.9913865546,2023,5
2023-05-25 11:15:00,2023-05-25 12:15:00,7613.75,7595.35,7763.9625,2023-05-30 10:15:00,7761.85,148.1,133.29,630.4383517,8.403112789,2023,5
2023-05-30 11:15:00,2023-05-30 12:15:00,7773.1,7758.7,7780.9,2023-05-31 11:15:00,7777.95,4.85,4.365,617.5142479,0.2695449692,2023,5
2023-05-31 12:15:00,2023-05-31 13:15:00,7783.25,7770.15,7829.56875,2023-06-01 14:15:00,7820.65,37.4,33.66,616.7089583,2.075842354,2023,5
2023-06-02 10:15:00,2023-06-02 11:15:00,7874.1,7849.45,7869.2625,2023-06-05 10:15:00,7868.55,-5.55,-6.105,609.5934773,-0.3721568179,2023,6
2023-06-05 11:15:00,2023-06-05 12:15:00,7877.9,7863.95,7863.95,2023-06-05 14:15:00,7863.95,-13.95,-15.345,609.2994326,-0.9349699793,2023,6
2023-06-06 11:15:00,2023-06-06 12:15:00,7824.15,7810.55,7912.63125,2023-06-08 11:15:00,7872.9,48.75,43.875,613.4851709,2.691666187,2023,6
2023-06-12 10:15:00,2023-06-12 11:15:00,7863.35,7844.25,7997.1125,2023-06-14 13:15:00,7995.85,132.5,119.25,610.4268537,7.27934023,2023,6
2023-06-15 12:15:00,2023-06-15 13:15:00,8030.2,8019.25,8019.25,2023-06-15 14:15:00,8019.25,-10.95,-12.045,597.7435182,-0.7199820677,2023,6
2023-06-16 10:15:00,2023-06-16 11:15:00,8045.5,8023.7,8100.9875,2023-06-19 13:15:00,8079.45,33.95,30.555,596.6067988,1.822932074,2023,6
2023-06-19 14:15:00,2023-06-19 15:15:00,8089.2,8071.5,8071.5,2023-06-20 09:15:00,8071.5,-17.7,-19.47,593.383771,-1.155318202,2023,6
2023-06-20 11:15:00,2023-06-20 12:15:00,8095.55,8079.9,8185.14375,2023-06-21 15:15:00,8183.4,87.85,79.065,592.9183317,4.687908789,2023,6
2023-06-28 10:15:00,2023-06-28 11:15:00,8121.7,8109.7,8230.31875,2023-07-03 11:15:00,8228.5,106.8,96.12,591.0092715,5.680781117,2023,6
2023-07-03 14:15:00,2023-07-03 15:15:00,8231.2,8216.85,8216.85,2023-07-04 09:15:00,8216.85,-14.35,-15.785,583.1470502,-0.9204976188,2023,7
2023-07-04 10:15:00,2023-07-04 11:15:00,8230.95,8211.75,8211.75,2023-07-04 13:15:00,8211.75,-19.2,-21.12,583.1647623,-1.231643978,2023,7
2023-07-04 14:15:00,2023-07-04 15:15:00,8212.5,8187.3,8328.875,2023-07-07 09:15:00,8325.65,113.15,101.835,584.4748858,5.952,2023,7
2023-07-13 10:15:00,2023-07-13 11:15:00,8341.5,8325.95,8325.95,2023-07-13 12:15:00,8325.95,-15.55,-17.105,575.4360726,-0.9842834023,2023,7
2023-07-14 11:15:00,2023-07-14 12:15:00,8281.95,8269.6,8342.7,2023-07-17 12:15:00,8339.15,57.2,51.48,579.5736511,2.983645156,2023,7
2023-07-17 13:15:00,2023-07-17 14:15:00,8347.25,8334.35,8439.15,2023-07-21 09:15:00,8429.35,82.1,73.89,575.0396837,4.248968223,2023,7
2023-07-21 10:15:00,2023-07-21 11:15:00,8450.2,8421.65,8468.1,2023-07-27 13:15:00,8467.35,17.15,15.435,568.0338927,0.8767603134,2023,7
2023-07-27 14:15:00,2023-07-27 15:15:00,8471.75,8413.4,8593.54375,2023-08-01 10:15:00,8593.15,121.4,109.26,566.5889574,6.190550949,2023,7
2023-08-01 13:15:00,2023-08-01 14:15:00,8594.9,8578.5,8578.5,2023-08-02 09:15:00,8578.5,-16.4,-18.04,558.470721,-1.007481181,2023,8
