Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2020-05-26,9200,2020-05-28,2,CE,64.8,84.24,28.0,2020-05-26 15:30:00,63.25,20.65,36.8,1028.80658436214,37860.08230452675,0.9279999999999999,36905.34979423869,118.31275720164611,3.690534979423869,2020
2020-05-26,9000,2020-05-28,2,PE,40.0,52.0,52.0,2020-05-26 11:30:00,94.35,28.3,-12.0,1666.6666666666667,-20000.0,0.92,-21533.333333333336,187.5,-2.1533333333333333,2020
2020-05-27,9150,2020-05-28,1,CE,29.2,37.96,37.96,2020-05-27 10:44:00,198.25,17.05,-8.760000000000002,2185.792349726776,-19147.540983606563,0.6716,-20615.519125683066,250.0,-2.0615519125683064,2020
2020-05-27,9000,2020-05-28,1,PE,50.0,65.0,65.0,2020-05-27 09:32:00,75.85,4.35,-15.0,1333.3333333333333,-20000.0,1.1500000000000001,-21533.33333333333,150.0,-2.153333333333333,2020
2020-05-28,9450,2020-05-28,0,CE,6.5,8.450000000000001,8.450000000000001,2020-05-28 09:16:00,42.4,8.4,-1.950000000000001,2116.4021164021165,-4126.984126984129,0.14950000000000002,-4443.386243386246,250.0,-0.4443386243386246,2020
2020-05-28,9250,2020-05-28,0,PE,6.5,8.450000000000001,0.05,2020-05-28 15:29:00,4.6,0.05,6.45,2162.162162162162,13945.945945945945,0.0655,13804.324324324323,250.0,1.3804324324324324,2020
2020-05-29,9500,2020-06-04,6,CE,77.85,101.205,101.205,2020-05-29 10:38:00,133.45,68.3,-23.355000000000004,856.3476771569256,-20000.0,1.79055,-21533.333333333332,101.69128666238491,-2.153333333333333,2020
2020-05-29,9350,2020-06-04,6,PE,121.7,158.21,78.0,2020-05-29 15:29:00,127.3,74.75,43.7,547.7951246233907,23938.646946042176,1.9969999999999999,22844.700082169264,64.02355519035878,2.2844700082169265,2020
2020-06-01,9800,2020-06-04,3,CE,85.6,111.28,111.28,2020-06-01 09:32:00,200.15,77.8,-25.680000000000007,778.8161993769469,-20000.0,1.9688,-21533.333333333336,95.404984423676,-2.1533333333333333,2020
2020-06-01,9650,2020-06-04,3,PE,104.9,136.37,56.6,2020-06-01 15:30:00,94.85,48.25,48.300000000000004,635.5258976803304,30695.900857959965,1.615,29669.52653320623,76.66031140768985,2.966952653320623,2020
2020-06-02,10000,2020-06-04,2,CE,39.0,50.7,50.7,2020-06-02 09:25:00,81.0,31.35,-11.700000000000003,1709.401709401709,-20000.0,0.897,-21533.333333333332,213.67521367521363,-2.153333333333333,2020
2020-06-02,9800,2020-06-04,2,PE,102.35,133.055,24.45,2020-06-02 15:30:00,116.3,24.45,77.89999999999999,651.3597134017258,50740.92167399443,1.268,49914.997557401046,79.7915648917114,4.991499755740104,2020
2020-06-03,10200,2020-06-04,1,CE,46.35,60.255,18.1,2020-06-03 15:30:00,58.5,12.15,28.25,1438.331535418914,40632.86587558432,0.6445000000000001,39705.86120100683,183.38727076591152,3.970586120100683,2020
2020-06-03,10000,2020-06-04,1,PE,36.4,47.32,47.32,2020-06-03 09:48:00,55.7,14.65,-10.920000000000002,1831.5018315018312,-20000.0,0.8372,-21533.333333333332,228.93772893772888,-2.153333333333333,2020
2020-06-04,10150,2020-06-04,0,CE,18.8,24.44,0.05,2020-06-04 15:29:00,21.65,0.05,18.75,1970.4433497536945,36945.812807881775,0.18850000000000003,36574.384236453196,250.0,3.6574384236453192,2020
2020-06-04,9950,2020-06-04,0,PE,9.15,11.895000000000001,11.895000000000001,2020-06-04 09:33:00,32.15,0.05,-2.745000000000001,2010.0502512562816,-5517.587939698495,0.21045000000000003,-5940.6030150753795,250.00000000000006,-0.594060301507538,2020
