entry date,entry time,index,strike,expiry,dte,option type,entry price,qty,exit date,exit time,exit price,points,slippage,final points,PnL,portfolio,index leverage,ROI%
2020-09-14,09:16:00,nifty,11650,2020-09-24,10,C,84.95,6900,2020-09-14,14:07:00,64.05,20.900000000000006,1.49,19.410000000000007,133929.00000000006,10000000,8,1.3392900000000005
2020-09-14,09:16:00,nifty,11450,2020-09-24,10,P,107.9,6975,2020-09-14,14:07:00,152.95,-45.04999999999998,2.6085000000000003,-47.65849999999998,-332418.03749999986,10000000,8,-3.3241803749999983
2020-09-14,14:08:00,nifty,11550,2020-09-24,10,C,102.05,6900,2020-09-16,09:56:00,117.65,-15.600000000000009,2.197,-17.797000000000008,-122799.30000000005,10000000,8,-1.2279930000000003
2020-09-14,14:08:00,nifty,11300,2020-09-24,10,P,98.8,7050,2020-09-16,09:56:00,53.25,45.55,1.5205000000000002,44.0295,310407.975,10000000,8,3.1040797499999995
2020-10-01,09:57:00,nifty,11700,2020-10-29,28,C,71.0,6825,2020-10-07,09:45:00,197.7,-126.69999999999999,2.687,-129.387,-883066.275,10000000,8,-8.83066275
2020-10-01,09:57:00,nifty,11050,2020-10-29,28,P,105.55,7275,2020-10-07,09:45:00,47.2,58.349999999999994,1.5275,56.82249999999999,413383.68749999994,10000000,8,4.133836874999999
2020-10-07,09:46:00,nifty,11950,2020-10-29,22,C,85.0,6675,2020-10-12,09:15:00,225.4,-140.4,3.1039999999999996,-143.50400000000002,-957889.2000000001,10000000,8,-9.578892
2020-10-07,09:46:00,nifty,11450,2020-10-29,22,P,110.75,6975,2020-10-12,09:15:00,53.55,57.2,1.6430000000000002,55.557,387510.075,10000000,8,3.87510075
2020-10-12,09:16:00,nifty,12200,2020-10-29,17,C,106.9,6525,2020-10-15,13:50:00,33.6,73.30000000000001,1.405,71.89500000000001,469114.87500000006,10000000,8,4.691148750000001
2020-10-12,09:16:00,nifty,11800,2020-10-29,17,P,125.45,6750,2020-10-15,13:50:00,175.0,-49.55,3.0045,-52.5545,-354742.875,10000000,8,-3.54742875
2020-10-15,13:51:00,nifty,11950,2020-10-29,14,C,99.25,6675,2020-10-21,09:15:00,137.95,-38.69999999999999,2.372,-41.07199999999999,-274155.5999999999,10000000,8,-2.741555999999999
2020-10-15,13:51:00,nifty,11650,2020-10-29,14,P,115.1,6900,2020-10-21,09:15:00,41.7,73.39999999999999,1.568,71.832,495640.79999999993,10000000,8,4.956407999999999
2020-11-02,09:16:00,nifty,12000,2020-11-26,24,C,144.85,6675,2020-11-05,09:15:00,268.65,-123.79999999999998,4.135,-127.93499999999999,-853966.1249999999,10000000,8,-8.539661249999998
2020-11-02,09:16:00,nifty,11400,2020-11-26,24,P,190.15,7050,2020-11-05,09:15:00,64.55,125.60000000000001,2.547,123.05300000000001,867523.65,10000000,8,8.6752365
2020-11-05,09:16:00,nifty,12300,2020-11-26,21,C,121.6,6525,2020-11-09,09:15:00,254.1,-132.5,3.757,-136.257,-889076.925,10000000,8,-8.89076925
2020-11-05,09:16:00,nifty,11800,2020-11-26,21,P,138.05,6750,2020-11-09,09:15:00,47.8,90.25000000000001,1.8585000000000003,88.39150000000001,596642.625,10000000,8,5.96642625
2020-11-09,09:16:00,nifty,12650,2020-11-26,17,C,82.1,6300,2020-11-11,09:15:00,220.0,-137.9,3.0210000000000004,-140.921,-887802.2999999999,10000000,8,-8.878023
2020-11-09,09:16:00,nifty,12200,2020-11-26,17,P,112.8,6525,2020-11-11,09:15:00,67.45,45.349999999999994,1.8025,43.54749999999999,284147.43749999994,10000000,8,2.8414743749999993
2020-11-11,09:16:00,nifty,12850,2020-11-26,15,C,122.0,6225,2020-11-17,09:15:00,135.95,-13.949999999999989,2.5795,-16.529499999999988,-102896.13749999992,10000000,8,-1.0289613749999993
2020-11-11,09:16:00,nifty,12500,2020-11-26,15,P,135.0,6375,2020-11-17,09:15:00,38.0,97.0,1.73,95.27,607346.25,10000000,8,6.0734625
2020-12-01,09:16:00,nifty,13450,2020-12-31,30,C,96.95,5925,2020-12-09,09:15:00,214.95,-117.99999999999999,3.1189999999999998,-121.11899999999999,-717630.075,10000000,8,-7.17630075
2020-12-01,09:16:00,nifty,12650,2020-12-31,30,P,130.95,6300,2020-12-09,09:15:00,37.25,93.69999999999999,1.682,92.01799999999999,579713.3999999999,10000000,8,5.797133999999999
2020-12-09,09:16:00,nifty,13750,2020-12-31,22,C,86.2,5850,2020-12-17,13:30:00,176.5,-90.3,2.627,-92.92699999999999,-543622.95,10000000,8,-5.4362295
2020-12-09,09:16:00,nifty,13150,2020-12-31,22,P,102.0,6075,2020-12-17,13:30:00,30.3,71.7,1.3230000000000002,70.37700000000001,427540.2750000001,10000000,8,4.2754027500000005
2021-01-01,13:31:00,nifty,14350,2021-01-28,27,C,142.85,5550,2021-01-08,15:11:00,242.35,-99.5,3.852,-103.352,-573603.6,10000000,8,-5.736036
2021-01-01,13:31:00,nifty,13600,2021-01-28,27,P,126.6,5850,2021-01-08,15:11:00,52.25,74.35,1.7885,72.5615,424484.77499999997,10000000,8,4.24484775
2021-01-08,15:12:00,nifty,14650,2021-01-28,20,C,103.85,5475,2021-01-13,09:43:00,231.2,-127.35,3.3505,-130.7005,-715585.2375,10000000,8,-7.155852375
2021-01-08,15:12:00,nifty,14050,2021-01-28,20,P,128.0,5700,2021-01-13,09:43:00,74.35,53.650000000000006,2.0235,51.62650000000001,294271.05000000005,10000000,8,2.9427105000000005
2021-01-13,09:44:00,nifty,14850,2021-01-28,15,C,134.5,5400,2021-01-13,14:03:00,89.0,45.5,2.235,43.265,233631.0,10000000,8,2.33631
2021-01-13,09:44:00,nifty,14450,2021-01-28,15,P,155.45,5550,2021-01-13,14:03:00,223.15,-67.70000000000002,3.7860000000000005,-71.48600000000002,-396747.3000000001,10000000,8,-3.967473000000001
2021-01-13,14:04:00,nifty,14650,2021-01-28,15,C,158.85,5475,2021-01-18,15:21:00,60.85,98.0,2.197,95.803,524521.4249999999,10000000,8,5.245214249999999
2021-01-13,14:04:00,nifty,14250,2021-01-28,15,P,154.0,5625,2021-01-18,15:21:00,201.55,-47.55000000000001,3.5555000000000003,-51.10550000000001,-287468.43750000006,10000000,8,-2.8746843750000006
2021-02-01,15:22:00,nifty,14100,2021-02-25,24,C,467.15,5700,2021-02-01,13:04:00,339.5,127.64999999999998,8.0665,119.58349999999997,681625.9499999998,10000000,8,6.816259499999998
2021-02-01,15:22:00,nifty,13450,2021-02-25,24,P,74.8,5925,2021-02-01,13:04:00,107.3,-32.5,1.821,-34.321,-203351.925,10000000,8,-2.03351925
2021-02-01,13:05:00,nifty,14450,2021-02-25,24,C,174.05,5550,2021-02-02,09:15:00,351.5,-177.45,5.2555,-182.7055,-1014015.525,10000000,8,-10.14015525
