Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
50,2018-02-14 21:00:00+05:30,2018-02-22 09:00:00+05:30,Long,30675.0,30407,-268.0,61.082,-329.082,4819.281999999999
51,2018-03-01 21:00:00+05:30,2018-03-02 17:00:00+05:30,Short,30130.0,30490,-360.0,60.620000000000005,-420.62,4398.661999999999
52,2018-03-23 09:00:00+05:30,2018-03-28 21:00:00+05:30,Long,30795.0,30500,-295.0,61.295,-356.295,4042.3669999999993
53,2018-04-02 21:00:00+05:30,2018-04-05 09:00:00+05:30,Long,31051.0,30644,-407.0,61.695,-468.695,3573.671999999999
54,2018-04-11 13:00:00+05:30,2018-04-26 17:00:00+05:30,Long,31256.0,31232,-24.0,62.488,-86.488,3487.1839999999993
55,2018-05-01 17:00:00+05:30,2018-05-04 21:00:00+05:30,Short,30907.0,31129,-222.0,62.036,-284.036,3203.1479999999992
56,2018-06-21 09:00:00+05:30,2018-07-05 17:00:00+05:30,Short,30651.0,30694,-43.0,61.345,-104.345,3098.8029999999994
57,2018-07-12 13:00:00+05:30,2018-08-10 17:00:00+05:30,Short,30178.0,29765,413.0,59.943,353.057,3451.8599999999997
58,2018-08-16 21:00:00+05:30,2018-08-21 21:00:00+05:30,Short,29301.0,29617,-316.0,58.918,-374.918,3076.9419999999996
59,2018-08-27 17:00:00+05:30,2018-09-26 17:00:00+05:30,Long,30026.0,30617,591.0,60.643,530.357,3607.2989999999995
59,2018-09-17 17:00:00+05:30,2018-09-26 17:00:00+05:30,Add_Long,30765.0,30617,-148.0,61.382,-209.382,3397.9169999999995
60,2018-09-28 09:00:00+05:30,2018-10-01 09:00:00+05:30,Short,30259.0,30749,-490.0,61.008,-551.008,2846.9089999999997
61,2018-10-03 09:00:00+05:30,2018-10-30 13:00:00+05:30,Long,31285.0,31830,545.0,63.115,481.885,3328.794
62,2018-11-08 17:00:00+05:30,2018-12-03 09:00:00+05:30,Short,31340.0,30693,647.0,62.033,584.967,3913.761
63,2018-12-04 13:00:00+05:30,2018-12-18 13:00:00+05:30,Long,31029.0,31224,195.0,62.253,132.747,4046.508
64,2019-01-03 09:00:00+05:30,2019-01-04 21:00:00+05:30,Long,31860.0,31476,-384.0,63.336,-447.336,3599.1719999999996
65,2019-01-09 21:00:00+05:30,2019-01-24 13:00:00+05:30,Long,31995.0,32006,11.0,64.001,-53.001000000000005,3546.1709999999994
66,2019-01-28 09:00:00+05:30,2019-02-12 09:00:00+05:30,Long,32503.0,32960,457.0,65.46300000000001,391.537,3937.707999999999
67,2019-02-18 21:00:00+05:30,2019-02-22 13:00:00+05:30,Long,33615.0,33347,-268.0,66.962,-334.962,3602.745999999999
68,2019-02-28 21:00:00+05:30,2019-03-22 17:00:00+05:30,Short,32970.0,32092,878.0,65.062,812.938,4415.683999999999
68,2019-03-15 09:00:00+05:30,2019-03-22 17:00:00+05:30,Add_Short,31777.0,32092,-315.0,63.869,-378.869,4036.814999999999
69,2019-03-29 09:00:00+05:30,2019-04-05 21:00:00+05:30,Short,31521.0,31884,-363.0,63.405,-426.405,3610.409999999999
70,2019-04-18 09:00:00+05:30,2019-04-24 21:00:00+05:30,Short,31477.0,31830,-353.0,63.307,-416.307,3194.102999999999
71,2019-05-02 13:00:00+05:30,2019-05-07 17:00:00+05:30,Short,31363.0,31720,-357.0,63.083,-420.08299999999997,2774.019999999999
72,2019-05-13 17:00:00+05:30,2019-05-16 17:00:00+05:30,Long,32472.0,31940,-532.0,64.412,-596.412,2177.6079999999993
73,2019-05-20 09:00:00+05:30,2019-05-29 09:00:00+05:30,Short,31432.0,31770,-338.0,63.202,-401.202,1776.4059999999993
74,2019-05-31 17:00:00+05:30,2019-07-01 09:00:00+05:30,Long,32150.0,33693,1543.0,65.843,1477.157,3253.562999999999
75,2019-07-03 09:00:00+05:30,2019-07-25 21:00:00+05:30,Long,34410.0,34843,433.0,69.253,363.747,3617.309999999999
76,2019-07-31 09:00:00+05:30,2019-09-06 09:00:00+05:30,Long,35400.0,38553,3153.0,73.953,3079.047,6696.356999999999
77,2019-09-10 21:00:00+05:30,2019-09-24 21:00:00+05:30,Short,38270.0,38128,142.0,76.398,65.602,6761.958999999999
78,2019-10-01 09:00:00+05:30,2019-10-01 17:00:00+05:30,Short,37292.0,37906,-614.0,75.19800000000001,-689.198,6072.760999999999
79,2019-10-03 17:00:00+05:30,2019-10-11 13:00:00+05:30,Long,38510.0,38065,-445.0,76.575,-521.575,5551.185999999999
80,2019-10-31 21:00:00+05:30,2019-11-05 17:00:00+05:30,Long,38587.0,38020,-567.0,76.607,-643.607,4907.578999999999
81,2019-11-07 21:00:00+05:30,2019-11-13 13:00:00+05:30,Short,37572.0,38125,-553.0,75.697,-628.697,4278.881999999999
82,2019-12-04 09:00:00+05:30,2019-12-06 17:00:00+05:30,Long,38447.0,37732,-715.0,76.179,-791.179,3487.7029999999986
83,2019-12-24 09:00:00+05:30,2020-01-13 21:00:00+05:30,Long,38341.0,39548,1207.0,77.889,1129.111,4616.8139999999985
84,2020-01-24 17:00:00+05:30,2020-02-04 17:00:00+05:30,Long,40385.0,40060,-325.0,80.44500000000001,-405.445,4211.368999999999
85,2020-02-18 17:00:00+05:30,2020-02-28 21:00:00+05:30,Long,41278.0,41300,22.0,82.578,-60.578,4150.790999999998
86,2020-03-03 13:00:00+05:30,2020-03-12 17:00:00+05:30,Long,42490.0,41975,-515.0,84.465,-599.465,3551.325999999998
86,2020-03-12 17:00:00+05:30,2020-03-12 17:00:00+05:30,Short,41975.0,41975,0.0,83.95,-83.95,3467.3759999999984
88,2020-03-23 21:00:00+05:30,2020-03-24 13:00:00+05:30,Short,41052.0,41840,-788.0,82.892,-870.892,2596.4839999999986
89,2020-03-25 13:00:00+05:30,2020-04-30 21:00:00+05:30,Long,42485.0,44933,2448.0,87.418,2360.582,4957.065999999999
89,2020-04-30 21:00:00+05:30,2020-04-30 21:00:00+05:30,Short,44933.0,44933,0.0,89.866,-89.866,4867.199999999999
91,2020-05-14 17:00:00+05:30,2020-05-21 17:00:00+05:30,Long,46650.0,46403,-247.0,93.053,-340.053,4527.146999999999
92,2020-05-22 21:00:00+05:30,2020-05-26 17:00:00+05:30,Long,47061.0,46357,-704.0,93.418,-797.418,3729.728999999999
93,2020-06-03 17:00:00+05:30,2020-06-04 21:00:00+05:30,Short,45849.0,46669,-820.0,92.518,-912.518,2817.210999999999
94,2020-06-05 17:00:00+05:30,2020-06-09 13:00:00+05:30,Short,45585.0,46444,-859.0,92.029,-951.029,1866.1819999999989
95,2020-06-11 09:00:00+05:30,2020-08-11 13:00:00+05:30,Long,47280.0,53298,6018.0,100.578,5917.422,7783.603999999998
95,2020-07-08 13:00:00+05:30,2020-08-11 13:00:00+05:30,Add_Long,48982.0,53298,4316.0,102.28,4213.72,11997.323999999999
96,2020-08-11 17:00:00+05:30,2020-08-17 17:00:00+05:30,Short,52245.0,53307,-1062.0,105.552,-1167.552,10829.771999999999
97,2020-08-19 17:00:00+05:30,2020-09-01 13:00:00+05:30,Short,52371.0,51970,401.0,104.34100000000001,296.659,11126.430999999999
98,2020-09-02 09:00:00+05:30,2020-09-08 21:00:00+05:30,Short,51186.0,51376,-190.0,102.562,-292.562,10833.868999999999
99,2020-09-15 09:00:00+05:30,2020-09-17 09:00:00+05:30,Long,51979.0,51453,-526.0,103.432,-629.432,10204.436999999998
100,2020-09-21 17:00:00+05:30,2020-09-29 17:00:00+05:30,Short,50086.0,50525,-439.0,100.611,-539.611,9664.825999999997
101,2020-10-09 17:00:00+05:30,2020-10-13 17:00:00+05:30,Long,50925.0,50286,-639.0,101.211,-740.211,8924.614999999998
102,2020-10-21 17:00:00+05:30,2020-10-22 17:00:00+05:30,Long,51284.0,50680,-604.0,101.964,-705.9639999999999,8218.650999999998
