index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Cumulative_PnL,Trade Year,ROI% w cs
86,39,2019-05-09 17:00:00+05:30,2019-05-16 17:00:00+05:30,Long,32010.0,31553.714285714286,31940,-70.0,63.95,-133.95,1095.8046336881666,-146783.0306825299,-1.467830306825299,9446.861892857141,2019,-1.467830306825299
87,40,2019-05-31 09:00:00+05:30,2019-07-01 09:00:00+05:30,Long,32102.0,31570.571428571428,33693,1591.0,65.795,1525.205,940.8602150537616,1435004.7043010725,14.350047043010727,10972.066892857141,2019,14.350047043010727
88,40,2019-06-12 09:00:00+05:30,2019-07-01 09:00:00+05:30,Add_Long,32749.0,31570.571428571428,33693,944.0,66.44200000000001,877.558,424.2938538004603,372342.46575342433,3.723424657534243,11849.62489285714,2019,3.723424657534243
89,40,2019-06-28 09:00:00+05:30,2019-07-01 09:00:00+05:30,Add_Long,34405.0,31570.571428571428,33693,-712.0,68.098,-780.098,176.40239907262733,-137611.15871175844,-1.3761115871175844,11069.52689285714,2019,-1.3761115871175844
90,41,2019-07-05 13:00:00+05:30,2019-07-26 13:00:00+05:30,Long,34887.0,34046.78571428572,34816,-71.0,69.703,-140.703,595.0862875116914,-83730.42591175751,-0.8373042591175752,10928.82389285714,2019,-0.8373042591175752
91,41,2019-07-10 17:00:00+05:30,2019-07-26 13:00:00+05:30,Add_Long,34626.0,34046.78571428572,34816,190.0,69.44200000000001,120.55799999999999,863.2383771118557,104070.2922678511,1.040702922678511,11049.381892857142,2019,1.040702922678511
92,41,2019-07-17 17:00:00+05:30,2019-07-26 13:00:00+05:30,Add_Long,34946.0,34046.78571428572,34816,-130.0,69.762,-199.762,556.0409881642723,-111075.85987767138,-1.1107585987767137,10849.619892857141,2019,-1.1107585987767137
93,41,2019-07-25 17:00:00+05:30,2019-07-26 13:00:00+05:30,Add_Long,35094.0,34046.78571428572,34816,-278.0,69.91,-347.90999999999997,477.45719937248623,-166112.13423368166,-1.6611213423368165,10501.709892857141,2019,-1.6611213423368165
94,42,2019-07-31 09:00:00+05:30,2019-09-06 09:00:00+05:30,Long,35400.0,34842.5,38553,3153.0,73.953,3079.047,896.8609865470852,2761477.130044843,27.614771300448428,13580.756892857142,2019,27.614771300448428
95,42,2019-08-20 13:00:00+05:30,2019-09-06 09:00:00+05:30,Add_Long,38014.0,34842.5,38553,539.0,76.56700000000001,462.433,157.65410688948447,72904.46161122496,0.7290446161122496,14043.189892857143,2019,0.7290446161122496
96,42,2019-09-03 09:00:00+05:30,2019-09-06 09:00:00+05:30,Add_Long,39119.0,34842.5,38553,-566.0,77.672,-643.672,116.91804045364199,-75256.86893487665,-0.7525686893487665,13399.517892857142,2019,-0.7525686893487665
97,43,2019-10-03 17:00:00+05:30,2019-10-11 13:00:00+05:30,Long,38510.0,37679.71428571428,38065,-445.0,76.575,-521.575,602.2023399862331,-314093.6854783196,-3.140936854783196,12877.942892857141,2019,-3.140936854783196
98,44,2019-10-31 21:00:00+05:30,2019-11-05 17:00:00+05:30,Long,38587.0,38035.07142857143,38035.07142857143,-551.9285714285725,76.62207142857142,-628.5506428571439,905.9143263879885,-569413.0322246666,-5.694130322246665,12249.392249999997,2019,-5.694130322246665
99,45,2019-12-03 17:00:00+05:30,2019-12-06 17:00:00+05:30,Long,38315.0,37714.25,37714.25,-600.75,76.02925,-676.77925,832.2929671244278,-563278.610070745,-5.63278610070745,11572.612999999998,2019,-5.63278610070745
