,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
103,103,103,2020-11-26 15:15:00+05:30,2020-12-21 14:15:00+05:30,Long,44358.08,43794.671111111114,45595.47,Trailing SL Hit,1237.3899999999994,8.995355,1228.3946449999994,1803.5045700805806,2215415.3561200113,22.15415356120011,2020
104,104,104,2020-12-23 10:15:00+05:30,2021-01-15 13:15:00+05:30,Long,46204.18,45536.73111111111,48953.54,Trailing SL Hit,2749.3600000000006,9.515772,2739.8442280000004,1731.4450770471417,4743889.800446627,47.43889800446627,2020
105,105,105,2021-01-19 11:15:00+05:30,2021-01-22 10:15:00+05:30,Long,49215.21,48674.18444444445,49287.25,Trailing SL Hit,72.04000000000087,9.850246,62.189754000000875,1625.5137385373343,101090.29952325857,1.0109029952325856,2021
106,106,106,2021-02-01 13:15:00+05:30,2021-02-18 11:15:00+05:30,Long,48130.49,46658.76777777778,51452.81,Trailing SL Hit,3322.3199999999997,9.95833,3312.36167,1662.1480479421673,5505635.483868957,55.056354838689565,2021
107,107,107,2021-02-24 16:15:00+05:30,2021-02-26 09:15:00+05:30,Long,50776.79,49887.34444444445,50242.46,Trailing SL Hit,-534.3300000000017,10.101925,-544.4319250000018,1575.5229899329988,-857765.014290981,-8.57765014290981,2021
108,108,108,2021-03-02 09:15:00+05:30,2021-03-02 10:15:00+05:30,Long,50390.58,49592.11888888889,49977.67,Trailing SL Hit,-412.9100000000035,10.036825,-422.9468250000035,1587.5983169870242,-671469.667545011,-6.71469667545011,2021
109,109,109,2021-03-02 14:15:00+05:30,2021-03-05 13:15:00+05:30,Long,50345.81,49838.00555555555,50255.22,Trailing SL Hit,-90.58999999999651,10.060103,-100.6501029999965,1589.0100884264252,-159934.02906815326,-1.5993402906815326,2021
110,110,110,2021-03-09 14:15:00+05:30,2021-03-12 13:15:00+05:30,Long,51079.97,50542.740000000005,50672.08,Trailing SL Hit,-407.8899999999994,10.175205,-418.0652049999994,1566.1716324422273,-654761.8645821435,-6.547618645821435,2021
111,111,111,2021-03-16 10:15:00+05:30,2021-03-16 11:15:00+05:30,Long,50790.22,50102.653333333335,50659.62,Trailing SL Hit,-130.59999999999854,10.144984000000001,-140.74498399999854,1575.1063885921344,-221688.32346069545,-2.2168832346069545,2021
112,112,112,2021-03-30 09:15:00+05:30,2021-03-31 14:15:00+05:30,Long,49770.41,48867.94777777778,49527.7,Trailing SL Hit,-242.7100000000064,9.929811,-252.6398110000064,1607.3807710243898,-406088.3741966464,-4.060883741966464,2021
113,113,113,2021-04-01 14:15:00+05:30,2021-04-05 09:15:00+05:30,Long,50055.3,49600.945555555554,49600.945555555554,Initial SL Hit,-454.35444444444875,9.965624555555557,-464.3200690000043,1598.2323550153528,-742091.357358768,-7.42091357358768,2021
114,114,114,2021-04-07 10:15:00+05:30,2021-04-09 13:15:00+05:30,Long,49786.65,49146.69222222222,49582.7,Trailing SL Hit,-203.95000000000437,9.936935000000002,-213.88693500000437,1606.8564564998849,-343685.60246572824,-3.436856024657282,2021
115,115,115,2021-04-16 09:15:00+05:30,2021-04-16 11:15:00+05:30,Long,48961.75,48352.97666666666,48903.73,Trailing SL Hit,-58.0199999999968,9.786548000000002,-67.8065479999968,1633.9285258390478,-110791.0530158694,-1.107910530158694,2021
116,116,116,2021-04-26 09:15:00+05:30,2021-04-30 14:15:00+05:30,Long,48555.05,47932.37888888889,48783.15,Trailing SL Hit,228.09999999999854,9.733820000000001,218.36617999999854,1647.6144087999085,359783.26456259197,3.5978326456259198,2021
117,117,117,2021-05-07 09:15:00+05:30,2021-05-12 09:15:00+05:30,Long,49339.52,48792.37333333333,48792.37333333333,Initial SL Hit,-547.1466666666674,9.813189333333334,-556.9598560000007,1621.4182870040083,-903064.8956455203,-9.030648956455202,2021
118,118,118,2021-05-17 09:15:00+05:30,2021-06-17 11:15:00+05:30,Long,49213.13,48622.683333333334,52350.08,Trailing SL Hit,3136.9500000000044,10.156321,3126.7936790000044,1625.5824411087042,5082860.901552093,50.82860901552093,2021
119,119,119,2021-06-21 14:15:00+05:30,2021-06-23 12:15:00+05:30,Long,52567.94,52109.58111111111,52398.93,Trailing SL Hit,-169.01000000000204,10.496687,-179.50668700000205,1521.8401177599883,-273180.47768278845,-2.7318047768278846,2021
120,120,120,2021-07-05 09:15:00+05:30,2021-07-08 12:15:00+05:30,Long,52801.71,52323.619999999995,52661.77,Trailing SL Hit,-139.94000000000233,10.546348,-150.48634800000232,1515.1024464927368,-228002.23401856088,-2.280022340185609,2021
121,121,121,2021-07-15 10:15:00+05:30,2021-07-19 09:15:00+05:30,Long,53193.1,52826.46444444444,52826.46444444444,Initial SL Hit,-366.6355555555565,10.601956444444443,-377.23751200000095,1503.9544602589433,-567348.0387493881,-5.673480387493881,2021
122,122,122,2021-07-22 09:15:00+05:30,2021-07-27 12:15:00+05:30,Long,52750.43,52211.56222222222,52483.93,Trailing SL Hit,-266.5,10.523436,-277.023436,1516.575315120654,-420126.90474750637,-4.201269047475064,2021
123,123,123,2021-08-03 09:15:00+05:30,2021-09-20 14:15:00+05:30,Long,53288.86,52860.753333333334,58562.4,Trailing SL Hit,5273.540000000001,11.185126000000002,5262.354874000001,1501.2518563917486,7900120.023584667,79.00120023584667,2021
124,124,124,2021-09-22 09:15:00+05:30,2021-09-28 12:15:00+05:30,Long,59158.26,58542.717777777776,59190.68,Trailing SL Hit,32.419999999998254,11.834894,20.585105999998255,1352.3048176197203,27837.338015010253,0.27837338015010255,2021
125,125,125,2021-10-04 09:15:00+05:30,2021-10-05 09:15:00+05:30,Long,59397.48,58705.665555555555,59248.55,Trailing SL Hit,-148.9300000000003,11.864603,-160.79460300000028,1346.8584862522787,-216567.5755941165,-2.165675755941165,2021
126,126,126,2021-10-05 14:15:00+05:30,2021-10-06 14:15:00+05:30,Long,59766.95,59301.899999999994,59301.899999999994,Initial SL Hit,-465.0500000000029,11.906884999999999,-476.9568850000029,1338.5324163270839,-638422.2517628929,-6.384222517628929,2021
