,Trade No.,Entry Date,Entry Time,Entry Price,Entry Remark,Initial SL,Final SL,TSL Time,Exit Date,Exit Time,Exit Price,Remarks,Trade Year,Trade Month,Points Captured,Slippage,Points w cs,Qty,PnL,ROI%
68,35,2018-12-05,17:00:00,30982,Long,30594.725000000002,30594.725000000002,2018-12-05 13:00:00+05:30,2018-12-20,13:00:00,31029,MA Bear Cross,2018,12,47,62.011,-15.011000000000003,1291.0722354915831,-19380.285326964156,-0.19380285326964156
69,35,2018-12-07,17:00:00,31296,Pyr Long,30904.800000000003,30885.0,2018-12-05 13:00:00+05:30,2018-12-20,13:00:00,31029,MA Bear Cross,2018,12,-267,62.325,-329.325,511.247443762785,-168366.56441717915,-1.6836656441717914
70,36,2018-12-26,17:00:00,31677,Long,31281.037500000002,31281.037500000002,2019-02-25 21:00:00+05:30,2019-02-28,13:00:00,33255,Trailing SL,2018,12,1578,64.932,1513.068,1262.7458408308937,1910620.3238943187,19.106203238943188
71,36,2019-01-03,09:00:00,31768,Pyr Long,31370.9,31300.0,2019-02-25 21:00:00+05:30,2019-02-28,13:00:00,33255,Trailing SL,2018,12,1487,65.023,1421.977,503.6514731805609,716180.8108788745,7.161808108788745
72,36,2019-01-09,21:00:00,31938,Pyr Long,31538.775,31441.0,2019-02-25 21:00:00+05:30,2019-02-28,13:00:00,33255,Trailing SL,2018,12,1317,65.193,1251.807,500.9706305967831,627118.5421754672,6.271185421754672
73,36,2019-01-14,13:00:00,32135,Pyr Long,31733.3125,31441.0,2019-02-25 21:00:00+05:30,2019-02-28,13:00:00,33255,Trailing SL,2018,12,1120,65.39,1054.61,497.8994865411545,525089.7775011669,5.250897775011669
74,37,2019-03-27,17:00:00,32070,Long,31669.125,31669.125,2019-02-25 21:00:00+05:30,2019-03-28,13:00:00,31983,MA Bear Cross,2019,3,-87,64.053,-151.053,1247.2715933894606,-188404.1159962582,-1.884041159962582
75,38,2019-04-09,09:00:00,32188,Long,31785.65,31785.65,2019-02-25 21:00:00+05:30,2019-04-11,21:00:00,31785.65,Initial SL,2019,4,-402.34999999999854,63.97365,-466.32364999999857,1242.6991425375961,-579500.0000000003,-5.7950000000000035
76,38,2019-04-10,21:00:00,32287,Pyr Long,31883.412500000002,31785.65,2019-02-25 21:00:00+05:30,2019-04-11,21:00:00,31785.65,Initial SL,2019,4,-501.34999999999854,64.07265,-565.4226499999985,495.5554867284073,-280198.2965280151,-2.801982965280151
77,39,2019-04-30,09:00:00,31861,Long,31462.737500000003,31462.737500000003,2019-02-25 21:00:00+05:30,2019-05-02,09:00:00,31462.737500000003,Initial SL,2019,4,-398.2624999999971,63.32373750000001,-461.5862374999971,1255.453375600273,-579500.0000000006,-5.795000000000006
78,40,2019-05-09,17:00:00,32010,Long,31609.875,31609.875,2019-02-25 21:00:00+05:30,2019-05-20,09:00:00,31609.875,Initial SL,2019,5,-400.125,63.619875,-463.744875,1249.6094970321774,-579500.0,-5.795
79,40,2019-05-13,13:00:00,32050,Pyr Long,31649.375,31609.875,2019-02-25 21:00:00+05:30,2019-05-20,09:00:00,31609.875,Initial SL,2019,5,-440.125,63.659875,-503.784875,499.21996879875195,-251499.46957878314,-2.5149946957878315
80,41,2019-05-31,13:00:00,32096,Long,31694.800000000003,31694.800000000003,2019-06-27 17:00:00+05:30,2019-07-01,09:00:00,33693,Trailing SL,2019,5,1597,65.789,1531.211,1246.2612163509561,1908288.883349964,19.08288883349964
81,41,2019-06-07,17:00:00,32956,Pyr Long,32544.050000000003,31694.800000000003,2019-06-27 17:00:00+05:30,2019-07-01,09:00:00,33693,Trailing SL,2019,5,737,66.649,670.351,485.49581259861975,325452.60347129736,3.2545260347129736
82,41,2019-06-14,09:00:00,33040,Pyr Long,32627.0,32486.0,2019-06-27 17:00:00+05:30,2019-07-01,09:00:00,33693,Trailing SL,2019,5,653,66.733,586.267,484.26150121065376,283906.5375302664,2.839065375302664
83,41,2019-06-20,09:00:00,33258,Pyr Long,32842.275,32886.0,2019-06-27 17:00:00+05:30,2019-07-01,09:00:00,33693,Trailing SL,2019,5,435,66.95100000000001,368.049,481.08725720127654,177063.6839256726,1.7706368392567262
84,42,2019-07-31,17:00:00,35418,Long,34975.275,34975.275,2019-08-27 13:00:00+05:30,2019-08-30,09:00:00,38701,Trailing SL,2019,7,3283,74.119,3208.881,1129.3692472754003,3624011.519566334,36.240115195663336
85,42,2019-08-13,09:00:00,38488,Pyr Long,38006.9,37624.0,2019-08-27 13:00:00+05:30,2019-08-30,09:00:00,38701,Trailing SL,2019,7,213,77.18900000000001,135.81099999999998,415.7139887757236,56458.532529619784,0.5645853252961979
86,42,2019-08-22,13:00:00,38077,Pyr Long,37601.0375,37605.0,2019-08-27 13:00:00+05:30,2019-08-30,09:00:00,38701,Trailing SL,2019,7,624,76.778,547.222,420.20117131076375,229943.32536701876,2.2994332536701876
87,42,2019-08-29,09:00:00,39340,Pyr Long,38848.25,38713.0,2019-08-27 13:00:00+05:30,2019-08-30,09:00:00,38701,Trailing SL,2019,7,-639,78.041,-717.0409999999999,406.7107269954245,-291628.2663955262,-2.916282663955262
88,43,2019-10-04,13:00:00,38410,Long,37929.875,37929.875,2019-10-07 21:00:00+05:30,2019-10-11,17:00:00,37929.875,Initial SL,2019,10,-480.125,76.339875,-556.464875,1041.3954699297058,-579500.0,-5.795
89,44,2019-10-17,09:00:00,38147,Long,37670.1625,37670.1625,2019-10-16 17:00:00+05:30,2019-10-18,21:00:00,38090,MA Bear Cross,2019,10,-57,76.237,-133.237,1048.5752483812587,-139709.02036857375,-1.3970902036857376
90,45,2019-10-25,17:00:00,38354,Long,37874.575000000004,37874.575000000004,2019-10-16 17:00:00+05:30,2019-10-29,09:00:00,37874.575000000004,Initial SL,2019,10,-479.42499999999563,76.228575,-555.6535749999956,1042.915993116764,-579500.0000000007,-5.795000000000007
91,46,2019-11-01,13:00:00,38444,Long,37963.450000000004,37963.450000000004,2019-11-01 21:00:00+05:30,2019-11-05,17:00:00,38020,Trailing SL,2019,11,-424,76.464,-500.464,1040.474456352106,-520720.0083238004,-5.207200083238004
92,47,2019-11-18,09:00:00,37910,Long,37436.125,37436.125,2019-11-18 17:00:00+05:30,2019-11-25,09:00:00,37770,Trailing SL,2019,11,-140,75.68,-215.68,1055.1305724083356,-227570.56185702982,-2.2757056185702984
93,47,2019-11-20,13:00:00,38247,Pyr Long,37768.9125,37791.0,2019-11-18 17:00:00+05:30,2019-11-25,09:00:00,37770,Trailing SL,2019,11,-477,76.017,-553.017,418.3334640625396,-231345.51729547346,-2.3134551729547344
94,48,2019-12-03,21:00:00,38330,Long,37850.875,37850.875,2019-11-18 17:00:00+05:30,2019-12-06,17:00:00,37850.875,Initial SL,2019,12,-479.125,76.180875,-555.305875,1043.5690060005218,-579500.0,-5.795
95,49,2019-12-18,13:00:00,37965,Long,37490.4375,37490.4375,2020-01-29 09:00:00+05:30,2020-02-04,17:00:00,40060,Trailing SL,2019,12,2095,78.025,2016.975,1053.6020018438035,2125088.8976689056,21.250888976689055
96,49,2019-12-19,21:00:00,37995,Pyr Long,37520.0625,37802.0,2020-01-29 09:00:00+05:30,2020-02-04,17:00:00,40060,Trailing SL,2019,12,2065,78.055,1986.945,421.1080405316489,836718.515594157,8.36718515594157
97,49,2020-01-02,17:00:00,39270,Pyr Long,38779.125,37802.0,2020-01-29 09:00:00+05:30,2020-02-04,17:00:00,40060,Trailing SL,2019,12,790,79.33,710.67,407.4357015533486,289552.33002291824,2.8955233002291823
98,49,2020-01-08,09:00:00,41096,Pyr Long,40582.3,37802.0,2020-01-29 09:00:00+05:30,2020-02-04,17:00:00,40060,Trailing SL,2019,12,-1036,81.156,-1117.156,389.3322951138819,-434944.90948024386,-4.349449094802439
99,50,2020-02-10,09:00:00,40590,Long,40082.625,40082.625,2020-02-25 09:00:00+05:30,2020-02-26,17:00:00,42362,Trailing SL,2020,2,1772,82.952,1689.048,985.4644000985464,1664496.6740576497,16.644966740576496
100,50,2020-02-14,17:00:00,40724,Pyr Long,40214.950000000004,40300.0,2020-02-25 09:00:00+05:30,2020-02-26,17:00:00,42362,Trailing SL,2020,2,1638,83.086,1554.914,392.8887142716859,610908.1622630442,6.109081622630441
101,50,2020-02-18,13:00:00,41010,Pyr Long,40497.375,40300.0,2020-02-25 09:00:00+05:30,2020-02-26,17:00:00,42362,Trailing SL,2020,2,1352,83.372,1268.628,390.14874420872957,494953.62106803217,4.949536210680321
102,51,2020-03-26,13:00:00,42515,Long,41983.5625,41983.5625,2020-04-21 13:00:00+05:30,2020-04-30,21:00:00,44933,Trailing SL,2020,3,2418,87.44800000000001,2330.552,940.8444078560508,2192686.816417735,21.926868164177353
103,51,2020-04-07,09:00:00,44535,Pyr Long,43978.3125,41983.5625,2020-04-21 13:00:00+05:30,2020-04-30,21:00:00,44933,Trailing SL,2020,3,398,89.468,308.532,359.26799146738523,110845.67194341529,1.108456719434153
104,51,2020-04-13,09:00:00,45724,Pyr Long,45152.450000000004,42622.0,2020-04-21 13:00:00+05:30,2020-04-30,21:00:00,44933,Trailing SL,2020,3,-791,90.657,-881.657,349.9256408013324,-308514.3906919803,-3.0851439069198032
105,52,2020-06-01,13:00:00,46740,Long,46155.75,46155.75,2020-04-21 13:00:00+05:30,2020-06-03,17:00:00,46155.75,Initial SL,2020,6,-584.25,92.89575,-677.14575,855.7980316645271,-579500.0,-5.795
106,53,2020-06-11,13:00:00,46990,Long,46402.625,46402.625,2020-07-14 13:00:00+05:30,2020-07-17,09:00:00,48765,Trailing SL,2020,6,1775,95.755,1679.245,851.2449457331347,1429448.8188976378,14.294488188976377
107,53,2020-06-19,17:00:00,47650,Pyr Long,47054.375,46546.0,2020-07-14 13:00:00+05:30,2020-07-17,09:00:00,48765,Trailing SL,2020,6,1115,96.415,1018.585,335.7817418677859,342022.2455403987,3.4202224554039873
108,53,2020-06-24,09:00:00,48289,Pyr Long,47685.387500000004,46546.0,2020-07-14 13:00:00+05:30,2020-07-17,09:00:00,48765,Trailing SL,2020,6,476,97.054,378.946,331.3384000497032,125559.36134523484,1.2555936134523482
109,53,2020-06-30,17:00:00,48462,Pyr Long,47856.225,47700.0,2020-07-14 13:00:00+05:30,2020-07-17,09:00:00,48765,Trailing SL,2020,6,303,97.227,205.773,330.1555858198168,67937.10536090116,0.6793710536090116
110,54,2020-08-20,13:00:00,52050,Long,51399.375,51399.375,2020-07-14 13:00:00+05:30,2020-08-21,09:00:00,51990,MA Bear Cross,2020,8,-60,104.04,-164.04000000000002,768.4918347742555,-126063.40057636889,-1.260634005763689
111,55,2020-09-14,09:00:00,51480,Long,50836.5,50836.5,2020-09-17 17:00:00+05:30,2020-09-21,13:00:00,50836.5,Initial SL,2020,9,-643.5,102.3165,-745.8165,777.000777000777,-579500.0,-5.795
112,56,2020-10-12,21:00:00,51098,Long,50459.275,50459.275,2020-09-17 17:00:00+05:30,2020-10-13,17:00:00,50459.275,Initial SL,2020,10,-638.7249999999985,101.55727499999999,-740.2822749999985,782.809503307372,-579500.0000000002,-5.795000000000003
113,57,2020-10-19,13:00:00,50776,Long,50141.3,50141.3,2020-10-26 09:00:00+05:30,2020-10-28,17:00:00,50431,Trailing SL,2020,10,-345,101.20700000000001,-446.207,787.7737513786077,-351510.1622813944,-3.5151016228139436
114,57,2020-10-20,21:00:00,50940,Pyr Long,50303.25,50437.0,2020-10-26 09:00:00+05:30,2020-10-28,17:00:00,50431,Trailing SL,2020,10,-509,101.371,-610.371,314.0950137416568,-191714.48763250883,-1.9171448763250885
115,58,2020-11-03,21:00:00,51620,Long,50974.75,50974.75,2020-10-26 09:00:00+05:30,2020-11-04,21:00:00,50974.75,Initial SL,2020,11,-645.25,102.59475,-747.84475,774.8934521503294,-579500.0,-5.795
116,59,2020-12-08,09:00:00,50017,Long,49391.787500000006,49391.787500000006,2020-12-07 13:00:00+05:30,2020-12-09,17:00:00,49391.787500000006,Initial SL,2020,12,-625.2124999999942,99.4087875,-724.6212874999942,799.7280924485749,-579500.0000000007,-5.795000000000007
117,60,2020-12-17,13:00:00,50096,Long,49469.8,49469.8,2021-01-06 21:00:00+05:30,2021-01-08,13:00:00,50239,Trailing SL,2020,12,143,100.33500000000001,42.66499999999999,798.4669434685441,34066.59214308543,0.3406659214308543
118,60,2020-12-21,09:00:00,50642,Pyr Long,50008.975000000006,49469.8,2021-01-06 21:00:00+05:30,2021-01-08,13:00:00,50239,Trailing SL,2020,12,-403,100.881,-503.881,315.94328817977464,-159197.819991313,-1.5919781999131302
