,Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI,PnL_w_cs,ROI_w_cs,Trade Year
3746,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18800CE,9:16:00,15:15:00,11.9,0.15,-159.5744681,1875.0,11.75,0.001875,1873.077127659395,0.1873077127659395,2023
3747,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18800PE,9:16:00,15:15:00,68.4,169.5,-159.5744681,-16132.97872,-101.1,-0.01613297872,-16170.94148596099,-1.617094148596099,2023
3748,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18850CE,9:16:00,14:47:00,3.05,0.3,-159.1511936,437.6657825,2.75,0.00043766578249999997,437.13262600144,0.043713262600144,2023
3749,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18850PE,9:16:00,14:47:00,109.3,187.6,-159.1511936,-12461.53846,-78.3,-0.01246153846,-12508.79044937984,-1.2508790449379839,2023
3750,2023-06-08,CLOSED,REBALANCE,2023-06-08,NIFTY,18600CE,14:47:00,15:22:00,64.05,42.7,-161.2903226,3443.548387,21.35,0.003443548387,3426.33064506245,0.342633064506245,2023
3751,2023-06-08,CLOSED,REBALANCE,2023-06-08,NIFTY,18600PE,14:47:00,15:22:00,1.3,2.05,-161.2903226,-120.9677419,-0.75,-0.0001209677419,-121.50806448070999,-0.012150806448070999,2023
3752,2023-06-08,CLOSED,REBALANCE,2023-06-08,NIFTY,18550CE,15:15:00,15:22:00,80.95,91.4,-161.7250674,-1690.026954,-10.45,-0.001690026954,-1717.90026936639,-0.171790026936639,2023
3753,2023-06-08,CLOSED,REBALANCE,2023-06-08,NIFTY,18550PE,15:15:00,15:22:00,0.05,0.4,-161.7250674,-56.60377358,-0.35,-5.6603773580000005e-05,-56.67654986033,-0.005667654986033,2023
3754,2023-06-15,CLOSED,HEDGE,2023-06-15,NIFTY,18450PE,9:16:00,15:22:00,1.55,0.2,813.0081301,-1097.560976,-1.35,-0.001097560976,-1096.138211772325,-0.10961382117723249,2023
3755,2023-06-15,CLOSED,HEDGE,2023-06-15,NIFTY,19050CE,9:16:00,15:22:00,0.8,0.25,787.4015748,-433.0708661,-0.55,-0.0004330708661,-432.24409444646,-0.043224409444646,2023
3756,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18650CE,9:16:00,15:22:00,94.75,30.65,-160.8579088,10310.99196,64.1,0.01031099196,10290.82037823648,1.029082037823648,2023
3757,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18650PE,9:16:00,15:22:00,9.8,3.1,-160.8579088,1077.747989,6.7,0.001077747989,1075.67292197648,0.107567292197648,2023
3758,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18700CE,9:16:00,15:22:00,55.9,3.85,-160.4278075,8350.26738,52.05,0.00835026738,8340.681818501875,0.8340681818501875,2023
3759,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18700PE,9:16:00,15:22:00,21.3,26.8,-160.4278075,-882.3529412,-5.5,-0.0008823529412000001,-890.06951874075,-0.08900695187407501,2023
3760,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18750CE,9:16:00,15:22:00,26.95,0.5,-160.0,4232.0,26.45,0.004232,4227.608,0.4227608,2023
3761,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18750PE,9:16:00,15:22:00,42.4,74.0,-160.0,-5056.0,-31.6,-0.005056,-5074.624,-0.5074624,2023
3762,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18800CE,9:16:00,15:22:00,10.35,0.45,-159.5744681,1579.787234,9.9,0.001579787234,1578.0638297445198,0.157806382974452,2023
3763,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18800PE,9:16:00,15:22:00,75.9,123.9,-159.5744681,-7659.574468,-48.0,-0.007659574468,-7691.45744672638,-0.769145744672638,2023
3764,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18850CE,9:16:00,14:56:00,3.3,0.4,-159.1511936,461.5384615,2.9,0.0004615384615,460.94960208367996,0.046094960208367994,2023
3765,2023-06-15,CLOSED,STRADDLE,2023-06-15,NIFTY,18850PE,9:16:00,14:56:00,118.7,176.9,-159.1511936,-9262.599469,-58.2,-0.009262599469,-9309.644561828161,-0.9309644561828161,2023
3766,2023-06-15,CLOSED,REBALANCE,2023-06-15,NIFTY,18600CE,14:56:00,15:22:00,73.5,78.35,-161.2903226,-782.2580645,-4.85,-0.0007822580645,-806.74999998681,-0.08067499999868101,2023
3767,2023-06-15,CLOSED,REBALANCE,2023-06-15,NIFTY,18600PE,14:56:00,15:22:00,0.4,0.35,-161.2903226,8.064516129,0.05,8.064516129e-06,7.943548387049999,0.0007943548387049999,2023
3768,2023-06-22,CLOSED,HEDGE,2023-06-22,NIFTY,18550PE,9:16:00,15:22:00,1.3,0.15,808.6253369,-929.9191375,-1.15,-0.0009299191375000001,-928.746630761495,-0.0928746630761495,2023
3769,2023-06-22,CLOSED,HEDGE,2023-06-22,NIFTY,19150CE,9:16:00,15:22:00,0.9,0.1,783.2898172,-626.6318538,-0.8,-0.0006266318538,-625.8485639828,-0.06258485639828,2023
3770,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18750CE,9:16:00,15:22:00,100.9,34.7,-160.0,10592.0,66.2,0.010592,10570.304,1.0570304,2023
3771,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18750PE,9:16:00,15:22:00,9.5,3.8,-160.0,912.0,5.7,0.000912,909.872,0.09098719999999999,2023
3772,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18800CE,9:16:00,15:22:00,62.25,6.0,-159.5744681,8976.06383,56.25,0.008976063829999999,8965.172872552173,0.8965172872552173,2023
3773,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18800PE,9:16:00,15:22:00,21.05,23.95,-159.5744681,-462.7659574,-2.9,-0.0004627659574,-469.9468084645,-0.046994680846450004,2023
3774,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18850CE,9:16:00,15:22:00,33.05,0.9,-159.1511936,5116.710875,32.15,0.0051167108749999995,5111.307691977279,0.5111307691977279,2023
3775,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18850PE,9:16:00,15:22:00,42.1,68.0,-159.1511936,-4122.015915,-25.9,-0.004122015915,-4139.53846141536,-0.413953846141536,2023
3776,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18900CE,9:16:00,15:22:00,15.35,0.4,-158.7301587,2373.015873,14.95,0.002373015873,2370.515873000475,0.2370515873000475,2023
3777,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18900PE,9:16:00,15:22:00,74.35,117.6,-158.7301587,-6865.079365,-43.25,-0.0068650793649999995,-6895.547618962464,-0.6895547618962464,2023
3778,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18950CE,9:16:00,14:35:00,5.9,0.7,-158.3113456,823.2189974,5.2,0.0008232189974000001,822.1741425190401,0.082217414251904,2023
3779,2023-06-22,CLOSED,STRADDLE,2023-06-22,NIFTY,18950PE,9:16:00,14:35:00,114.85,188.25,-158.3113456,-11620.05277,-73.4,-0.01162005277,-11668.03693885136,-1.166803693885136,2023
3780,2023-06-22,CLOSED,REBALANCE,2023-06-22,NIFTY,18700CE,14:35:00,15:22:00,64.75,81.35,-160.4278075,-2663.101604,-16.6,-0.002663101604,-2686.54010667575,-0.268654010667575,2023
3781,2023-06-22,CLOSED,REBALANCE,2023-06-22,NIFTY,18700PE,14:35:00,15:22:00,2.45,0.7,-160.4278075,280.7486631,1.75,0.0002807486631,280.243315506375,0.028024331550637497,2023
3782,2023-06-28,CLOSED,HEDGE,2023-06-28,NIFTY,18550PE,,,10000.0,10000.0,808.6253369,0.0,0.0,0.0,16172.506738,1.6172506738,2023
3783,2023-06-28,CLOSED,HEDGE,2023-06-28,NIFTY,19150CE,,,10000.0,10000.0,783.2898172,0.0,0.0,0.0,15665.796344,1.5665796344,2023
3784,2023-06-28,CLOSED,STRADDLE,2023-06-28,NIFTY,18750CE,,10:50:00,10000.0,10000.0,-160.0,0.0,0.0,0.0,-3200.0,-0.32,2023
3785,2023-06-28,CLOSED,STRADDLE,2023-06-28,NIFTY,18750PE,,10:50:00,10000.0,10000.0,-160.0,0.0,0.0,0.0,-3200.0,-0.32,2023
3786,2023-06-28,CLOSED,STRADDLE,2023-06-28,NIFTY,18800CE,,12:02:00,10000.0,10000.0,-159.5744681,0.0,0.0,0.0,-3191.4893620000003,-0.3191489362,2023
