entry_time,entry_price,exit_time,exit_price,strike,call_put,dir,exit_type,expiry,pnl,index,entry_type,num_indices,index_leverage,pnl_w_cs,qty,roi
2023-02-16 12:15,93.6,2023-02-16 15:01,4.680000000000004,41800,C,short,trgt,2023-02-16,88.91999999999999,BNF,original,2,7,86.95439999999999,13,0.0011304071999999998
2023-02-16 13:15,32.0,2023-02-16 14:27,57.6,18100,P,short,sl,2023-02-16,-25.6,NIFTY,original,2,10,-27.392000000000003,46,-0.0012600320000000001
2023-02-16 13:15,93.65,2023-02-16 14:28,168.57000000000002,41800,P,short,sl,2023-02-16,-74.92000000000002,BNF,original,2,7,-80.16440000000001,13,-0.0010421372000000001
2023-02-16 13:15,19.35,2023-02-16 15:00,0.9675000000000009,18100,C,short,trgt,2023-02-16,18.3825,NIFTY,original,2,10,17.97615,46,0.0008269029
2023-02-16 13:15,81.55,2023-02-16 15:01,4.077500000000003,41800,C,short,trgt,2023-02-16,77.4725,BNF,original,2,7,75.75995,13,0.00098487935
2023-02-16 14:15,25.7,2023-02-16 14:26,48.83,18100,P,short,sl,2023-02-16,-23.13,NIFTY,original,2,10,-24.6206,46,-0.0011325475999999998
2023-02-16 14:15,66.9,2023-02-16 14:27,127.11,41800,P,short,sl,2023-02-16,-60.209999999999994,BNF,original,2,7,-64.0902,13,-0.0008331726
2023-02-16 14:15,13.15,2023-02-16 15:01,0.6575000000000006,18100,C,short,trgt,2023-02-16,12.4925,NIFTY,original,2,10,12.21635,46,0.0005619520999999999
2023-02-16 14:15,56.75,2023-02-16 15:02,2.8375000000000026,41800,C,short,trgt,2023-02-16,53.912499999999994,BNF,original,2,7,52.720749999999995,13,0.00068536975
2023-02-21 09:16,43.05,2023-02-21 10:02,60.26999999999999,18250,C,short,sl,2023-02-21,-17.21999999999999,FINNIFTY,original,1,8,-19.286399999999993,73,-0.0014079071999999993
2023-02-21 09:16,49.45,2023-02-21 14:46,2.4725000000000024,18250,P,short,trgt,2023-02-21,46.9775,FINNIFTY,original,1,8,45.93905,73,0.00335355065
2023-02-21 10:15,54.15,2023-02-21 10:33,81.225,18300,C,short,sl,2023-02-21,-27.074999999999996,FINNIFTY,original,1,8,-29.782499999999995,72,-0.00214434
2023-02-21 10:15,32.4,2023-02-21 12:09,48.599999999999994,18300,P,short,sl,2023-02-21,-16.199999999999996,FINNIFTY,original,1,8,-17.819999999999997,72,-0.0012830399999999996
2023-02-21 11:15,36.1,2023-02-21 11:43,57.760000000000005,18350,P,short,sl,2023-02-21,-21.660000000000004,FINNIFTY,original,1,8,-23.537200000000006,72,-0.0016946784000000004
2023-02-21 11:15,36.4,2023-02-21 14:23,1.8200000000000016,18350,C,short,trgt,2023-02-21,34.58,FINNIFTY,original,1,8,33.815599999999996,72,0.0024347232
2023-02-21 12:15,43.75,2023-02-21 12:36,74.375,18300,P,short,sl,2023-02-21,-30.625,FINNIFTY,original,1,8,-32.9875,72,-0.0023750999999999998
2023-02-21 12:15,25.1,2023-02-21 14:55,1.2550000000000012,18300,C,short,trgt,2023-02-21,23.845,FINNIFTY,original,1,8,23.317899999999998,72,0.0016788888
2023-02-21 13:15,27.85,2023-02-21 15:05,1.3925000000000014,18250,P,short,trgt,2023-02-21,26.4575,FINNIFTY,original,1,8,25.87265,73,0.00188870345
2023-02-21 13:15,43.1,2023-02-21 15:23,13.45,18250,C,short,time,2023-02-21,29.650000000000002,FINNIFTY,original,1,8,28.519000000000002,73,0.002081887
2023-02-21 14:15,26.95,2023-02-21 14:25,51.205,18300,P,short,sl,2023-02-21,-24.255,FINNIFTY,original,1,8,-25.818099999999998,72,-0.0018589031999999997
2023-02-21 14:15,22.4,2023-02-21 14:55,1.120000000000001,18300,C,short,trgt,2023-02-21,21.279999999999998,FINNIFTY,original,1,8,20.809599999999996,72,0.0014982911999999995
2023-02-23 09:16,157.5,2023-02-23 09:17,220.5,40000,P,short,sl,2023-02-23,-63.0,BNF,original,2,7,-70.56,14,-0.00098784
2023-02-23 09:16,45.2,2023-02-23 09:25,63.28,17550,P,short,sl,2023-02-23,-18.08,NIFTY,original,2,10,-20.249599999999997,47,-0.0009517311999999998
2023-02-23 09:16,57.65,2023-02-23 09:56,80.71,17550,C,short,sl,2023-02-23,-23.059999999999995,NIFTY,original,2,10,-25.827199999999994,47,-0.0012138783999999998
2023-02-23 09:16,139.3,2023-02-23 10:05,195.02,40000,C,short,sl,2023-02-23,-55.72,BNF,original,2,7,-62.4064,14,-0.0008736895999999999
2023-02-23 10:15,34.15,2023-02-23 10:31,51.224999999999994,17600,C,short,sl,2023-02-23,-17.074999999999996,NIFTY,original,2,10,-18.782499999999995,47,-0.0008827774999999998
2023-02-23 10:15,123.9,2023-02-23 10:59,185.85000000000002,40000,P,short,sl,2023-02-23,-61.95000000000002,BNF,original,2,7,-68.14500000000001,14,-0.0009540300000000001
2023-02-23 10:15,46.3,2023-02-23 12:32,69.44999999999999,17600,P,short,sl,2023-02-23,-23.14999999999999,NIFTY,original,2,10,-25.464999999999993,47,-0.0011968549999999995
2023-02-23 10:15,162.95,2023-02-23 15:03,8.147500000000006,40000,C,short,trgt,2023-02-23,154.80249999999998,BNF,original,2,7,151.38054999999997,14,0.0021193276999999996
2023-02-23 11:15,42.85,2023-02-23 12:32,68.56,17600,P,short,sl,2023-02-23,-25.71,NIFTY,original,2,10,-27.938200000000002,47,-0.0013130954000000002
2023-02-23 11:15,133.25,2023-02-23 13:47,213.20000000000002,39900,C,short,sl,2023-02-23,-79.95000000000002,BNF,original,2,7,-86.87900000000002,14,-0.0012163060000000001
2023-02-23 11:15,25.35,2023-02-23 14:52,1.2675000000000012,17600,C,short,trgt,2023-02-23,24.0825,NIFTY,original,2,10,23.55015,47,0.0011068570499999997
2023-02-23 11:15,114.25,2023-02-23 14:53,5.712500000000005,39900,P,short,trgt,2023-02-23,108.5375,BNF,original,2,7,106.13825,14,0.0014859355
2023-02-23 12:15,115.0,2023-02-23 12:54,195.5,39800,C,short,sl,2023-02-23,-80.5,BNF,original,2,7,-86.71,14,-0.0012139399999999997
2023-02-23 12:15,106.05,2023-02-23 14:17,5.302500000000005,39800,P,short,trgt,2023-02-23,100.74749999999999,BNF,original,2,7,98.52044999999998,14,0.0013792862999999996
2023-02-23 12:15,32.2,2023-02-23 15:01,1.6100000000000017,17550,C,short,trgt,2023-02-23,30.59,NIFTY,original,2,10,29.9138,47,0.0014059486
