,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
308,SHORT,2023-04-11 10:15:00,2023-04-11 11:15:00,6862.6,6909.65,2023-04-11 13:15:00,6867.45,Reversed,-4.849999999999454,-10.342019999999454,582.8694663830034,4,-2826.9169119572484,-6028.047678722031,-0.28269169119572485,-0.6028047678722032,2023
309,LONG,2023-04-11 12:15:00,2023-04-11 13:15:00,6867.45,6847.6,2023-04-13 11:15:00,6946.6,Reversed,79.15000000000055,73.62438000000054,582.4578264130063,4,46101.536960589765,42883.09634580553,4.610153696058976,4.2883096345805525,2023
310,SHORT,2023-04-13 10:15:00,2023-04-13 11:15:00,6946.6,6998.65,2023-04-13 13:15:00,6971.7,Reversed,-25.099999999999454,-30.667319999999453,575.8212650793193,4,-14453.113753490601,-17658.894998991997,-1.44531137534906,-1.7658894998991996,2023
311,LONG,2023-04-13 12:15:00,2023-04-13 13:15:00,6971.7,6944.3,2023-04-17 09:15:00,6944.3,Initial SL Hit,-27.399999999999636,-32.96639999999964,573.7481532481318,4,-15720.699398998602,-18914.411119239005,-1.57206993989986,-1.8914411119239005,2023
312,LONG,2023-04-17 10:15:00,2023-04-17 11:15:00,6989.4,6936.55,2023-04-20 12:15:00,7105.2,Reversed,115.80000000000018,110.16216000000018,572.2951898589292,4,66271.7829856641,63045.27427246985,6.6271782985664105,6.304527427246985,2023
313,SHORT,2023-04-20 11:15:00,2023-04-20 12:15:00,7105.2,7120.35,2023-04-21 14:15:00,7063.0,Reversed,42.19999999999982,36.53271999999982,562.9679671226708,4,23757.248212576604,20566.751111861635,2.37572482125766,2.0566751111861636,2023
314,LONG,2023-04-21 13:15:00,2023-04-21 14:15:00,7063.0,7037.85,2023-04-28 13:15:00,7183.85,Reversed,120.85000000000036,115.15126000000036,566.3315871442729,4,68441.17230638559,65213.79583746303,6.844117230638559,6.521379583746302,2023
315,LONG,2023-04-28 12:15:00,2023-04-28 13:15:00,7183.85,7197.15,2023-04-28 13:15:00,7197.15,Initial SL Hit,13.299999999999272,7.547599999999272,556.8044989803517,4,7405.499836438273,4202.537636503697,0.7405499836438273,0.4202537636503697,2023
316,SHORT,2023-04-28 12:15:00,2023-04-28 13:15:00,7183.85,7197.15,2023-04-28 13:15:00,7197.15,Initial SL Hit,-13.299999999999272,-19.052399999999274,556.8044989803517,4,-7405.499836438273,-10608.462036372848,-0.7405499836438273,-1.060846203637285,2023
317,LONG,2023-04-28 14:15:00,2023-04-28 15:15:00,7232.9,7183.6,2023-05-03 12:15:00,7332.7,Reversed,99.80000000000018,93.97376000000018,553.0285224460451,4,55192.246540115404,51970.169641499364,5.51922465401154,5.197016964149936,2023
318,SHORT,2023-05-03 11:15:00,2023-05-03 12:15:00,7332.7,7365.55,2023-05-04 09:15:00,7365.55,Initial SL Hit,-32.850000000000364,-38.729300000000364,545.5016569612831,4,-17919.729431178348,-21126.89732295082,-1.7919729431178348,-2.112689732295082,2023
319,SHORT,2023-05-04 12:15:00,2023-05-04 13:15:00,7363.85,7380.5,2023-05-04 14:15:00,7380.5,Initial SL Hit,-16.649999999999636,-22.547739999999635,543.1941172077106,4,-9044.182051508184,-12247.799724328786,-0.9044182051508184,-1.2247799724328785,2023
320,SHORT,2023-05-05 10:15:00,2023-05-05 11:15:00,7383.75,7429.45,2023-05-08 10:15:00,7407.65,Reversed,-23.899999999999636,-29.816559999999637,541.7301506686981,4,-12947.350600981688,-16152.52954122208,-1.2947350600981689,-1.615252954122208,2023
321,LONG,2023-05-08 09:15:00,2023-05-08 10:15:00,7407.65,7315.8,2023-05-09 12:15:00,7484.7,Reversed,77.05000000000018,71.09306000000018,539.9823155791648,4,41605.637415374746,38388.995160408595,4.160563741537475,3.8388995160408594,2023
322,SHORT,2023-05-09 11:15:00,2023-05-09 12:15:00,7484.7,7501.35,2023-05-10 11:15:00,7428.95,Reversed,55.75,49.78454,534.4235573904098,4,29794.113324515343,26606.03096984515,2.9794113324515346,2.660603096984515,2023
323,LONG,2023-05-10 10:15:00,2023-05-10 11:15:00,7428.95,7393.65,2023-05-10 13:15:00,7423.55,Reversed,-5.399999999999636,-11.340999999999637,538.4340990314917,4,-2907.5441347698593,-6106.381117115951,-0.29075441347698594,-0.6106381117115951,2023
324,SHORT,2023-05-10 12:15:00,2023-05-10 13:15:00,7423.55,7439.85,2023-05-10 14:15:00,7439.85,Initial SL Hit,-16.300000000000182,-22.245360000000183,538.8257639539034,4,-8782.859952448724,-11986.373096429705,-0.8782859952448724,-1.1986373096429705,2023
325,LONG,2023-05-15 10:15:00,2023-05-15 11:15:00,7477.4,7419.4,2023-05-16 12:15:00,7561.0,Reversed,83.60000000000036,77.58464000000036,534.9453018428866,4,44721.427234065515,41503.53866317189,4.472142723406551,4.150353866317189,2023
326,SHORT,2023-05-16 11:15:00,2023-05-16 12:15:00,7561.0,7582.65,2023-05-17 13:15:00,7498.0,Reversed,63.0,56.9764,529.03055151435,4,33328.92474540405,30142.25631530221,3.3328924745404054,3.014225631530221,2023
327,LONG,2023-05-17 12:15:00,2023-05-17 13:15:00,7498.0,7458.2,2023-05-18 11:15:00,7534.8,Reversed,36.80000000000018,30.78688000000018,533.4755934915978,4,19631.901840490897,16424.0490797547,1.9631901840490897,1.64240490797547,2023
328,SHORT,2023-05-18 10:15:00,2023-05-18 11:15:00,7534.8,7560.8,2023-05-19 14:15:00,7480.65,Reversed,54.150000000000546,48.143820000000545,530.8700960874874,4,28746.61570313773,25558.114349418986,2.8746615703137732,2.5558114349418988,2023
329,LONG,2023-05-19 13:15:00,2023-05-19 14:15:00,7480.65,7444.35,2023-05-22 09:15:00,7469.35,Reversed,-11.299999999999272,-17.279999999999273,534.7128925962317,4,-6042.255686337028,-9239.838784062495,-0.6042255686337028,-0.9239838784062494,2023
330,LONG,2023-05-19 15:15:00,2023-05-22 09:15:00,7469.35,7485.95,2023-05-22 09:15:00,7485.95,Initial SL Hit,16.599999999999454,10.617879999999454,535.521832555711,4,8889.662420424509,5686.10655545634,0.8889662420424509,0.568610655545634,2023
331,SHORT,2023-05-19 15:15:00,2023-05-22 09:15:00,7469.35,7485.95,2023-05-22 09:15:00,7485.95,Initial SL Hit,-16.599999999999454,-22.582119999999456,535.521832555711,4,-8889.662420424509,-12093.21828539268,-0.8889662420424509,-1.2093218285392682,2023
332,LONG,2023-05-22 10:15:00,2023-05-22 11:15:00,7514.65,7450.15,2023-05-22 12:15:00,7500.7,Reversed,-13.949999999999818,-19.956139999999817,532.2935865276494,4,-7425.495532060612,-10622.525333847787,-0.7425495532060612,-1.0622525333847788,2023
333,SHORT,2023-05-22 11:15:00,2023-05-22 12:15:00,7500.7,7514.65,2023-05-22 13:15:00,7514.65,Initial SL Hit,-13.949999999999818,-19.956139999999817,533.2835602010479,4,-7439.30566480452,-10642.281387070441,-0.7439305664804521,-1.064228138707044,2023
334,LONG,2023-05-22 13:15:00,2023-05-22 14:15:00,7527.5,7496.35,2023-05-23 14:15:00,7603.3,Reversed,75.80000000000018,69.74768000000019,531.3849219528396,4,40278.97708402534,37062.86549319173,4.027897708402534,3.7062865493191732,2023
335,SHORT,2023-05-23 13:15:00,2023-05-23 14:15:00,7603.3,7618.65,2023-05-24 09:15:00,7618.65,Initial SL Hit,-15.349999999999454,-21.438779999999454,526.0873568055976,4,-8075.440926965635,-11278.67110333642,-0.8075440926965636,-1.127867110333642,2023
336,LONG,2023-05-24 10:15:00,2023-05-24 11:15:00,7622.95,7563.05,2023-05-24 13:15:00,7603.0,Reversed,-19.949999999999818,-26.040379999999818,524.7312392184128,4,-10468.38822240724,-13664.200867118278,-1.0468388222407239,-1.3664200867118277,2023
