date,high level,low level,atr_multiplier,side,strike,type,expiry,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index_lev,qty,pnl,ROI%,Trade Year
2019-03-15,11420.976394153044,11361.423605846958,3,SHORT,11350,CE,2019-03-20,2019-03-15 10:03:00,111.0,112.15,2019-03-15 10:09:00,SL Hit,-1.1500000000000057,2.2315,-3.3815000000000057,10000000,8,7048.458149779735,-23834.361233480216,-0.2383436123348022,2019
2019-03-18,11555.81054357929,11461.18945642071,3,LONG,11550,PE,2019-03-20,2019-03-18 10:51:00,111.3,120.4,2019-03-18 10:54:00,SL Hit,-9.100000000000009,2.3169999999999997,-11.417000000000009,10000000,8,6926.406926406927,-79078.78787878795,-0.7907878787878795,2019
2019-03-18,11555.81054357929,11461.18945642071,3,LONG,11550,PE,2019-03-20,2019-03-18 11:18:00,109.95,109.7,2019-03-18 11:21:00,SL Hit,0.25,2.1965,-1.9465,10000000,8,6926.406926406927,-13482.251082251081,-0.13482251082251082,2019
2019-03-19,11520.01475791541,11459.68524208459,3,LONG,11500,PE,2019-03-20,2019-03-19 09:21:00,61.3,61.45,2019-03-19 10:15:00,SL Hit,-0.15000000000000568,1.2275,-1.3775000000000057,10000000,8,6956.521739130435,-9582.608695652214,-0.09582608695652213,2019
2019-03-19,11520.01475791541,11459.68524208459,3,LONG,11500,PE,2019-03-20,2019-03-19 10:21:00,59.35,12.4,2019-03-19 15:21:00,EOD Exit,46.95,0.7175,46.2325,10000000,8,6956.521739130435,321617.39130434784,3.2161739130434785,2019
2019-03-20,11562.371122949007,11510.328877050993,3,LONG,11550,PE,2019-03-28,2019-03-20 12:30:00,84.7,76.7,2019-03-20 15:21:00,EOD Exit,8.0,1.614,6.386,10000000,8,6926.406926406927,44232.034632034636,0.4423203463203464,2019
2019-03-26,11401.398967498759,11341.90103250124,3,SHORT,11350,CE,2019-03-28,2019-03-26 13:51:00,93.4,97.0,2019-03-26 13:54:00,SL Hit,-3.5999999999999943,1.9040000000000001,-5.503999999999994,10000000,8,7048.458149779735,-38794.71365638762,-0.3879471365638762,2019
2019-03-28,11505.144724629354,11413.855275370646,3,SHORT,11400,CE,2019-04-04,2019-03-28 10:12:00,167.25,173.2,2019-03-28 10:15:00,SL Hit,-5.949999999999989,3.4045,-9.35449999999999,10000000,8,7017.543859649123,-65645.61403508765,-0.6564561403508765,2019
2019-03-28,11505.144724629354,11413.855275370646,3,SHORT,11400,CE,2019-04-04,2019-03-28 10:21:00,170.0,175.5,2019-03-28 11:03:00,SL Hit,-5.5,3.455,-8.955,10000000,8,7017.543859649123,-62842.1052631579,-0.628421052631579,2019
2019-03-29,11650.512169124864,11583.987830875136,3,LONG,11650,PE,2019-04-04,2019-03-29 09:42:00,112.05,118.0,2019-03-29 10:03:00,SL Hit,-5.950000000000003,2.3005,-8.250500000000002,10000000,8,6866.9527896995705,-56655.79399141632,-0.5665579399141633,2019
2019-03-29,11650.512169124864,11583.987830875136,3,LONG,11650,PE,2019-04-04,2019-03-29 10:06:00,110.35,115.0,2019-03-29 10:39:00,SL Hit,-4.650000000000006,2.2535,-6.9035000000000055,10000000,8,6866.9527896995705,-47406.00858369102,-0.47406008583691017,2019
2019-04-01,11714.46841866888,11636.931581331122,3,SHORT,11650,CE,2019-04-04,2019-04-01 14:42:00,121.65,127.0,2019-04-01 14:51:00,SL Hit,-5.349999999999994,2.4865,-7.836499999999994,10000000,8,6866.9527896995705,-53812.87553648064,-0.5381287553648064,2019
2019-04-01,11714.46841866888,11636.931581331122,3,SHORT,11650,CE,2019-04-04,2019-04-01 15:00:00,111.4,75.5,2019-04-01 15:21:00,EOD Exit,35.900000000000006,1.869,34.031000000000006,10000000,8,6866.9527896995705,233689.27038626611,2.3368927038626612,2019
2019-04-03,11775.402956276543,11713.497043723459,3,LONG,11800,PE,2019-04-04,2019-04-03 14:12:00,79.25,88.0,2019-04-03 14:15:00,SL Hit,-8.75,1.6725,-10.4225,10000000,8,6779.661016949152,-70661.01694915253,-0.7066101694915252,2019
2019-04-03,11775.402956276543,11713.497043723459,3,LONG,11800,PE,2019-04-04,2019-04-03 14:21:00,80.8,89.3,2019-04-03 14:24:00,SL Hit,-8.5,1.701,-10.201,10000000,8,6779.661016949152,-69159.32203389831,-0.6915932203389831,2019
2019-04-04,11693.594236746918,11626.50576325308,3,LONG,11700,PE,2019-04-11,2019-04-04 10:33:00,105.7,105.55,2019-04-04 10:39:00,SL Hit,0.15000000000000568,2.1125,-1.9624999999999941,10000000,8,6837.606837606838,-13418.80341880338,-0.1341880341880338,2019
2019-04-04,11693.594236746918,11626.50576325308,3,LONG,11700,PE,2019-04-11,2019-04-04 10:54:00,103.25,105.35,2019-04-04 11:00:00,SL Hit,-2.0999999999999943,2.086,-4.185999999999995,10000000,8,6837.606837606838,-28622.222222222186,-0.2862222222222219,2019
2019-04-08,11711.697161357039,11656.202838642963,3,LONG,11700,PE,2019-04-11,2019-04-08 09:42:00,82.1,85.85,2019-04-08 09:45:00,SL Hit,-3.75,1.6795,-5.4295,10000000,8,6837.606837606838,-37124.78632478633,-0.3712478632478633,2019
2019-04-08,11711.697161357039,11656.202838642963,3,LONG,11700,PE,2019-04-11,2019-04-08 09:48:00,77.15,83.65,2019-04-08 10:27:00,SL Hit,-6.5,1.608,-8.108,10000000,8,6837.606837606838,-55439.31623931624,-0.5543931623931624,2019
2019-04-09,11615.499124791506,11540.500875208494,3,SHORT,11550,CE,2019-04-11,2019-04-09 10:18:00,91.1,98.2,2019-04-09 10:24:00,SL Hit,-7.1000000000000085,1.8930000000000002,-8.99300000000001,10000000,8,6926.406926406927,-62289.17748917756,-0.6228917748917756,2019
2019-04-09,11615.499124791506,11540.500875208494,3,SHORT,11550,CE,2019-04-11,2019-04-09 10:27:00,93.0,105.0,2019-04-09 13:54:00,SL Hit,-12.0,1.98,-13.98,10000000,8,6926.406926406927,-96831.16883116883,-0.9683116883116885,2019
