date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,spot_price_at_entry,exit price,exit_time,spot_level_at_exit,remarks,points,index_lev,slippage,final_points,portfolio,qty,pnl,ROI%,Trade Year
2024-02-28,24.199524507580755,LONG,22200,P,2024-02-29,1,10:05:00,84.25,1,22219.35,122.65,2024-02-28 10:45:00,22116.55,TSL Hit,-38.400000000000006,8,2.069,-40.46900000000001,10000000,3603.6036036036035,-145834.23423423426,-1.4583423423423427,2024.0
2024-02-28,24.199524507580755,SHORT,22200,C,2024-02-29,1,10:45:00,55.3,2,22116.55,37.2,2024-02-28 12:15:00,22053.6,TSL Hit,18.099999999999994,8,0.925,17.174999999999994,10000000,3603.6036036036035,61891.891891891864,0.6189189189189186,2024.0
2024-02-28,24.199524507580755,LONG,22050,P,2024-02-29,1,12:15:00,104.3,3,22053.6,125.95,2024-02-28 12:55:00,21987.5,TSL Hit,-21.650000000000006,8,2.3025,-23.952500000000008,10000000,3628.1179138321995,-86902.49433106578,-0.8690249433106579,2024.0
2024-02-28,24.199524507580755,SHORT,22000,C,2024-02-29,1,12:55:00,82.7,4,21987.5,88.5,2024-02-28 13:15:00,21999.8,TSL Hit,-5.799999999999997,8,1.712,-7.511999999999997,10000000,3636.3636363636365,-27316.363636363625,-0.2731636363636362,2024.0
2024-02-28,24.199524507580755,LONG,22000,P,2024-02-29,1,13:15:00,108.0,5,21999.8,114.05,2024-02-28 14:25:00,21983.65,TSL Hit,-6.049999999999997,8,2.2205000000000004,-8.270499999999998,10000000,3636.3636363636365,-30074.54545454545,-0.3007454545454545,2024.0
2024-02-28,24.199524507580755,SHORT,22000,C,2024-02-29,1,14:25:00,73.25,6,21983.65,43.05,2024-02-28 15:25:00,21926.25,EOD Exit,30.200000000000003,8,1.163,29.037000000000003,10000000,3636.3636363636365,105589.09090909093,1.0558909090909092,2024.0
2024-02-29,37.069781307800895,LONG,21950,P,2024-02-29,0,09:25:00,61.3,1,21985.05,137.1,2024-02-29 10:05:00,21873.5,TSL Hit,-75.8,10,1.9839999999999998,-77.78399999999999,10000000,4555.808656036446,-354369.02050113893,-3.5436902050113894,2024.0
2024-02-29,37.069781307800895,SHORT,21950,C,2024-02-29,0,10:05:00,45.6,2,21873.5,74.75,2024-02-29 11:05:00,21968.35,TSL Hit,-29.15,10,1.2035,-30.353499999999997,10000000,4555.808656036446,-138284.73804100225,-1.3828473804100225,2024.0
2024-02-29,37.069781307800895,LONG,21950,P,2024-02-29,0,11:05:00,45.15,3,21968.35,49.8,2024-02-29 14:25:00,21910.2,TSL Hit,-4.649999999999999,10,0.9494999999999999,-5.599499999999998,10000000,4555.808656036446,-25510.250569476073,-0.25510250569476073,2024.0
2024-02-29,37.069781307800895,SHORT,21900,C,2024-02-29,0,14:25:00,40.95,4,21910.2,104.5,2024-02-29 14:35:00,21983.45,TSL Hit,-63.55,10,1.4545,-65.0045,10000000,4566.2100456621,-296824.20091324195,-2.9682420091324193,2024.0
