,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
273,273,273,2023-03-23 10:15:00+05:30,2023-03-23 14:15:00+05:30,Long,58215.82,58131.25111111111,58020.54,58020.54,Initial SL Hit,-195.27999999999884,11.623636000000001,-206.90363599999884,1536.25563293733,-317856.8762802131,-3.178568762802131,2023
274,274,274,2023-03-29 13:45:00+05:30,2023-03-29 14:15:00+05:30,Long,57845.37,57756.22037037037,57614.595555555556,57712.19,Trailing SL Hit,-133.1800000000003,11.555756,-144.7357560000003,1299.9706302931531,-188152.2319532764,-1.881522319532764,2023
275,275,275,2023-03-29 14:45:00+05:30,2023-04-17 09:15:00+05:30,Long,58014.51,57760.165925925925,57607.008518518516,59660.23,Trailing SL Hit,1645.7200000000012,11.767474000000002,1633.9525260000012,736.1936425588922,1202905.4618842439,12.029054618842439,2023
276,276,276,2023-04-24 12:15:00+05:30,2023-05-05 14:45:00+05:30,Long,59767.71,59667.66777777777,59573.17592592593,61081.59,Trailing SL Hit,1313.8799999999974,12.08493,1301.7950699999974,1542.1462868544559,2007558.4334459323,20.07558433445932,2023
277,277,277,2023-05-08 09:15:00+05:30,2023-05-12 09:15:00+05:30,Long,61506.06,61444.37037037037,61315.66370370371,61619.25,Trailing SL Hit,113.19000000000233,12.312531,100.87746900000232,1575.6609022118087,158948.6838173874,1.589486838173874,2023
278,278,278,2023-05-12 13:45:00+05:30,2023-05-16 14:45:00+05:30,Long,62068.47,61968.64518518518,61859.24407407407,61924.84,Trailing SL Hit,-143.63000000000466,12.399331,-156.02933100000465,1433.8567205395277,-223723.70485564313,-2.2372370485564312,2023
279,279,279,2023-05-19 14:45:00+05:30,2023-05-24 12:45:00+05:30,Long,61729.13,61639.95814814815,61520.07555555556,61852.43,Trailing SL Hit,123.30000000000291,12.358156000000001,110.9418440000029,1435.0328728827026,159205.19311822878,1.5920519311822878,2023
280,280,280,2023-05-26 09:15:00+05:30,2023-05-31 11:45:00+05:30,Long,62087.0,61858.28111111111,61746.59037037037,62454.24,Trailing SL Hit,367.23999999999796,12.454124,354.785875999998,881.2911677216853,312669.65895119926,3.126696589511993,2023
281,281,281,2023-06-05 09:15:00+05:30,2023-06-06 10:45:00+05:30,Long,62817.75,62648.70259259259,62545.79333333333,62613.97,Trailing SL Hit,-203.77999999999884,12.543172,-216.32317199999883,1103.1169181364446,-238629.75081813874,-2.3862975081813875,2023
282,282,282,2023-06-06 15:15:00+05:30,2023-06-08 14:45:00+05:30,Long,62852.35,62789.07666666666,62712.15740740741,62825.77,Trailing SL Hit,-26.580000000001746,12.567812,-39.14781200000175,2139.913346718842,-83772.92539364379,-0.8377292539364379,2023
283,283,283,2023-06-13 09:15:00+05:30,2023-06-15 13:45:00+05:30,Long,63071.86,62799.98851851852,62707.66888888889,62990.5,Trailing SL Hit,-81.36000000000058,12.606236,-93.96623600000058,823.7433337807986,-77404.06050547377,-0.7740406050547377,2023
284,284,284,2023-06-16 10:15:00+05:30,2023-06-19 13:15:00+05:30,Long,63245.29,63177.56518518519,63090.31037037037,63090.31037037037,Initial SL Hit,-154.97962962963356,12.633560037037038,-167.6131896666706,1935.7382690675702,-324455.2656382553,-3.244552656382553,2023
