,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
578,578,578,2024-03-21 09:15:00+05:30,2024-03-26 09:15:00+05:30,Long,46809.25,46415.354166666664,46234.125,46713.45,Trailing SL Hit,-95.80000000000291,9.35227,-105.15227000000291,4.346881112801565,-457.0844164312233,-0.18283376657248931,2024
579,579,579,2024-03-27 09:15:00+05:30,2024-04-03 09:15:00+05:30,Long,46807.45,46704.737499999996,46616.7875,47335.95,Trailing SL Hit,528.5,9.41434,519.08566,13.112174654166493,6806.341834393285,2.7225367337573143,2024
580,580,580,2024-04-03 11:45:00+05:30,2024-04-12 09:15:00+05:30,Long,47623.6,47574.604166666664,47465.875,48729.75,Trailing SL Hit,1106.1500000000015,9.635335000000001,1096.5146650000015,15.850372483753514,17380.165874148228,6.952066349659291,2024
581,581,581,2024-04-19 13:45:00+05:30,2024-04-26 13:15:00+05:30,Long,47542.45,47117.15,46936.06666666666,48286.35,Trailing SL Hit,743.9000000000015,9.58288,734.3171200000014,4.1228046065469774,3027.4460050023154,1.2109784020009262,2024
582,582,582,2024-04-29 09:15:00+05:30,2024-05-02 14:15:00+05:30,Long,48511.25,48442.05416666667,48295.07083333333,49199.85,Trailing SL Hit,688.5999999999985,9.77111,678.8288899999985,11.564481622111185,7850.304222963117,3.140121689185247,2024
583,583,583,2024-05-03 09:15:00+05:30,2024-05-03 10:15:00+05:30,Long,49469.75,49342.166666666664,49222.333333333336,49222.333333333336,Initial SL Hit,-247.41666666666424,9.869208333333335,-257.2858749999976,10.104412260020307,-2599.722549680028,-1.0398890198720112,2024
584,584,584,2024-05-06 09:45:00+05:30,2024-05-06 11:15:00+05:30,Long,49103.8,49046.98333333333,48821.637500000004,49042.5,Trailing SL Hit,-61.30000000000291,9.814630000000001,-71.1146300000029,8.860142648296684,-630.0857661808645,-0.2520343064723458,2024
585,585,585,2024-05-13 13:45:00+05:30,2024-05-15 10:15:00+05:30,Long,47724.25,47384.52916666667,47191.4625,47713.25,Trailing SL Hit,-11.0,9.543750000000001,-20.543750000000003,4.692302278112769,-96.39748492597921,-0.03855899397039168,2024
586,586,586,2024-05-16 09:45:00+05:30,2024-05-16 10:15:00+05:30,Long,47791.2,47736.35833333333,47623.225,47623.225,Initial SL Hit,-167.97499999999854,9.541442499999999,-177.51644249999853,14.883167137967089,-2642.0068834648023,-1.056802753385921,2024
587,587,587,2024-05-16 11:45:00+05:30,2024-05-16 12:15:00+05:30,Long,47833.35,47720.49166666667,47564.899999999994,47564.899999999994,Initial SL Hit,-268.45000000000437,9.539825,-277.9898250000044,9.312721177127806,-2588.8417303035935,-1.0355366921214375,2024
