Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
LONG,2022-07-06 09:15:00+05:30,33992.15,33652.228500000005,35132.437000000005,2022-07-12 14:45:00+05:30,35124.2,1132.0499999999956,1125.1383649999957,978870.3775499963,TSL,870,6,19.577407550999926,2022,7
LONG,2022-07-21 13:45:00+05:30,36162.2,35800.577999999994,36412.268000000004,2022-07-26 10:15:00+05:30,36391.2,229.0,221.74466,186265.51440000001,TSL,840,6,3.725310288,2022,7
LONG,2022-07-27 10:15:00+05:30,36546.9,36181.431000000004,37803.581,2022-08-04 11:15:00+05:30,37442.55,895.6500000000015,888.2510550000014,719483.3545500012,TSL,810,6,14.389667091000025,2022,7
LONG,2022-08-18 09:15:00+05:30,39475.3,39080.547000000006,39336.09,2022-08-19 10:45:00+05:30,39239.9,-235.40000000000146,-243.27152000000146,-182453.6400000011,TSL,750,6,-3.6490728000000217,2022,8
LONG,2022-08-26 11:45:00+05:30,39189.45,38797.555499999995,38942.791,2022-08-29 09:15:00+05:30,38199.95,-989.5,-997.23894,-777846.3731999999,Gap SL,780,6,-15.556927463999997,2022,8
LONG,2022-09-01 14:15:00+05:30,39309.05,38915.959500000004,39590.17,2022-09-07 09:15:00+05:30,39400.95,91.89999999999418,84.02899999999418,63021.74999999564,TSL,750,6,1.2604349999999127,2022,9
LONG,2022-09-14 09:15:00+05:30,40768.7,40361.013,40520.018000000004,2022-09-14 09:15:00+05:30,40326.25,-442.4499999999971,-450.55949499999707,-337919.6212499978,Gap SL,750,6,-6.758392424999957,2022,9
LONG,2022-09-14 09:45:00+05:30,40784.6,40376.754,41015.52,2022-09-16 09:45:00+05:30,40869.0,84.40000000000146,76.23464000000145,57175.98000000109,TSL,750,6,1.1435196000000216,2022,9
LONG,2022-09-21 09:15:00+05:30,41292.95,40880.0205,41171.758,2022-09-21 11:45:00+05:30,40998.1,-294.84999999999854,-303.07910499999855,-218216.95559999897,TSL,720,6,-4.364339111999979,2022,9
LONG,2022-10-11 10:15:00+05:30,39002.0,38611.98,39104.617,2022-10-11 10:15:00+05:30,39002.0,0.0,-7.800400000000001,-6084.312000000001,TSL,780,6,-0.12168624000000001,2022,10
LONG,2022-10-19 13:15:00+05:30,40338.65,39935.2635,40008.123,2022-10-20 09:15:00+05:30,39970.25,-368.40000000000146,-376.43089000000145,-282323.1675000011,TSL,750,6,-5.646463350000022,2022,10
LONG,2022-10-27 12:45:00+05:30,41277.35,40864.576499999996,41063.35,2022-10-28 11:15:00+05:30,40992.75,-284.59999999999854,-292.82700999999855,-210835.44719999895,TSL,720,6,-4.216708943999979,2022,10
LONG,2022-11-02 09:45:00+05:30,41426.75,41012.4825,41265.006,2022-11-02 12:15:00+05:30,41241.25,-185.5,-193.7668,-139512.096,TSL,720,6,-2.7902419199999997,2022,11
LONG,2022-11-14 12:45:00+05:30,42063.9,41643.261,42359.143,2022-11-18 10:45:00+05:30,42269.0,205.09999999999854,196.66670999999855,141600.03119999895,TSL,720,6,2.832000623999979,2022,11
LONG,2022-11-25 12:45:00+05:30,42965.65,42535.993500000004,43051.9,2022-11-30 10:15:00+05:30,42978.45,12.799999999995634,4.205589999995633,2901.8570999969866,TSL,690,6,0.058037141999939736,2022,11
LONG,2022-11-30 14:45:00+05:30,43275.0,42842.25,43147.96,2022-12-02 09:15:00+05:30,43046.95,-228.0500000000029,-236.6821950000029,-163310.714550002,TSL,690,6,-3.26621429100004,2022,11
LONG,2022-12-06 09:15:00+05:30,43233.4,42801.066,43176.808000000005,2022-12-06 10:45:00+05:30,43152.95,-80.45000000000437,-89.08863500000436,-61471.15815000301,TSL,690,6,-1.22942316300006,2022,12
LONG,2022-12-06 11:15:00+05:30,43165.45,42733.7955,43181.293999999994,2022-12-06 11:15:00+05:30,43165.45,0.0,-8.63309,-5956.8321,TSL,690,6,-0.119136642,2022,12
LONG,2022-12-08 09:15:00+05:30,43280.1,42847.299,43878.208999999995,2022-12-15 12:15:00+05:30,43860.95,580.8499999999985,572.1358949999985,394773.767549999,TSL,690,6,7.8954753509999795,2022,12
SHORT,2022-12-21 11:45:00+05:30,43213.0,43645.13,42431.637,2022-12-26 13:45:00+05:30,42474.1,738.9000000000015,730.3312900000014,503928.590100001,TSL,690,6,10.07857180200002,2022,12
