,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
679,2019-10-04,Friday,2019-10-10,6,11350,P,90.95,09:15:00,100.0,100.0,2019-10-04,11:45:00,0,SL hit,-9.049999999999997,1.9095,1762.1145374449338,-19311.894273127746,-1.9311894273127745,2019,10,115.1,72.95,3.1718061674008804,250.0
680,2019-10-07,Monday,2019-10-10,3,11150,P,42.15,12:51:00,91.35,0.05,2019-10-10,15:21:00,0,EOD exit,42.1,0.422,609.7560975609757,25413.41463414635,2.5413414634146347,2019,10,88.95,0.05,2.567073170731708,84.984756097561
681,2019-10-11,Friday,2019-10-17,6,11250,P,72.55,09:15:00,94.9,94.9,2019-10-11,10:39:00,0,SL hit,-22.35000000000001,1.6744999999999999,1342.2818791946304,-32247.651006711407,-3.2247651006711404,2019,10,112.0,49.1,3.1476510067114076,188.7583892617449
72,2019-10-14,Monday,2019-10-17,3,11350,C,80.6,14:54:00,125.2,125.2,2019-10-15,14:15:00,0,SL hit,-44.60000000000001,2.0580000000000003,672.6457399103138,-31384.304932735424,-3.1384304932735425,2019,10,131.7,46.85,2.2701793721973083,95.43161434977576
682,2019-10-18,Friday,2019-10-24,6,11550,P,49.6,12:03:00,82.85,0.05,2019-10-24,15:21:00,0,EOD exit,49.550000000000004,0.4965,902.2556390977445,44258.79699248121,4.425879699248121,2019,10,56.85,0.05,4.470676691729325,130.26315789473685
73,2019-10-22,Tuesday,2019-10-24,2,11700,C,43.3,13:33:00,73.3,0.05,2019-10-24,15:21:00,0,EOD exit,43.25,0.43349999999999994,1000.0,42816.5,4.28165,2019,10,47.3,0.05,4.324999999999999,146.25
74,2019-10-25,Friday,2019-10-31,6,11650,C,60.9,09:15:00,94.95,94.95,2019-10-29,10:06:00,0,SL hit,-34.050000000000004,1.5585,881.0572687224668,-31373.127753303965,-3.137312775330396,2019,10,101.85,29.3,2.784140969162995,128.30396475770922
683,2019-10-25,Friday,2019-10-31,6,11600,P,82.85,14:27:00,141.6,0.05,2019-10-31,15:21:00,0,EOD exit,82.8,0.829,510.63829787234044,41857.53191489362,4.185753191489361,2019,10,83.15,0.05,4.228085106382979,74.04255319148938
75,2019-10-30,Wednesday,2019-10-31,1,11900,C,20.4,13:57:00,33.3,33.3,2019-10-31,09:24:00,0,SL hit,-12.899999999999999,0.5369999999999999,1680.672268907563,-22583.19327731092,-2.258319327731092,2019,10,33.75,8.25,2.042016806722689,250.0
76,2019-10-31,Thursday,2019-10-31,0,11950,C,8.9,12:00:00,18.7,0.1,2019-10-31,15:21:00,0,EOD exit,8.8,0.09,1673.6401673640169,14577.405857740589,1.4577405857740589,2019,10,13.75,0.05,1.4811715481171548,250.0
77,2019-11-01,Friday,2019-11-07,6,11900,C,70.2,10:18:00,91.05,91.05,2019-11-04,09:15:00,0,SL hit,-20.849999999999994,1.6125,1438.8489208633098,-32320.143884892088,-3.2320143884892087,2019,11,95.45,61.15,1.302158273381296,214.02877697841737
684,2019-11-01,Friday,2019-11-07,6,11850,P,67.9,12:12:00,87.8,0.05,2019-11-07,15:21:00,0,EOD exit,67.85000000000001,0.6795,1507.5376884422117,101262.06030150759,10.126206030150758,2019,11,78.75,0.05,10.228643216080407,223.30402010050264
78,2019-11-04,Monday,2019-11-07,3,11950,C,65.2,11:42:00,85.5,55.0,2019-11-07,09:15:00,0,Gap SL hit,10.200000000000003,1.202,1477.832512315271,13297.536945812813,1.3297536945812813,2019,11,89.9,13.05,7.706896551724139,220.75123152709358
