,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
73,nifty,11650,C,2019-07-25,2019-07-22 14:00:00,SELL,2019-07-22,14:30:00,2.95,5.9,1,2019-07-24 09:00:00,1.0,1.9500000000000002,0.0395,1.9105,1146.3,Target Hit,600,0.11463000000000001,53.1,0.75,2019,7,"20, 4, 30m, 2% SL"
74,nifty,11250,C,2019-08-01,2019-07-29 14:00:00,SELL,2019-07-29,14:30:00,32.9,65.8,1,2019-08-01 09:00:00,1.0,31.9,0.33899999999999997,31.561,19410.015,Target Hit,615,1.9410014999999998,101.0,0.3,2019,7,"20, 4, 30m, 2% SL"
75,nifty,10950,C,2019-08-08,2019-08-05 14:00:00,SELL,2019-08-05,14:30:00,46.0,92.0,1,2019-08-06 14:00:00,92.0,-46.0,1.3800000000000001,-47.38,-30560.100000000002,Initial SL Hit,645,-3.05601,188.3,23.2,2019,8,"20, 4, 30m, 2% SL"
76,nifty,10950,P,2019-08-08,2019-08-06 14:00:00,SELL,2019-08-06,14:30:00,40.15,80.3,1,2019-08-07 09:00:00,80.3,-40.15,1.2045,-41.3545,-26673.6525,Initial SL Hit,645,-2.66736525,198.3,34.0,2019,8,"20, 4, 30m, 2% SL"
77,nifty,10950,P,2019-08-08,2019-08-07 10:30:00,SELL,2019-08-07,11:00:00,66.85,133.7,1,2019-08-08 15:00:00,1.0,65.85,0.6785,65.1715,42035.61749999999,Target Hit,645,4.203561749999999,198.3,0.05,2019,8,"20, 4, 30m, 2% SL"
78,nifty,10950,C,2019-08-08,2019-08-07 13:00:00,SELL,2019-08-07,13:30:00,37.3,74.6,1,2019-08-08 15:00:00,74.6,-37.3,1.119,-38.419,-24780.254999999997,Initial SL Hit,645,-2.4780254999999998,188.3,1.25,2019,8,"20, 4, 30m, 2% SL"
79,nifty,11100,C,2019-08-14,2019-08-13 14:00:00,SELL,2019-08-13,14:30:00,9.65,19.3,1,2019-08-14 14:30:00,1.0,8.65,0.10650000000000001,8.5435,5382.405,Target Hit,630,0.5382405,120.0,0.55,2019,8,"20, 4, 30m, 2% SL"
80,nifty,11050,P,2019-08-22,2019-08-19 14:30:00,SELL,2019-08-19,15:00:00,67.0,134.0,1,2019-08-21 14:30:00,134.0,-67.0,2.0100000000000002,-69.01,-43476.3,Initial SL Hit,630,-4.3476300000000005,169.75,37.8,2019,8,"20, 4, 30m, 2% SL"
81,nifty,11050,C,2019-08-22,2019-08-20 09:30:00,SELL,2019-08-20,10:00:00,43.5,87.0,1,2019-08-22 09:30:00,1.0,42.5,0.445,42.055,26494.65,Target Hit,630,2.649465,124.05,0.7,2019,8,"20, 4, 30m, 2% SL"
82,nifty,10700,P,2019-08-29,2019-08-26 14:30:00,SELL,2019-08-26,15:00:00,14.5,29.0,1,2019-08-28 15:00:00,1.0,13.5,0.155,13.345,8807.7,Target Hit,660,0.8807699999999999,126.0,1.0,2019,8,"20, 4, 30m, 2% SL"
83,nifty,11000,C,2019-09-05,2019-09-03 14:00:00,SELL,2019-09-03,14:30:00,24.05,48.1,1,2019-09-05 11:30:00,1.0,23.05,0.2505,22.799500000000002,14363.685000000001,Target Hit,630,1.4363685000000002,119.0,0.8,2019,9,"20, 4, 30m, 2% SL"
84,nifty,10900,P,2019-09-12,2019-09-09 14:30:00,SELL,2019-09-09,15:00:00,23.35,46.7,1,2019-09-12 09:00:00,1.0,22.35,0.24350000000000002,22.1065,14258.692500000001,Target Hit,645,1.42586925,104.85,0.55,2019,9,"20, 4, 30m, 2% SL"
85,nifty,11000,C,2019-09-19,2019-09-17 09:30:00,SELL,2019-09-17,10:00:00,41.6,83.2,1,2019-09-19 09:00:00,1.0,40.6,0.42600000000000005,40.174,25309.62,Target Hit,630,2.5309619999999997,134.85,0.4,2019,9,"20, 4, 30m, 2% SL"
86,nifty,10750,P,2019-09-26,2019-09-23 14:00:00,SELL,2019-09-23,14:30:00,5.9,11.8,1,2019-09-23 15:00:00,11.8,-5.9,0.17700000000000002,-6.077,-3919.665,Initial SL Hit,645,-0.3919665,113.95,1.3,2019,9,"20, 4, 30m, 2% SL"
