,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
888,bnf,43800,C,2022-12-15,2022-12-14 13:40:00,SELL,2022-12-14 13:45:00,335.2,502.79999999999995,10,2022-12-15 14:40:00,10.0,325.2,3.452,321.748,43435.979999999996,Target Hit,135,4.343598,2022,12
889,bnf,43800,P,2022-12-15,2022-12-12 10:10:00,SELL,2022-12-12 10:15:00,254.35,381.525,10,2022-12-15 15:20:00,301.9,-47.54999999999998,5.5625,-53.11249999999998,-7170.187499999997,Expiry Exit,135,-0.7170187499999997,2022,12
890,bnf,43300,C,2022-12-22,2022-12-16 13:30:00,SELL,2022-12-16 13:35:00,288.75,433.125,10,2022-12-22 10:50:00,10.0,278.75,2.9875000000000003,275.7625,37227.9375,Target Hit,135,3.72279375,2022,12
891,bnf,43300,P,2022-12-22,2022-12-16 14:05:00,SELL,2022-12-16 14:10:00,228.25,342.375,10,2022-12-16 14:50:00,342.375,-114.125,5.70625,-119.83125,-16177.21875,Initial SL Hit,135,-1.617721875,2022,12
892,bnf,43300,P,2022-12-22,2022-12-16 14:55:00,SELL,2022-12-16 15:00:00,318.25,477.375,10,2022-12-21 13:50:00,477.375,-159.125,7.95625,-167.08125,-22555.96875,Initial SL Hit,135,-2.2555968749999997,2022,12
893,bnf,43300,P,2022-12-22,2022-12-22 14:15:00,SELL,2022-12-22 14:20:00,657.05,985.5749999999999,10,2022-12-22 15:20:00,889.05,-232.0,15.461,-247.461,-33407.235,Expiry Exit,135,-3.3407235,2022,12
894,bnf,42000,C,2022-12-29,2022-12-23 13:25:00,SELL,2022-12-23 13:30:00,314.2,471.29999999999995,10,2022-12-26 11:45:00,467.1,-152.90000000000003,7.813,-160.71300000000002,-24106.950000000004,Gap Outside ISL,150,-2.4106950000000005,2022,12
895,bnf,42000,C,2022-12-29,2022-12-27 12:25:00,SELL,2022-12-27 12:30:00,611.6,917.4000000000001,10,2022-12-27 15:15:00,917.4000000000001,-305.80000000000007,15.290000000000001,-321.0900000000001,-48163.500000000015,Initial SL Hit,150,-4.816350000000001,2022,12
896,bnf,42000,C,2022-12-29,2022-12-28 13:10:00,SELL,2022-12-28 13:15:00,875.2,1312.8000000000002,10,2022-12-29 15:20:00,1260.0,-384.79999999999995,21.352,-406.15199999999993,-60922.79999999999,Expiry Exit,150,-6.092279999999999,2022,12
897,bnf,42000,P,2022-12-29,2022-12-26 09:20:00,SELL,2022-12-26 09:25:00,346.9,520.3499999999999,10,2022-12-29 10:30:00,10.0,336.9,3.569,333.33099999999996,49999.649999999994,Target Hit,150,4.9999649999999995,2022,12
