date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2020-02-25,Tuesday,2020-02-27,2,11800,P,51.0,14:30:00,74.95,91.2,2020-02-26,09:15:00,0,Gap SL hit,-40.2,1.422,835.0730688935281,-34757.411273486425,-3.4757411273486425,2020,2,119.9,47.4,0.3006263048016702,123.1732776617954,2020-02-25 14:30:00
2020-02-26,Wednesday,2020-02-27,1,11700,P,35.1,12:45:00,49.25,49.25,2020-02-26,14:20:00,0,SL hit,-14.149999999999999,0.8434999999999999,1367.5213675213674,-20503.93162393162,-2.050393162393162,2020,2,52.25,16.95,2.482051282051282,199.99999999999997,2020-02-26 12:45:00
2020-03-02,Monday,2020-03-05,3,11350,P,132.9,09:20:00,215.8,215.8,2020-03-02,15:00:00,0,SL hit,-82.9,3.4870000000000005,241.25452352231602,-20841.254523522315,-2.0841254523522315,2020,3,256.0,87.05,1.1061519903498191,34.22798552472859,2020-03-02 09:20:00
2020-03-02,Monday,2020-03-05,3,11400,C,92.85,09:20:00,99.0,99.0,2020-03-02,09:45:00,0,SL hit,-6.150000000000006,1.9184999999999999,1403.5087719298247,-11324.210526315797,-1.1324210526315799,2020,3,108.0,75.3,2.463157894736842,200.00000000000006,2020-03-02 09:20:00
2020-03-02,Monday,2020-03-05,3,11400,C,89.9,10:05:00,110.6,110.6,2020-03-02,12:05:00,0,SL hit,-20.69999999999999,2.005,966.1835748792275,-21937.19806763285,-2.193719806763285,2020,3,112.0,83.3,0.6376811594202909,137.6811594202899,2020-03-02 10:05:00
2020-03-02,Monday,2020-03-05,3,11400,C,96.05,12:50:00,112.6,112.6,2020-03-02,13:20:00,0,SL hit,-16.549999999999997,2.0865,1208.4592145015108,-22521.450151057405,-2.2521450151057403,2020,3,115.0,91.9,0.5015105740181259,172.2054380664653,2020-03-02 12:50:00
2020-03-02,Monday,2020-03-05,3,11400,C,99.1,14:20:00,126.75,0.05,2020-03-05,15:20:00,0,EOD exit,99.05,0.9914999999999999,723.3273056057865,70928.39059674501,7.092839059674501,2020,3,106.45,0.05,7.1645569620253164,103.07414104882457,2020-03-02 14:20:00
2020-03-03,Tuesday,2020-03-05,2,11200,P,88.0,09:15:00,133.95,133.95,2020-03-03,10:20:00,0,SL hit,-45.94999999999999,2.2195,435.2557127312297,-20966.050054406962,-2.096605005440696,2020,3,140.0,77.15,0.472252448313384,60.93579978237216,2020-03-03 09:15:00
2020-03-03,Tuesday,2020-03-05,2,11250,P,148.0,12:25:00,206.45,0.05,2020-03-05,15:20:00,0,EOD exit,147.95,1.4805000000000001,342.1727972626177,50117.87852865698,5.011787852865698,2020,3,201.5,0.05,5.062446535500428,48.11804961505561,2020-03-03 12:25:00
2020-03-06,Friday,2020-03-12,6,10900,P,147.35,13:05:00,269.05,269.05,2020-03-09,09:15:00,0,SL hit,-121.70000000000002,4.164,164.33853738701723,-20684.30566967954,-2.0684305669679537,2020,3,299.75,105.5,0.6877567789646669,22.391125718981097,2020-03-06 13:05:00
2020-03-06,Friday,2020-03-12,6,10950,C,154.85,14:00:00,179.8,0.15,2020-03-12,15:20:00,0,EOD exit,154.7,1.55,801.6032064128251,122765.53106212415,12.276553106212415,2020,3,171.65,0.1,12.404809619238469,109.71943887775544,2020-03-06 14:00:00
2020-03-09,Monday,2020-03-12,3,10700,P,279.0,14:40:00,453.4,694.3,2020-03-12,09:15:00,0,Gap SL hit,-415.29999999999995,9.733,114.67889908256882,-48742.31651376147,-4.874231651376147,2020,3,760.65,198.5,0.9231651376146791,15.338302752293579,2020-03-09 14:40:00
