,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
547,2023-08-28,Monday,2023-08-31,3,19250,P,46.0,11:15:00,89.35,0.05,2023-08-31,15:25:00,0,EOD exit,45.95,0.46049999999999996,692.0415224913496,31480.622837370247,3.148062283737025,2023,8,54.05,0.05,3.179930795847752,166.52249134948102,2023-08-28 11:15:00
223,2023-08-29,Tuesday,2023-08-31,2,19400,C,29.25,14:05:00,48.95,53.1,2023-08-30,09:15:00,0,Gap SL hit,-23.85,0.8235,1030.9278350515465,-25436.597938144332,-2.543659793814433,2023,8,57.3,24.0,0.5412371134020619,250.0,2023-08-29 14:05:00
224,2023-08-31,Thursday,2023-08-31,0,19400,C,11.05,09:25:00,21.5,21.5,2023-08-31,09:45:00,0,SL hit,-10.45,0.32549999999999996,1030.9278350515465,-11108.762886597939,-1.1108762886597938,2023,8,25.0,10.65,0.041237113402061897,250.0,2023-08-31 09:25:00
548,2023-09-01,Friday,2023-09-07,6,19250,P,40.1,12:35:00,75.15,0.05,2023-09-07,15:25:00,0,EOD exit,40.050000000000004,0.40149999999999997,855.9201141226818,33935.948644793156,3.393594864479316,2023,9,40.1,0.05,3.427960057061341,205.95577746077026,2023-09-01 12:35:00
225,2023-09-06,Wednesday,2023-09-07,1,19600,C,19.1,11:35:00,43.75,43.75,2023-09-07,13:25:00,0,SL hit,-24.65,0.6285000000000001,1020.4081632653061,-25794.387755102038,-2.5794387755102037,2023,9,50.0,8.25,1.1071428571428572,250.0,2023-09-06 11:35:00
549,2023-09-08,Friday,2023-09-14,6,19750,P,64.05,11:25:00,106.0,0.05,2023-09-14,15:25:00,0,EOD exit,64.0,0.6409999999999999,715.1370679380215,45310.369487485106,4.53103694874851,2023,9,66.7,0.05,4.576877234803337,176.54946364719905,2023-09-08 11:25:00
550,2023-09-15,Friday,2023-09-21,6,20150,P,59.15,14:05:00,90.0,127.4,2023-09-20,09:15:00,0,Gap SL hit,-68.25,1.8655000000000002,972.447325769854,-68183.6304700162,-6.81836304700162,2023,9,146.0,51.1,0.7828200972447321,244.935170178282,2023-09-15 14:05:00
226,2023-09-18,Monday,2023-09-21,3,20200,C,48.4,14:55:00,85.0,0.05,2023-09-21,15:25:00,0,EOD exit,48.35,0.4845,819.672131147541,39234.016393442624,3.923401639344262,2023,9,51.2,0.05,3.9631147540983602,206.9672131147541,2023-09-18 14:55:00
227,2023-09-25,Monday,2023-09-28,3,19700,C,78.8,09:15:00,108.15,108.15,2023-09-25,12:25:00,0,SL hit,-29.35000000000001,1.8695,1015.2284263959391,-31694.923857868027,-3.1694923857868025,2023,9,115.8,51.5,2.7715736040609134,250.0,2023-09-25 09:15:00
228,2023-09-25,Monday,2023-09-28,3,19700,C,47.9,14:05:00,115.8,0.15,2023-09-28,15:25:00,0,EOD exit,47.75,0.4805,441.8262150220913,20884.904270986743,2.0884904270986744,2023,9,90.65,0.05,2.114138438880707,108.79970544918997,2023-09-25 14:05:00
229,2023-10-03,Tuesday,2023-10-05,2,19650,C,30.6,09:25:00,64.0,0.05,2023-10-05,15:25:00,0,EOD exit,30.55,0.30650000000000005,898.2035928143713,27164.82035928144,2.7164820359281436,2023,10,35.25,0.05,2.7440119760479043,220.62125748502993,2023-10-03 09:25:00
230,2023-10-09,Monday,2023-10-12,3,19550,C,71.85,09:15:00,120.0,120.0,2023-10-10,09:15:00,0,SL hit,-48.150000000000006,1.9184999999999999,623.0529595015576,-31195.327102803738,-3.119532710280374,2023,10,121.0,64.25,0.47352024922118335,152.2585669781931,2023-10-09 09:15:00
551,2023-10-11,Wednesday,2023-10-12,1,19750,P,37.9,09:25:00,70.0,0.05,2023-10-12,15:25:00,0,EOD exit,37.85,0.37949999999999995,934.5794392523364,35019.15887850468,3.501915887850468,2023,10,40.35,0.05,3.5373831775700935,230.72429906542052,2023-10-11 09:25:00
