week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2024-04-06,2024-04-09 13:15:00,74470.5234,74501.7266,73485.1172,1016.6094000000012,27.302329930985852,74673.84528000001,74267.20152,74700,CE,2024-04-12,RE-ENTRY,331.45,332.0,2024-04-09 15:15:00,3,6.634500000000001,-7.184500000000012,2000000,9,240.96385542168676,-1731.2048192771115,-0.08656024096385558,2024
2024-04-06,2024-04-12 09:15:00,74470.5234,74501.7266,73485.1172,1016.6094000000012,27.302329930985852,74673.84528000001,74267.20152,74700,CE,2024-04-12,RE-ENTRY,100.1,111.4,2024-04-12 10:15:00,0,2.115,-13.415000000000012,2000000,9,240.96385542168676,-3232.5301204819307,-0.16162650602409653,2024
2024-04-06,2024-04-12 12:15:00,74470.5234,74501.7266,73485.1172,1016.6094000000012,27.302329930985852,74673.84528000001,74267.20152,74700,CE,2024-04-12,RE-ENTRY,42.9,0.05,2024-04-12 15:15:00,0,0.4295,42.420500000000004,2000000,9,240.96385542168676,10221.807228915664,0.5110903614457832,2024
2024-04-13,2024-04-13 09:16:00,73357.0781,75123.2969,74189.3125,933.9844000000012,25.464056753372823,73543.87498,73170.28122,73500,CE,2024-04-19,STRANGLE,700.0,684.25,2024-04-15 10:15:00,6,13.842500000000001,1.9074999999999989,2000000,9,244.89795918367346,467.1428571428568,0.02335714285714284,2024
2024-04-13,2024-04-13 09:16:00,73357.0781,75123.2969,74189.3125,933.9844000000012,25.464056753372823,73543.87498,73170.28122,73200,PE,2024-04-19,STRANGLE,285.3,422.6,2024-04-16 09:15:00,6,7.079000000000001,-144.37900000000002,2000000,8,218.5792349726776,-31558.251366120225,-1.5779125683060111,2024
2024-04-13,2024-04-15 14:15:00,73357.0781,75123.2969,74189.3125,933.9844000000012,25.464056753372823,73543.87498,73170.28122,73500,CE,2024-04-19,RE-ENTRY,477.95,0.05,2024-04-19 15:15:00,4,4.78,473.12,2000000,9,244.89795918367346,115866.12244897959,5.793306122448979,2024
2024-04-13,2024-04-18 10:15:00,73357.0781,75123.2969,74189.3125,933.9844000000012,25.464056753372823,73543.87498,73170.28122,73200,PE,2024-04-19,RE-ENTRY,212.75,451.25,2024-04-18 13:15:00,1,6.640000000000001,-245.14,2000000,8,218.5792349726776,-53582.51366120218,-2.6791256830601093,2024
2024-04-20,2024-04-20 09:16:00,73728.1797,73905.7969,71816.4609,2089.3359999999957,56.676728179144135,74146.04689999999,73310.3125,74100,CE,2024-04-26,STRANGLE,228.95,506.15,2024-04-25 13:15:00,6,7.350999999999999,-284.551,2000000,9,242.914979757085,-69121.70040485829,-3.4560850202429148,2024
2024-04-20,2024-04-20 09:16:00,73728.1797,73905.7969,71816.4609,2089.3359999999957,56.676728179144135,74146.04689999999,73310.3125,73300,PE,2024-04-26,STRANGLE,469.95,0.05,2024-04-26 15:15:00,6,4.7,465.2,2000000,8,218.28103683492498,101544.3383356071,5.077216916780356,2024
2024-04-20,2024-04-26 10:15:00,73728.1797,73905.7969,71816.4609,2089.3359999999957,56.676728179144135,74146.04689999999,73310.3125,74100,CE,2024-04-26,RE-ENTRY,106.55,147.0,2024-04-26 11:15:00,0,2.5355000000000003,-42.9855,2000000,9,242.914979757085,-10441.821862348179,-0.5220910931174089,2024
2024-04-20,2024-04-26 12:15:00,73728.1797,73905.7969,71816.4609,2089.3359999999957,56.676728179144135,74146.04689999999,73310.3125,74100,CE,2024-04-26,RE-ENTRY,105.65,0.05,2024-04-26 15:15:00,0,1.057,104.543,2000000,9,242.914979757085,25395.06072874494,1.269753036437247,2024
2024-04-27,2024-04-27 09:16:00,74000.6875,74571.25,73227.3203,1343.9296999999933,36.32208687250354,74269.47344,73731.90156,74300,CE,2024-05-03,STRANGLE,402.0,511.0,2024-04-29 10:15:00,6,9.13,-118.13,2000000,9,242.26110363391655,-28618.304172274562,-1.4309152086137282,2024
2024-04-27,2024-04-27 09:16:00,74000.6875,74571.25,73227.3203,1343.9296999999933,36.32208687250354,74269.47344,73731.90156,73700,PE,2024-05-03,STRANGLE,304.5,201.65,2024-05-03 12:15:00,6,5.0615,97.7885,2000000,8,217.09633649932158,21229.52510176391,1.0614762550881955,2024
2024-04-27,2024-05-03 11:15:00,74000.6875,74571.25,73227.3203,1343.9296999999933,36.32208687250354,74269.47344,73731.90156,74300,CE,2024-05-03,RE-ENTRY,59.6,0.05,2024-05-03 15:15:00,0,0.5965,58.953500000000005,2000000,9,242.26110363391655,14282.139973082101,0.7141069986541051,2024
