week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year,Index,Trade Month,Portfolio,Allocation,New Qty,New PnL,ROI% PF
2024-10-04,2024-10-04 09:16:00,25181.9,26277.35,25230.3,1047.0499999999993,20.78973389617144,25399.578908759864,24964.22109124014,25400,CE,2024-10-10,STRANGLE,133.25,218.75,2024-10-04 11:55:00,6,3.52,-89.02,2000000,10,787.4015748031496,-70094.48818897638,-3.504724409448819,2024,NIFTY,10,2000000,1000000,393.7007874015748,-35047.24409448819,-1.7523622047244094
2024-10-04,2024-10-04 09:16:00,25181.9,26277.35,25230.3,1047.0499999999993,20.78973389617144,25399.578908759864,24964.22109124014,24950,PE,2024-10-10,STRANGLE,71.4,195.55,2024-10-07 10:45:00,6,2.6695000000000007,-126.8195,2000000,9,721.442885771543,-91493.0260521042,-4.5746513026052105,2024,NIFTY,10,2000000,1000000,360.7214428857715,-45746.513026052104,-2.2873256513026052
2024-10-04,2024-10-04 12:25:00,25181.9,26277.35,25230.3,1047.0499999999993,20.78973389617144,25399.578908759864,24964.22109124014,25400,CE,2024-10-10,RE-ENTRY,203.1,0.05,2024-10-10 15:25:00,6,2.0315000000000003,201.0185,2000000,10,787.4015748031496,158282.28346456692,7.914114173228346,2024,NIFTY,10,2000000,1000000,393.7007874015748,79141.14173228346,3.957057086614173
2024-10-05,2024-10-05 09:16:00,81926.9922,85359.65,81532.6797,3826.970300000001,93.4239179843832,82692.38626,81161.59813999999,81200,PE,2024-10-11,STRANGLE,296.25,679.15,2024-10-07 12:15:00,6,9.754,-392.654,2000000,8,197.04433497536945,-77370.24630541871,-3.868512315270936,2024,SENSEX,10,2000000,1000000,98.52216748768473,-38685.123152709355,-1.9342561576354678
2024-10-05,2024-10-05 09:16:00,81926.9922,85359.65,81532.6797,3826.970300000001,93.4239179843832,82692.38626,81161.59813999999,82700,CE,2024-10-11,STRANGLE,416.7,0.05,2024-10-11 15:15:00,6,4.1675,412.4825,2000000,9,217.6541717049577,89778.53688029021,4.488926844014511,2024,SENSEX,10,2000000,1000000,108.82708585247885,44889.268440145104,2.2444634220072555
2024-10-04,2024-10-07 11:25:00,25181.9,26277.35,25230.3,1047.0499999999993,20.78973389617144,25399.578908759864,24964.22109124014,24950,PE,2024-10-10,RE-ENTRY,159.15,167.0,2024-10-07 11:35:00,3,3.2615,-11.111499999999994,2000000,9,721.442885771543,-8016.312625250496,-0.4008156312625248,2024,NIFTY,10,2000000,1000000,360.7214428857715,-4008.156312625248,-0.2004078156312624
2024-10-05,2024-10-08 09:15:00,81926.9922,85359.65,81532.6797,3826.970300000001,93.4239179843832,82692.38626,81161.59813999999,81200,PE,2024-10-11,RE-ENTRY,624.45,0.05,2024-10-11 15:15:00,3,6.245,618.1550000000001,2000000,8,197.04433497536945,121803.94088669952,6.090197044334976,2024,SENSEX,10,2000000,1000000,98.52216748768473,60901.97044334976,3.045098522167488
2024-10-04,2024-10-08 11:25:00,25181.9,26277.35,25230.3,1047.0499999999993,20.78973389617144,25399.578908759864,24964.22109124014,24950,PE,2024-10-10,RE-ENTRY,130.95,137.0,2024-10-08 11:35:00,2,2.6795,-8.729500000000012,2000000,9,721.442885771543,-6297.835671342694,-0.3148917835671347,2024,NIFTY,10,2000000,1000000,360.7214428857715,-3148.917835671347,-0.15744589178356735
2024-10-04,2024-10-08 13:05:00,25181.9,26277.35,25230.3,1047.0499999999993,20.78973389617144,25399.578908759864,24964.22109124014,24950,PE,2024-10-10,RE-ENTRY,128.45,140.35,2024-10-08 13:15:00,2,2.688,-14.588000000000005,2000000,9,721.442885771543,-10524.408817635272,-0.5262204408817636,2024,NIFTY,10,2000000,1000000,360.7214428857715,-5262.204408817636,-0.2631102204408818
2024-10-11,2024-10-11 09:16:00,24985.3,25485.05,24694.35,790.7000000000007,15.823304102812468,25110.414865540937,24860.18513445906,24850,PE,2024-10-17,STRANGLE,108.3,59.25,2024-10-17 09:35:00,6,1.6755000000000002,47.3745,2000000,9,724.3460764587525,34315.53319919517,1.7157766599597584,2024,NIFTY,10,2000000,1000000,362.17303822937623,17157.766599597584,0.8578883299798792
