,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
50,2014-06-18 10:15:00,BAJFINANCE,2014-06-18,11:15:00,205.0,2014-06-25,12:15:00,199.77,-5.22999999999999,-5.63476999999999,4878.048780487805,-27486.682926829217,-2.748668292682922,2014,6
51,2014-07-02 11:15:00,BAJFINANCE,2014-07-02,12:15:00,210.995,2014-07-08,11:15:00,220.2,9.204999999999984,8.773804999999983,4739.448802104315,41582.99959714677,4.158299959714677,2014,7
52,2014-07-10 15:15:00,BAJFINANCE,2014-07-11,09:15:00,221.0,2014-07-28,12:15:00,221.5,0.5,0.057499999999999996,4524.886877828054,260.1809954751131,0.02601809954751131,2014,7
53,2014-08-08 15:15:00,BAJFINANCE,2014-08-11,09:15:00,223.0,2014-09-01,12:15:00,242.6,19.599999999999994,19.134399999999996,4484.304932735426,85804.4843049327,8.58044843049327,2014,8
54,2014-09-04 12:15:00,BAJFINANCE,2014-09-04,13:15:00,246.13,2014-09-05,11:15:00,241.0,-5.1299999999999955,-5.617129999999995,4062.8935928168044,-22821.801487019035,-2.2821801487019036,2014,9
55,2014-09-08 15:15:00,BAJFINANCE,2014-09-09,09:15:00,258.8,2014-09-17,09:15:00,255.5,-3.3000000000000114,-3.8143000000000113,3863.987635239567,-14738.408037094325,-1.4738408037094326,2014,9
56,2014-09-19 09:15:00,BAJFINANCE,2014-09-19,10:15:00,262.5,2014-09-24,15:15:00,258.5,-4.0,-4.521,3809.5238095238096,-17222.85714285714,-1.722285714285714,2014,9
57,2014-09-29 13:15:00,BAJFINANCE,2014-09-29,14:15:00,263.99,2014-10-07,12:15:00,266.0,2.009999999999991,1.4800099999999907,3788.0222735709685,5606.310845107734,0.5606310845107735,2014,9
58,2014-10-09 12:15:00,BAJFINANCE,2014-10-09,13:15:00,278.88,2014-10-16,09:15:00,265.9,-12.980000000000018,-13.524780000000018,3585.771658060815,-48496.77280550781,-4.8496772805507815,2014,10
59,2014-10-21 15:15:00,BAJFINANCE,2014-10-22,09:15:00,266.0,2014-10-29,10:15:00,275.9,9.899999999999977,9.358099999999977,3759.3984962406016,35180.82706766909,3.518082706766909,2014,10
60,2014-10-31 11:15:00,BAJFINANCE,2014-10-31,12:15:00,282.5,2014-11-19,12:15:00,308.26,25.75999999999999,25.16923999999999,3539.8230088495575,89094.6548672566,8.90946548672566,2014,10
61,2014-12-03 12:15:00,BAJFINANCE,2014-12-03,13:15:00,307.005,2014-12-16,13:15:00,318.08,11.074999999999989,10.449914999999988,3257.2759401312683,34038.25670591681,3.4038256705916807,2014,12
62,2014-12-18 15:15:00,BAJFINANCE,2014-12-19,09:15:00,332.79,2015-01-06,13:15:00,342.0,9.20999999999998,8.53520999999998,3004.897983713453,25647.43531957084,2.5647435319570837,2014,12
63,2015-01-14 10:15:00,BAJFINANCE,2015-01-14,11:15:00,357.5,2015-01-21,10:15:00,380.515,23.014999999999986,22.276984999999986,2797.2027972027972,62313.24475524471,6.231324475524471,2015,1
64,2015-01-27 09:15:00,BAJFINANCE,2015-01-27,10:15:00,399.4,2015-01-29,10:15:00,419.895,20.495000000000005,19.675705000000004,2503.7556334501755,49263.157235853796,4.92631572358538,2015,1
65,2015-02-11 14:15:00,BAJFINANCE,2015-02-11,15:15:00,412.89,2015-02-20,10:15:00,418.65,5.759999999999991,4.9284599999999905,2421.9525781685197,11936.4964034004,1.19364964034004,2015,2
66,2015-02-28 13:15:00,BAJFINANCE,2015-02-28,14:15:00,418.0,2015-03-09,12:15:00,417.35,-0.6499999999999773,-1.4853499999999773,2392.3444976076553,-3553.4688995214765,-0.35534688995214764,2015,2
67,2015-03-31 14:15:00,BAJFINANCE,2015-03-31,15:15:00,409.9,2015-04-21,09:15:00,437.0,27.100000000000023,26.25310000000002,2439.6194193705783,64047.57257867778,6.404757257867779,2015,3
68,2015-05-04 13:15:00,BAJFINANCE,2015-05-04,14:15:00,420.0,2015-05-27,11:15:00,436.44,16.439999999999998,15.583559999999999,2380.9523809523807,37103.714285714275,3.7103714285714275,2015,5
69,2015-06-05 13:15:00,BAJFINANCE,2015-06-05,14:15:00,444.77,2015-06-25,09:15:00,520.6,75.83000000000004,74.86463000000003,2248.353081367898,168322.12154596765,16.832212154596764,2015,6
70,2015-06-25 14:15:00,BAJFINANCE,2015-06-26,09:15:00,540.0,2015-07-08,10:15:00,543.895,3.894999999999982,2.8111049999999818,1851.851851851852,5205.749999999966,0.5205749999999967,2015,6
71,2015-07-15 12:15:00,BAJFINANCE,2015-07-15,13:15:00,515.845,2015-07-21,14:15:00,511.0,-4.845000000000027,-5.871845000000027,1938.566817551784,-11382.963874807407,-1.1382963874807406,2015,7
72,2015-07-28 09:15:00,BAJFINANCE,2015-07-28,10:15:00,535.48,2015-08-06,11:15:00,545.1,9.620000000000005,8.539420000000005,1867.4833793979233,15947.224919698223,1.5947224919698224,2015,7
73,2015-08-27 13:15:00,BAJFINANCE,2015-08-27,14:15:00,512.0,2015-09-04,09:15:00,501.995,-10.004999999999995,-11.018994999999995,1953.125,-21521.47460937499,-2.152147460937499,2015,8
74,2015-09-14 13:15:00,BAJFINANCE,2015-09-14,14:15:00,517.5,2015-09-18,09:15:00,510.645,-6.855000000000018,-7.8831450000000185,1932.3671497584542,-15233.130434782644,-1.5233130434782645,2015,9
75,2015-09-28 11:15:00,BAJFINANCE,2015-09-28,12:15:00,489.265,2015-10-08,11:15:00,504.31,15.045000000000016,14.051425000000016,2043.882149755245,28719.456736124626,2.871945673612463,2015,9
76,2015-10-15 12:15:00,BAJFINANCE,2015-10-15,13:15:00,503.315,2015-10-28,14:15:00,519.565,16.250000000000057,15.227120000000056,1986.8273347704717,30253.658245830255,3.0253658245830253,2015,10
77,2015-11-04 13:15:00,BAJFINANCE,2015-11-04,14:15:00,531.465,2015-11-16,09:15:00,525.345,-6.1200000000000045,-7.176810000000005,1881.591450048451,-13503.824334622233,-1.3503824334622234,2015,11
78,2015-11-19 11:15:00,BAJFINANCE,2015-11-19,12:15:00,530.99,2015-12-04,13:15:00,546.7,15.710000000000036,14.632310000000036,1883.274637940451,27556.658317482506,2.7556658317482507,2015,11
79,2015-12-15 14:15:00,BAJFINANCE,2015-12-15,15:15:00,561.9,2016-01-05,10:15:00,599.0,37.10000000000002,35.939100000000025,1779.6760989499912,63959.95728777367,6.395995728777367,2015,12
80,2016-01-06 14:15:00,BAJFINANCE,2016-01-06,15:15:00,611.5,2016-01-13,11:15:00,612.01,0.5099999999999909,-0.7135100000000092,1635.3229762878168,-1166.8192968111352,-0.11668192968111353,2016,1
81,2016-01-21 15:15:00,BAJFINANCE,2016-01-22,09:15:00,576.465,2016-01-28,14:15:00,576.7,0.23500000000001364,-0.9181649999999864,1734.7106936240707,-1592.7506440113211,-0.1592750644011321,2016,1
82,2016-02-01 11:15:00,BAJFINANCE,2016-02-01,12:15:00,600.24,2016-02-02,13:15:00,583.99,-16.25,-17.43423,1666.0002665600425,-29045.43182726909,-2.904543182726909,2016,2
83,2016-02-03 13:15:00,BAJFINANCE,2016-02-03,14:15:00,624.0,2016-02-09,11:15:00,642.705,18.70500000000004,17.43829500000004,1602.5641025641025,27945.98557692314,2.7945985576923142,2016,2
84,2016-02-18 11:15:00,BAJFINANCE,2016-02-18,12:15:00,620.73,2016-02-23,14:15:00,589.445,-31.284999999999968,-32.49517499999997,1611.006395695391,-52349.93475424092,-5.234993475424092,2016,2
85,2016-02-29 12:15:00,BAJFINANCE,2016-02-29,13:15:00,594.91,2016-03-16,10:15:00,636.99,42.08000000000004,40.84810000000004,1680.926526701518,68662.65485535635,6.866265485535634,2016,2
86,2016-03-17 11:15:00,BAJFINANCE,2016-03-17,12:15:00,658.87,2016-03-28,14:15:00,669.3,10.42999999999995,9.10182999999995,1517.75008727063,13814.303276822362,1.3814303276822362,2016,3
87,2016-03-31 10:15:00,BAJFINANCE,2016-03-31,11:15:00,678.99,2016-04-18,15:15:00,730.005,51.014999999999986,49.60600499999999,1472.7757404380036,73058.5207440463,7.30585207440463,2016,3
88,2016-04-26 10:15:00,BAJFINANCE,2016-04-26,11:15:00,710.29,2016-04-29,11:15:00,686.635,-23.654999999999973,-25.051924999999972,1407.8756564220248,-35269.995354010294,-3.5269995354010293,2016,4
89,2016-05-02 11:15:00,BAJFINANCE,2016-05-02,12:15:00,704.5,2016-05-23,09:15:00,760.0,55.5,54.0355,1419.4464158977999,76700.49680624556,7.670049680624556,2016,5
90,2016-05-27 11:15:00,BAJFINANCE,2016-05-27,12:15:00,771.9,2016-06-06,11:15:00,779.99,8.090000000000032,6.538110000000032,1295.5045990413266,8470.15157403813,0.847015157403813,2016,5
91,2016-06-16 12:15:00,BAJFINANCE,2016-06-16,13:15:00,760.5,2016-06-24,09:15:00,748.0,-12.5,-14.0085,1314.9243918474688,-18420.118343195267,-1.8420118343195266,2016,6
92,2016-06-27 15:15:00,BAJFINANCE,2016-06-28,09:15:00,770.655,2016-07-19,12:15:00,864.41,93.755,92.119935,1297.5974982320236,119534.59719329662,11.953459719329661,2016,6
93,2016-07-22 13:15:00,BAJFINANCE,2016-07-22,14:15:00,886.915,2016-08-03,09:15:00,1026.02,139.10500000000002,137.192065,1127.5037630438092,154684.56954725087,15.468456954725088,2016,7
94,2016-08-25 14:15:00,BAJFINANCE,2016-08-25,15:15:00,1031.5,2016-09-08,09:15:00,1118.5,87.0,84.85,969.4619486185168,82258.84634028115,8.225884634028114,2016,8
95,2016-09-22 13:15:00,BAJFINANCE,2016-09-22,14:15:00,1108.85,2016-09-27,14:15:00,1098.3,-10.549999999999955,-12.757149999999953,901.8352347026199,-11504.847364386485,-1.1504847364386486,2016,9
96,2016-10-06 15:15:00,BAJFINANCE,2016-10-07,09:15:00,1082.6,2016-10-13,11:15:00,1046.65,-35.94999999999982,-38.07924999999982,923.7021984112323,-35173.88693885075,-3.5173886938850747,2016,10
