,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2015, 12)",0.3877201065249304,9,66.66666666666666,0.23310340131548882,-0.3369667671226675,-0.4147031102733263,0.9349341659612543
"(2016, 1)",-5.316301752505074,9,0.0,,-0.590700194722786,-3.849548167107421,-1.3810196734074853
"(2016, 2)",-3.3768773631855002,10,10.0,0.7746206791314165,-0.46127756025743527,-4.151498042316916,-0.8134117681772755
"(2016, 3)",10.117582423277586,13,92.3076923076923,0.8748430841024049,-0.3805345859512714,-0.38053458595127143,26.587813031462986
"(2016, 4)",2.620092772277848,13,69.23076923076923,0.396776181966677,-0.23772321635556126,-0.36504464149644805,7.1774585199693774
"(2016, 5)",2.5229417356899906,13,69.23076923076923,0.45629738471781917,-0.3959336816925953,-0.8294062205466539,3.041864979053501
"(2016, 6)",4.560349729045689,13,84.61538461538461,0.4284505481988033,-0.07630315057057353,-0.15260630114114704,29.883102433809583
"(2016, 7)",6.154157310929715,14,57.14285714285714,0.8757927320033255,-0.14203075751614794,-0.6225911544564355,9.884749031332952
"(2016, 8)",3.423676760104173,14,57.14285714285714,0.5882855207724604,-0.21376790101258514,-0.2942370129870133,11.635778671581617
"(2016, 9)",0.00834673055647453,14,42.857142857142854,0.3301538677524251,-0.24657205949475947,-0.7948079611871763,0.010501568887165292
"(2016, 10)",3.93247281950447,14,71.42857142857143,0.5287893100437595,-0.3388550702332812,-0.8436245864560288,4.661401389478633
"(2016, 11)",-4.602657398879573,14,21.428571428571427,1.0191566349047134,-0.6963752094176102,-4.176135495820941,-1.1021331571941217
"(2016, 12)",-3.357215667502661,14,28.57142857142857,0.146583576428008,-0.39435499732146934,-3.236891135049416,-1.0371728697175997
"(2017, 1)",8.93300461584276,14,85.71428571428571,0.754458347100154,-0.06024777467954365,-0.10445227836532212,85.5223529409244
"(2017, 2)",4.004457948042599,14,71.42857142857143,0.48679586777320943,-0.21587518242237388,-0.5789964588339449,6.916204558672559
"(2017, 3)",3.3005251540519214,14,85.71428571428571,0.32456198530511093,-0.2971093348047045,-0.4507466466538834,7.322350989304882
"(2017, 4)",3.5440044238743993,14,71.42857142857143,0.5629367781405044,-0.5213408393826612,-0.9669738691535623,3.6650467369678075
"(2017, 5)",1.307324601844797,14,42.857142857142854,0.7799851358411609,-0.4215732766502711,-2.392923516703859,0.546329455462737
"(2017, 6)",1.059889034959732,14,57.14285714285714,0.37038133887514896,-0.3171936126735766,-1.4775500693011108,0.7173286760164177
