,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
81,2018-03-13 15:15:00,PERSISTENT,2018-03-14,09:15:00,425.05,408.048,476.05600000000004,2018-03-16,14:15:00,406.425,SuperTrend Reversed,-18.625,-19.456475,2352.6643924244204,-45774.55593459593,-4.577455593459592,2018,3
82,2018-03-26 10:15:00,PERSISTENT,2018-03-26,11:15:00,392.225,376.536,439.2920000000001,2018-03-28,09:15:00,355.425,SuperTrend Reversed,-36.80000000000001,-37.54765000000001,2549.557014468736,-95729.87443431705,-9.572987443431707,2018,3
83,2018-04-13 10:15:00,PERSISTENT,2018-04-13,11:15:00,343.75,330.0,385.00000000000006,2018-04-23,13:15:00,385.00000000000006,Target Hit,41.25000000000006,40.52125000000006,2909.090909090909,117880.00000000017,11.788000000000018,2018,4
84,2018-04-23 15:15:00,PERSISTENT,2018-04-24,09:15:00,372.5,357.59999999999997,417.20000000000005,2018-04-24,12:15:00,361.55,SuperTrend Reversed,-10.949999999999989,-11.684049999999989,2684.5637583892617,-31366.577181208024,-3.136657718120802,2018,4
85,2018-04-25 15:15:00,PERSISTENT,2018-04-26,09:15:00,385.0,369.59999999999997,431.20000000000005,2018-05-04,11:15:00,383.025,SuperTrend Reversed,-1.9750000000000227,-2.7430250000000225,2597.4025974025976,-7124.740259740319,-0.7124740259740319,2018,4
86,2018-05-11 09:15:00,PERSISTENT,2018-05-11,10:15:00,402.0,385.91999999999996,450.24000000000007,2018-05-21,09:15:00,391.5,SuperTrend Reversed,-10.5,-11.2935,2487.5621890547263,-28093.283582089553,-2.809328358208955,2018,5
87,2018-05-22 15:15:00,PERSISTENT,2018-05-23,09:15:00,412.15,395.664,461.608,2018-05-28,09:15:00,410.7,SuperTrend Reversed,-1.4499999999999886,-2.2728499999999885,2426.3011039670023,-5514.618464151373,-0.5514618464151373,2018,5
88,2018-06-11 10:15:00,PERSISTENT,2018-06-11,11:15:00,396.45,380.592,444.02400000000006,2018-06-27,11:15:00,401.425,SuperTrend Reversed,4.975000000000023,4.177125000000022,2522.386177323748,10536.322360953518,1.0536322360953518,2018,6
89,2018-06-29 11:15:00,PERSISTENT,2018-06-29,12:15:00,405.0,388.8,453.6,2018-07-11,12:15:00,419.0,SuperTrend Reversed,14.0,13.176,2469.135802469136,32533.333333333332,3.253333333333333,2018,6
90,2018-07-23 14:15:00,PERSISTENT,2018-07-23,15:15:00,422.5,405.59999999999997,473.20000000000005,2018-07-27,12:15:00,413.225,SuperTrend Reversed,-9.274999999999977,-10.110724999999977,2366.8639053254437,-23930.710059171543,-2.3930710059171543,2018,7
