,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
63,2023-04-26,19264.2,18861.35,402.8500000000022,19151.55,40%,19312.69,18990.41,high,19000,2023-05-09,5,FINNIFTY2350919000PE,PE,2023-05-04 11:22:00,21.05,2023-05-09 15:30:00,0.05,Expiry Closing,21.0,0.21100000000000002,20.789,1263.157894736842,26526.315789473683,26259.789473684214,0.8842105263157896,0.8753263157894737,2023,18600,FINNIFTY2350918600PE,4.6,0.05,-4.55,-5747.368421052632,20512.42105263158,2.051242105263158
64,2023-05-03,19500.05,18996.35,503.7000000000007,19306.0,40%,19507.48,19104.52,high,19100,2023-05-16,4,FINNIFTY2351619100PE,PE,2023-05-12 13:51:00,10.5,2023-05-16 15:30:00,0.05,Expiry Closing,10.45,0.10550000000000001,10.3445,1256.544502617801,13130.89005235602,12998.324607329843,0.437696335078534,0.43327748691099477,2023,18700,FINNIFTY2351618700PE,2.35,0.05,-2.3000000000000003,-2890.0523560209426,10108.272251308901,1.01082722513089
65,2023-05-10,19631.6,19138.95,492.6499999999978,19460.7,40%,19657.76,19263.640000000003,low,19650,2023-05-23,6,FINNIFTY2352319650CE,CE,2023-05-17 12:18:00,24.8,2023-05-23 15:30:00,0.1,Expiry Closing,24.7,0.24900000000000003,24.451,1221.3740458015268,30167.93893129771,29863.816793893133,1.0055979643765902,0.9954605597964378,2023,20050,FINNIFTY2352320050CE,5.8,0.05,-5.75,-7022.900763358779,22840.916030534354,2.2840916030534353
66,2023-05-17,19485.05,19206.8,278.25,19309.1,40%,19420.399999999998,19197.8,high,19200,2023-05-30,6,FINNIFTY23MAY19200PE,PE,2023-05-24 11:00:00,44.55,2023-05-25 09:26:00,107.5,SL Hit,-62.95,1.5205000000000002,-64.4705,1250.0,-78687.5,-80588.125,-2.622916666666667,-2.6862708333333334,2023,18800,FINNIFTY23MAY18800PE,9.15,17.45,8.299999999999999,10374.999999999998,-70213.125,-7.0213125
67,2023-05-17,19485.05,19206.8,278.25,19309.1,40%,19420.399999999998,19197.8,low,19400,2023-05-30,5,FINNIFTY23MAY19400CE,CE,2023-05-25 09:27:00,42.5,2023-05-29 09:15:00,118.45,SL Hit,-75.95,1.6095,-77.5595,1237.1134020618556,-93958.76288659793,-95949.89690721649,-3.1319587628865984,-3.1983298969072163,2023,19800,FINNIFTY23MAY19800CE,4.15,2.4,-1.7500000000000004,-2164.9484536082477,-98114.84536082474,-9.811484536082475
68,2023-05-24,19635.5,19119.45,516.0499999999993,19567.7,40%,19774.12,19361.280000000002,low,19750,2023-06-06,6,FINNIFTY2360619750CE,CE,2023-05-31 11:54:00,21.65,2023-06-06 15:30:00,0.05,Expiry Closing,21.599999999999998,0.217,21.383,1215.1898734177216,26248.101265822785,25984.405063291142,0.8749367088607594,0.8661468354430379,2023,20150,FINNIFTY2360620150CE,3.65,0.05,-3.6,-4374.683544303798,21609.721518987346,2.1609721518987346
69,2023-05-31,19567.7,19286.3,281.40000000000146,19542.8,40%,19655.36,19430.239999999998,low,19650,2023-06-13,5,FINNIFTY2361319650CE,CE,2023-06-08 15:09:00,24.85,2023-06-13 15:30:00,0.1,Expiry Closing,24.75,0.24950000000000003,24.5005,1221.3740458015268,30229.00763358779,29924.274809160306,1.0076335877862594,0.9974758269720102,2023,20050,FINNIFTY2361320050CE,1.8,0.05,-1.75,-2137.4045801526718,27786.870229007633,2.7786870229007636
70,2023-06-07,19623.05,19372.1,250.95000000000073,19512.5,40%,19612.88,19412.12,low,19600,2023-06-20,6,FINNIFTY2362019600CE,CE,2023-06-14 09:51:00,42.0,2023-06-20 15:30:00,0.1,Expiry Closing,41.9,0.42100000000000004,41.479,1224.4897959183675,51306.12244897959,50790.612244897966,1.710204081632653,1.6930204081632656,2023,20000,FINNIFTY2362020000CE,4.2,0.05,-4.15,-5081.632653061225,45708.97959183674,4.570897959183673
71,2023-06-14,19531.85,19214.75,317.09999999999854,19594.3,40%,19721.14,19467.46,high,19450,2023-06-27,5,FINNIFTY23JUN19450PE,PE,2023-06-22 13:39:00,25.75,2023-06-27 15:30:00,0.05,Expiry Closing,25.7,0.258,25.442,1233.9331619537274,31712.082262210795,31393.727506426734,1.0570694087403598,1.0464575835475578,2023,19050,FINNIFTY23JUN19050PE,5.8,0.05,-5.75,-7095.115681233933,24298.611825192802,2.4298611825192804
72,2023-06-14,19531.85,19214.75,317.09999999999854,19594.3,40%,19721.14,19467.46,low,19700,2023-06-27,1,FINNIFTY23JUN19700CE,CE,2023-06-26 13:55:00,3.75,2023-06-26 15:07:00,4.1,SL Hit,-0.34999999999999964,0.0785,-0.42849999999999966,1218.2741116751267,-426.39593908629394,-522.0304568527914,-0.01421319796954313,-0.01740101522842638,2023,20100,FINNIFTY23JUN20100CE,1.1,1.1,0.0,0.0,-522.0304568527914,-0.05220304568527914
