Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2020-12-31,15272.5,14055.6,1216.8999999999996,15215.4,10%,15337.09,15093.71,low,15350,2021-01-25,21,FINNIFTY21JAN15350CE,CE,2021-01-04 11:00:00,,2021-01-05 11:23:00,,SL Hit,,,,521.1726384364821,,,,,2021
2021-01-31,15848.25,14355.45,1492.7999999999993,14779.8,10%,14929.08,14630.519999999999,high,14650,2021-02-23,22,FINNIFTY21FEB14650PE,PE,2021-02-01 11:00:00,,2021-02-23 15:30:00,,Expiry Closing,,,,546.0750853242321,,,,,2021
2021-02-28,17651.35,14733.4,2917.949999999999,16314.45,10%,16606.245,16022.655,high,16000,2021-03-30,27,FINNIFTY21MAR16000PE,PE,2021-03-03 10:16:00,,2021-03-30 15:30:00,,Expiry Closing,,,,500.0,,,,,2021
2021-02-28,17651.35,14733.4,2917.949999999999,16314.45,10%,16606.245,16022.655,low,16600,2021-03-30,13,FINNIFTY21MAR16600CE,CE,2021-03-17 15:05:00,,2021-03-30 15:30:00,,Expiry Closing,,,,481.9277108433735,,,,,2021
2021-03-31,16962.85,15289.0,1673.8499999999985,15845.25,10%,16012.635,15677.865,high,15700,2021-04-27,-1,FINNIFTY21APR15700PE,PE,2021-04-28 13:16:00,,2021-04-27 15:30:00,,Expiry Closing,,,,509.5541401273885,,,,,2021
2021-03-31,16962.85,15289.0,1673.8499999999985,15845.25,10%,16012.635,15677.865,low,16000,2021-04-27,26,FINNIFTY21APR16000CE,CE,2021-04-01 10:46:00,,2021-04-27 15:30:00,,Expiry Closing,,,,500.0,,,,,2021
2021-04-30,16295.95,14601.25,1694.7000000000007,15338.7,10%,15508.17,15169.230000000001,high,15150,2021-05-25,22,FINNIFTY21MAY15150PE,PE,2021-05-03 14:31:00,,2021-05-25 15:30:00,,Expiry Closing,,,,528.0528052805281,,,,,2021
2021-05-31,16688.15,15240.95,1447.2000000000007,16723.9,10%,16868.620000000003,16579.18,low,16850,2021-06-29,27,FINNIFTY21JUN16850CE,CE,2021-06-02 09:15:00,,2021-06-03 09:15:00,,SL Hit,,,,474.7774480712166,,,,,2021
2021-06-30,16864.25,16142.05,722.2000000000007,16496.5,10%,16568.72,16424.28,high,16400,2021-07-27,22,FINNIFTY21JUL16400PE,PE,2021-07-05 10:15:00,,2021-07-27 15:30:00,,Expiry Closing,,,,487.8048780487805,,,,,2021
2021-06-30,16864.25,16142.05,722.2000000000007,16496.5,10%,16568.72,16424.28,low,16550,2021-07-27,26,FINNIFTY21JUL16550CE,CE,2021-07-01 09:27:00,,2021-07-06 14:01:00,,SL Hit,,,,483.3836858006042,,,,,2021
