,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year
231,2022-05-09,34791.7,33009.05,1782.6499999999942,33256.0,50%,34147.325,32364.675000000003,high,32400,2022-05-26,9,BANKNIFTY22MAY32400PE,2022-05-17 11:43:00,129.85,2022-05-20 15:20:00,49.95,Friday Closing,79.89999999999999,175.70922466108254,14039.167050420494,1.4039167050420494,2022
232,2022-05-16,34654.2,33010.1,1644.0999999999985,34321.4,50%,35143.45,33499.350000000006,high,33500,2022-06-02,7,BANKNIFTY2260233500PE,2022-05-26 15:18:00,85.0,2022-05-27 15:20:00,31.2,Friday Closing,53.8,170.7288271356398,9185.21089989742,0.918521089989742,2022
233,2022-05-30,36083.45,35176.05,907.3999999999942,35159.15,50%,35612.85,34705.450000000004,low,35600,2022-06-16,7,BANKNIFTY2261635600CE,2022-06-09 09:32:00,133.45,2022-06-10 15:20:00,55.0,Friday Closing,78.44999999999999,168.47851267169014,13217.139319094089,1.321713931909409,2022
234,2022-06-06,35446.5,34348.05,1098.449999999997,33728.65,50%,34277.875,33179.425,low,34300,2022-06-23,9,BANKNIFTY2262334300CE,2022-06-14 09:15:00,188.55,2022-06-17 15:20:00,27.9,Friday Closing,160.65,175.04002217173615,28120.179561889414,2.8120179561889413,2022
235,2022-06-13,33761.7,32298.0,1463.699999999997,32873.4,50%,33605.25,32141.550000000003,high,32100,2022-06-30,6,BANKNIFTY22JUN32100PE,2022-06-24 09:16:00,60.1,2022-06-24 15:20:00,41.0,Friday Closing,19.1,178.54353114468722,3410.1814448635264,0.34101814448635265,2022
236,2022-06-20,33720.7,32427.7,1292.9999999999964,34126.2,50%,34772.7,33479.7,low,34800,2022-07-07,8,BANKNIFTY2270734800CE,2022-06-29 09:15:00,67.7,2022-07-01 15:20:00,47.0,Friday Closing,20.700000000000003,172.5491549405137,3571.767507268634,0.3571767507268634,2022
237,2022-06-27,34134.8,33082.45,1052.3500000000058,33558.85,50%,34085.025,33032.674999999996,high,33000,2022-07-14,9,BANKNIFTY2271433000PE,2022-07-05 09:15:00,138.95,2022-07-08 15:20:00,11.6,Friday Closing,127.35,176.03038284407887,22417.469255193442,2.2417469255193443,2022
238,2022-07-11,35541.6,34465.0,1076.5999999999985,34841.85,50%,35380.149999999994,34303.55,high,34300,2022-07-28,10,BANKNIFTY22JUL34300PE,2022-07-18 15:03:00,115.0,2022-07-22 15:20:00,8.65,Friday Closing,106.35,169.58661848522408,18035.53687590358,1.8035536875903582,2022
239,2022-08-01,38230.55,37252.7,977.8500000000058,37847.35,50%,38336.275,37358.424999999996,high,37400,2022-08-18,8,BANKNIFTY2281837400PE,2022-08-10 09:15:00,162.5,2022-08-12 15:20:00,16.0,Friday Closing,146.5,156.509728709949,22928.67525600753,2.292867525600753,2022
240,2022-08-15,39750.9,38848.4,902.5,38693.65,50%,39144.9,38242.4,high,38200,2022-09-01,7,BANKNIFTY2290138200PE,2022-08-25 09:15:00,92.75,2022-08-25 15:26:00,188.2,SL Hit,-95.44999999999999,153.2766720568963,-14630.25834783075,-1.463025834783075,2022
241,2022-08-15,39750.9,38848.4,902.5,38693.65,50%,39144.9,38242.4,low,39100,2022-09-01,9,BANKNIFTY2290139100CE,2022-08-23 09:15:00,117.7,2022-08-26 15:20:00,382.5,Friday Closing,-264.8,153.2766720568963,-40587.66276066614,-4.058766276066614,2022
242,2022-08-22,39471.05,37955.45,1515.6000000000058,38111.6,50%,38869.4,37353.799999999996,high,37400,2022-09-08,9,BANKNIFTY2290837400PE,2022-08-30 10:48:00,83.3,2022-09-02 15:20:00,33.0,Friday Closing,50.3,154.36307223677235,7764.462533509649,0.7764462533509648,2022
243,2022-08-29,39666.55,37944.25,1722.300000000003,39412.05,50%,40273.200000000004,38550.9,high,38600,2022-09-15,6,BANKNIFTY2291538600PE,2022-09-09 09:15:00,37.1,2022-09-09 15:20:00,41.85,Friday Closing,-4.75,148.9824498674056,-707.6666368701766,-0.07076666368701766,2022
