,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,PnL,Hedge PnL,Total PnL,Total ROI%,Trade Year,ROI%
190,190,2019-09-23,30795.0,29470.95,1324.0499999999993,29674.8,20%,29939.61,29409.99,low,29900,2019-10-10,10,BANKNIFTY19101029900CE,2019-09-30 09:39:00,418.65,2019-10-04 15:20:00,24.7,Friday Closing,393.95,200.40341206849388,30200,BANKNIFTY19101030200CE,325.35,18.55,-306.8,78948.92418438316,-61483.76682261392,17465.157361769234,6.986062944707694,2019,7.894892418438316
191,191,2019-09-30,29753.8,27671.3,2082.5,27909.9,20%,28326.4,27493.4,high,27500,2019-10-17,8,BANKNIFTY19101727500PE,2019-10-09 12:02:00,212.0,2019-10-11 15:20:00,217.0,Friday Closing,-5.0,211.81653863533663,27200,BANKNIFTY19101727200PE,147.0,150.05,3.050000000000012,-1059.082693176683,646.0404428377791,-413.042250338904,-0.1652169001355616,2019,-0.10590826931766831
192,192,2019-10-07,28857.7,27571.2,1286.5,28238.5,20%,28495.8,27981.2,high,28000,2019-10-24,10,BANKNIFTY19102428000PE,2019-10-14 13:58:00,383.4,2019-10-18 15:20:00,61.0,Friday Closing,322.4,210.55734529299056,27700,BANKNIFTY19102427700PE,286.65,36.95,-249.7,67883.68812246015,-52576.16911965974,15307.519002800414,6.1230076011201655,2019,6.7883688122460155
193,193,2019-10-14,29248.0,28043.5,1204.5,29416.25,20%,29657.15,29175.35,high,29200,2019-10-31,9,BANKNIFTY19OCT29200PE,2019-10-22 12:09:00,307.2,2019-10-25 15:20:00,166.0,Friday Closing,141.2,202.3120900019051,29500,BANKNIFTY19OCT29500PE,413.35,323.35,-90.0,28566.467108269,-18208.08810017146,10358.379008097538,4.143351603239015,2019,2.8566467108269
194,194,2019-10-14,29248.0,28043.5,1204.5,29416.25,20%,29657.15,29175.35,low,29700,2019-10-31,7,BANKNIFTY19OCT29700CE,2019-10-24 13:21:00,206.7,2019-10-24 13:27:00,231.05,SL Hit,-24.350000000000023,202.3120900019051,30000,BANKNIFTY19OCT30000CE,132.8,149.65,16.849999999999994,-4926.299391546394,3408.9587165320995,-1517.3406750142944,-0.6069362700057177,2019,-0.4926299391546394
195,195,2019-10-21,29691.85,28926.2,765.6499999999978,29527.6,20%,29680.73,29374.47,high,29400,2019-11-07,9,BANKNIFTY19110729400PE,2019-10-29 10:58:00,313.25,2019-11-01 15:20:00,57.0,Friday Closing,256.25,202.1513621801081,29100,BANKNIFTY19110729100PE,208.85,33.6,-175.25,51801.2865586527,-35427.02622206394,16374.260336588755,6.549704134635502,2019,5.1801286558652695
196,196,2019-10-28,30413.5,29387.25,1026.25,30415.9,20%,30621.15,30210.65,high,30200,2019-11-14,8,BANKNIFTY19111430200PE,2019-11-06 14:21:00,220.7,2019-11-08 15:20:00,101.95,Friday Closing,118.75,195.94300018124727,29900,BANKNIFTY19111429900PE,139.95,63.65,-76.29999999999998,23268.23127152311,-14950.450913829163,8317.780357693946,3.3271121430775783,2019,2.3268231271523105
197,197,2019-10-28,30413.5,29387.25,1026.25,30415.9,20%,30621.15,30210.65,low,30600,2019-11-14,9,BANKNIFTY19111430600CE,2019-11-05 12:50:00,250.0,2019-11-06 11:43:00,302.0,SL Hit,-52.0,195.94300018124727,30900,BANKNIFTY19111430900CE,156.0,180.05,24.05000000000001,-10189.036009424855,4712.429154358999,-5476.606855065858,-2.1906427420263435,2019,-1.0189036009424854
198,198,2019-11-04,31107.75,30015.1,1092.6500000000017,30664.65,20%,30883.18,30446.120000000003,high,30400,2019-11-21,10,BANKNIFTY19112130400PE,2019-11-11 09:27:00,287.35,2019-11-15 15:20:00,80.1,Friday Closing,207.25000000000003,194.28051126859344,30100,BANKNIFTY19112130100PE,205.65,51.75,-153.9,40264.635960416,-29899.770684236533,10364.865276179462,4.145946110471785,2019,4.026463596041601
199,199,2019-11-04,31107.75,30015.1,1092.6500000000017,30664.65,20%,30883.18,30446.120000000003,low,30900,2019-11-21,7,BANKNIFTY19112130900CE,2019-11-14 09:25:00,170.2,2019-11-15 10:16:00,437.85,SL Hit,-267.65000000000003,194.28051126859344,31200,BANKNIFTY19112131200CE,91.95,274.1,182.15000000000003,-51999.17884103904,35388.195127574305,-16610.98371346474,-6.644393485385896,2019,-5.199917884103905
