,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
573,LONG,2018-12-07 14:45:00,26482.85,26284.228625,2018-12-10 09:15:00,26073.65,-409.1999999999971,5.25565,480,-414.4556499999971,-198938.7119999986,-3.9787742399999724,2 days 18:30:00,Gap SL Hit,2018
574,SHORT,2018-12-10 09:45:00,26184.1,26380.48075,2018-12-11 12:30:00,26014.0,170.09999999999854,5.21981,480,164.88018999999855,79142.4911999993,1.582849823999986,1 days 02:45:00,MA Cross Opp,2018
575,LONG,2018-12-11 12:30:00,26014.0,25818.895,2018-12-13 14:15:00,26803.3,789.2999999999993,5.2817300000000005,510,784.0182699999992,399849.3176999996,7.996986353999993,2 days 01:45:00,MA Cross Opp,2018
576,SHORT,2018-12-13 14:15:00,26803.3,27004.32475,2018-12-14 12:30:00,26831.95,-28.650000000001455,5.363525,480,-34.01352500000146,-16326.4920000007,-0.326529840000014,0 days 22:15:00,MA Cross Opp,2018
577,LONG,2018-12-14 12:30:00,26831.95,26630.710375000002,2018-12-14 13:45:00,26797.75,-34.20000000000073,5.36297,480,-39.562970000000725,-18990.225600000347,-0.3798045120000069,0 days 01:15:00,MA Cross Opp,2018
578,SHORT,2018-12-14 13:45:00,26797.75,26998.733125000002,2018-12-17 09:15:00,26998.733125000002,-200.98312500000247,5.3796483125000005,480,-206.36277331250247,-99054.13119000118,-1.9810826238000234,2 days 19:30:00,ISL Hit,2018
579,LONG,2018-12-17 10:00:00,26983.1,26780.72675,2018-12-17 13:45:00,26933.15,-49.94999999999709,5.391625,480,-55.34162499999709,-26563.979999998603,-0.5312795999999721,0 days 03:45:00,MA Cross Opp,2018
580,SHORT,2018-12-18 09:30:00,26866.35,27067.847625,2018-12-18 13:15:00,26962.75,-96.40000000000146,5.38291,480,-101.78291000000145,-48855.796800000695,-0.9771159360000139,0 days 03:45:00,MA Cross Opp,2018
581,LONG,2018-12-18 13:15:00,26962.75,26760.529375000002,2018-12-20 10:15:00,27221.0,258.25,5.418375,480,252.831625,121359.18000000001,2.4271836,1 days 21:00:00,MA Cross Opp,2018
582,SHORT,2018-12-20 10:15:00,27221.0,27425.1575,2018-12-20 14:00:00,27203.35,17.650000000001455,5.442435,480,12.207565000001456,5859.631200000698,0.11719262400001396,0 days 03:45:00,MA Cross Opp,2018
583,LONG,2018-12-20 14:00:00,27203.35,26999.324875,2018-12-21 11:00:00,27059.25,-144.09999999999854,5.42626,480,-149.52625999999856,-71772.6047999993,-1.435452095999986,0 days 21:00:00,MA Cross Opp,2018
584,SHORT,2018-12-21 11:00:00,27059.25,27262.194375000003,2018-12-24 13:30:00,26840.05,219.20000000000073,5.3899300000000006,480,213.81007000000074,102628.83360000035,2.052576672000007,3 days 02:30:00,MA Cross Opp,2018
585,LONG,2018-12-24 13:30:00,26840.05,26638.749625,2018-12-24 15:00:00,26681.2,-158.84999999999854,5.352125,480,-164.20212499999855,-78817.0199999993,-1.5763403999999859,0 days 01:30:00,MA Cross Opp,2018
586,SHORT,2018-12-24 15:00:00,26681.2,26881.309,2018-12-26 13:15:00,26571.4,109.79999999999927,5.325260000000001,480,104.47473999999927,50147.87519999965,1.0029575039999932,1 days 22:15:00,MA Cross Opp,2018
