Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
LONG,2018-11-21 13:15:00,26289.4,26026.506,2018-11-22 11:15:00,26222.4,-67.0,5.251180000000001,1140,-72.25118,-82366.34520000001,-0.8236634520000001,0 days 22:00:00,MA Cross Opp,2018
SHORT,2018-11-22 11:15:00,26222.4,26484.624000000003,2018-11-26 12:15:00,26110.35,112.05000000000291,5.233275,1140,106.8167250000029,121771.0665000033,1.2177106650000329,4 days 01:00:00,MA Cross Opp,2018
LONG,2018-11-26 12:15:00,26110.35,25849.246499999997,2018-11-30 12:15:00,26792.75,682.4000000000015,5.29031,1140,677.1096900000015,771905.0466000016,7.719050466000016,4 days 00:00:00,MA Cross Opp,2018
SHORT,2018-11-30 12:15:00,26792.75,27060.6775,2018-12-03 13:15:00,26864.8,-72.04999999999927,5.365755000000001,1110,-77.41575499999928,-85931.4880499992,-0.8593148804999919,3 days 01:00:00,MA Cross Opp,2018
LONG,2018-12-03 13:15:00,26864.8,26596.152,2018-12-03 14:15:00,26815.65,-49.14999999999782,5.368045,1110,-54.51804499999782,-60515.02994999758,-0.6051502994999758,0 days 01:00:00,MA Cross Opp,2018
SHORT,2018-12-03 14:15:00,26815.65,27083.806500000002,2018-12-07 09:15:00,26218.5,597.1500000000015,5.303415,1110,591.8465850000015,656949.7093500016,6.569497093500017,3 days 19:00:00,MA Cross Opp,2018
LONG,2018-12-07 11:15:00,26456.75,26192.1825,2018-12-10 09:15:00,26151.45,-305.2999999999993,5.26082,1110,-310.5608199999993,-344722.5101999992,-3.447225101999992,2 days 22:00:00,Gap SL Hit,2018
LONG,2018-12-10 11:15:00,26247.2,25984.728,2018-12-10 13:15:00,26189.6,-57.60000000000218,5.24368,1140,-62.84368000000218,-71641.79520000248,-0.7164179520000248,0 days 02:00:00,MA Cross Opp,2018
SHORT,2018-12-10 13:15:00,26189.6,26451.496,2018-12-11 15:15:00,26150.6,39.0,5.23402,1140,33.76598,38493.2172,0.38493217199999996,1 days 02:00:00,MA Cross Opp,2018
LONG,2018-12-11 15:15:00,26150.6,25889.093999999997,2018-12-14 09:15:00,26800.65,650.0500000000029,5.2951250000000005,1140,644.7548750000029,735020.5575000034,7.350205575000033,2 days 18:00:00,MA Cross Opp,2018
