Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
31,1000000,2022-07-07,6528.2,6604.5,76.30000000000018,150,1.6296999999999997,11200.545000000027,1.1200545000000028,MIDCPNIFTY
31,1000000,2022-07-08,6604.5,6607.55,3.050000000000182,150,1.6296999999999997,213.04500000002733,0.02130450000000273,MIDCPNIFTY
31,1000000,2022-07-11,6607.55,6609.75,2.199999999999818,150,1.6296999999999997,85.54499999997276,0.008554499999997274,MIDCPNIFTY
32,1000000,2022-07-11,6609.1,6609.75,0.6499999999996362,150,3.293644985000004,-396.54674775005515,-0.03965467477500551,MIDCPNIFTY
32,1000000,2022-07-12,6609.75,6562.2,-47.55000000000018,150,3.293644985000004,-7626.546747750027,-0.7626546747750026,MIDCPNIFTY
33,1000000,2022-07-12,6628.5,6562.2,-66.30000000000018,150,6.606625950000009,-10935.993892500028,-1.0935993892500029,MIDCPNIFTY
34,1000000,2022-07-12,6601.05,6562.2,-38.850000000000364,150,6.5884750000000025,-6815.771250000055,-0.6815771250000054,MIDCPNIFTY
35,1000000,2022-07-13,6639.45,6624.75,-14.699999999999818,150,3.3087699075000003,-2701.3154861249727,-0.2701315486124973,MIDCPNIFTY
35,1000000,2022-07-14,6624.75,6609.05,-15.699999999999818,150,3.3087699075000003,-2851.3154861249727,-0.2851315486124973,MIDCPNIFTY
36,1000000,2022-07-15,6638.25,6678.7,40.44999999999982,150,0.9673250000000004,5922.401249999973,0.5922401249999972,MIDCPNIFTY
36,1000000,2022-07-18,6678.7,6771.05,92.35000000000036,150,0.9673250000000004,13707.401250000054,1.3707401250000053,MIDCPNIFTY
36,1000000,2022-07-19,6771.05,6798.7,27.649999999999636,150,0.9673250000000004,4002.401249999946,0.40024012499999456,MIDCPNIFTY
36,1000000,2022-07-20,6798.7,6841.25,42.55000000000018,150,0.9673250000000004,6237.401250000027,0.6237401250000026,MIDCPNIFTY
36,1000000,2022-07-21,6841.25,6931.8,90.55000000000018,150,0.9673250000000004,13437.401250000026,1.3437401250000025,MIDCPNIFTY
36,1000000,2022-07-22,6931.8,6929.3,-2.5,150,0.9673250000000004,-520.0987500000001,-0.05200987500000002,MIDCPNIFTY
36,1000000,2022-07-25,6929.3,6926.6,-2.699999999999818,150,0.9673250000000004,-550.0987499999728,-0.05500987499999728,MIDCPNIFTY
37,1000000,2022-07-25,6938.65,6926.6,-12.049999999999272,150,3.4578762275000017,-2326.181434124891,-0.2326181434124891,MIDCPNIFTY
37,1000000,2022-07-26,6926.6,6814.2,-112.40000000000055,150,3.4578762275000017,-17378.681434125083,-1.7378681434125083,MIDCPNIFTY
38,1000000,2022-07-27,6892.1,6879.15,-12.950000000000728,150,1.1664416666666664,-2117.466250000109,-0.2117466250000109,MIDCPNIFTY
38,1000000,2022-07-28,6879.15,6942.75,63.600000000000364,150,1.1664416666666664,9365.033750000055,0.9365033750000055,MIDCPNIFTY
38,1000000,2022-07-29,6942.75,7046.1,103.35000000000036,150,1.1664416666666664,15327.533750000053,1.5327533750000053,MIDCPNIFTY
38,1000000,2022-08-01,7046.1,7191.75,145.64999999999964,150,1.1664416666666664,21672.533749999948,2.1672533749999947,MIDCPNIFTY
