Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2021-03-04 13:45:00,LONG,2021-03-04 14:15:00,36147.2,35604.992,35604.992,2021-03-04 15:15:00,35834.15,-313.04999999999563,-320.2481349999956,-9607.44404999987,MACD Reversal,30,5,-3.8429776199999472,2021,3,-3.8429776199999424,BANKNIFTY,1000000,333333.0,0.9999990000000001,-9607.44404999987,-0.9607444049999869
2021-03-09 09:15:00,LONG,2021-03-09 09:45:00,35852.55,35314.761750000005,35617.013333333336,2021-03-09 13:45:00,35611.2,-241.35000000000585,-248.49637500000583,-7454.891250000175,TSL Hit,30,5,-2.98195650000007,2021,3,-6.824934119999966,BANKNIFTY,1000000,333333.0,0.9999990000000001,-7454.891250000175,-0.7454891250000175
2021-03-09 10:15:00,LONG,2021-03-09 11:15:00,15073.05,14973.56787,15019.745,2021-03-09 12:15:00,14973.56787,-99.48213000000032,-105.49145357400032,-7911.859018050025,Initial SL hit,75,5,-3.16474360722001,2021,3,-5.793590507220017,NIFTY,1000000,333333.0,2.4999975,-7911.859018050024,-0.7911859018050024
2021-03-09 10:15:00,LONG,2021-03-09 11:15:00,16598.0,16465.216,16502.79076923077,2021-03-12 13:15:00,16465.216,-132.78399999999965,-139.39664319999966,-10454.748239999974,Initial SL hit,75,5,-4.181899295999989,2021,3,-12.915747703200054,FINNIFTY,1000000,333333.0,2.4999975,-10454.748239999974,-1.0454748239999974
2021-03-09 14:15:00,LONG,2021-03-09 15:15:00,15114.45,15014.69463,15082.64375,2021-03-12 13:15:00,15014.69463,-99.75537000000077,-105.78119892600076,-7933.589919450058,Initial SL hit,75,5,-3.173435967780023,2021,3,-8.967026475000068,NIFTY,1000000,333333.0,2.4999975,-7933.589919450056,-0.7933589919450056
2021-03-09 14:15:00,LONG,2021-03-09 14:45:00,35730.15,35194.19775,35864.37666666667,2021-03-10 11:45:00,35842.9,112.75,105.592695,3167.78085,TSL Hit,30,5,1.2671123399999995,2021,3,-5.557821779999927,BANKNIFTY,1000000,333333.0,0.9999990000000001,3167.78085,0.31677808500000004
2021-03-10 12:15:00,LONG,2021-03-10 12:45:00,35899.75,35361.25375,36061.87666666667,2021-03-12 12:15:00,36016.35,116.59999999999854,109.40838999999856,3282.2516999999566,TSL Hit,30,5,1.3129006799999827,2021,3,-4.244921099999942,BANKNIFTY,1000000,333333.0,0.9999990000000001,3282.251699999957,0.32822516999999574
2021-03-22 15:15:00,LONG,2021-03-23 09:15:00,14760.1,14662.68334,14740.9375,2021-03-24 09:15:00,14668.75,-91.35000000000036,-97.23577000000036,-7292.682750000027,TSL Hit,75,5,-2.9170731000000107,2021,3,-11.884099575000109,NIFTY,1000000,333333.0,2.4999975,-7292.682750000027,-0.7292682750000027
2021-03-23 13:15:00,LONG,2021-03-23 13:45:00,33965.1,33455.6235,33927.48333333333,2021-03-24 09:15:00,33900.2,-64.90000000000146,-71.68653000000145,-2150.5959000000435,TSL Hit,30,5,-0.8602383600000174,2021,3,-5.105159459999982,BANKNIFTY,1000000,333333.0,0.9999990000000001,-2150.5959000000435,-0.21505959000000432
2021-03-26 11:15:00,LONG,2021-03-26 11:45:00,33437.1,32935.5435,33309.04666666666,2021-03-26 14:45:00,33239.35,-197.75,-204.417645,-6132.52935,TSL Hit,30,5,-2.45301174,2021,3,-7.558171199999947,BANKNIFTY,1000000,333333.0,0.9999990000000001,-6132.52935,-0.6132529349999999
